Mouse ID,Session Date,Cohort Name,Date of Birth,Treatment,Viral_Expression
WCL21,050823,FP1,,,
WCL22,050923,FP1,,,
WCL21,051023,FP1,,,
WCL22,051223,FP1,,,
WCL21,051523,FP1,,,
WCL22,051623,FP1,,,
WCL21,051723,FP1,,,
WCL22,051823,FP1,,,
WCL22,051923,FP1,,,
WCL22,052223,FP1,,,
WCL22,052623,FP1,,,
WCL22,053123,FP1,,,
WCL23,060223,FP1,,,
WCL25,060223,FP1,,,
WCL24,060523,FP1,,,
WCL26,060523,FP1,,,
WCL23,060623,FP1,,,
WCL25,060623,FP1,,,
WCL24,060723,FP1,,,
WCL26,060723,FP1,,,
WCL23,060823,FP1,,,
WCL24,060923,FP1,,,
WCL27,060923,FP1,,,
WCL23,061223,FP1,,,
WCL28,061223,FP1,,,
WCL29,061223,FP1,,,
WCL24,061323,FP1,,,
WCL27,061323,FP1,,,
WCL23,061523,FP1,,,
WCL28,061523,FP1,,,
WCL29,061523,FP1,,,
WCL24,061623,FP1,,,
WCL27,061623,FP1,,,
WCL23,062023,FP1,,,
WCL28,062023,FP1,,,
WCL29,062023,FP1,,,
WCL24,062123,FP1,,,
WCL27,062123,FP1,,,
WCL23,062223,FP1,,,
WCL28,062223,FP1,,,
WCL29,062223,FP1,,,
WCL24,062323,FP1,,,
WCL27,062323,FP1,,,
WCL23,062623,FP1,,,
WCL24,062623,FP1,,,
WCL28,062623,FP1,,,
WCL29,062623,FP1,,,
WCL23,062723,FP1,,,
WCL24,062723,FP1,,,
WCL27,062723,FP1,,,
WCL23,062823,FP1,,,
WCL24,062823,FP1,,,
WCL28,062823,FP1,,,
WCL29,062823,FP1,,,
WCL23,062923,FP1,,,
WCL24,062923,FP1,,,
WCL27,062923,FP1,,,
WCL23,063023,FP1,,,
WCL24,063023,FP1,,,
WCL28,063023,FP1,,,
WCL29,063023,FP1,,,
WCL27,070423,FP1,,,
WCL28,070423,FP1,,,
WCL29,070423,FP1,,,
WCL27,070523,FP1,,,
WCL28,070523,FP1,,,
WCL29,070523,FP1,,,
WCL27,070623,FP1,,,
WCL28,070623,FP1,,,
WCL29,070623,FP1,,,
WCL27,070723,FP1,,,
WCL28,070723,FP1,,,
WCL29,070723,FP1,,,
WCL23,080823,FP1_retrained,,,
WCL24,080923,FP1_retrained,,,
WCL23,081023,FP1_retrained,,,
WCL24,081123,FP1_retrained,,,
WCL23,081223,FP1_retrained,,,
WCL24,081323,FP1_retrained,,,
WCL23,081423,FP1_retrained,,,
WCL24,081523,FP1_retrained,,,
WCL27,081523,FP1_retrained,,,
WCL29,081523,FP1_retrained,,,
WCL23,081623,FP1_retrained,,,
WCL28,081623,FP1_retrained,,,
WCL24,081723,FP1_retrained,,,
WCL27,081723,FP1_retrained,,,
WCL29,081723,FP1_retrained,,,
WCL23,081823,FP1_retrained,,,
WCL28,081823,FP1_retrained,,,
WCL24,091123,FP1_retrained,,,
WCL28,091123,FP1_retrained,,,
WCL23,091223,FP1_retrained,,,
WCL27,091223,FP1_retrained,,,
WCL29,091223,FP1_retrained,,,
WCL24,091323,FP1_retrained,,,
WCL28,091323,FP1_retrained,,,
WCL23,091423,FP1_retrained,,,
WCL27,091423,FP1_retrained,,,
WCL29,091423,FP1_retrained,,,
WCL24,091523,FP1_retrained,,,
WCL28,091523,FP1_retrained,,,
WCL23,091823,FP1_retrained,,,
WCL27,091823,FP1_retrained,,,
WCL29,091823,FP1_retrained,,,
WCL24,091923,FP1_retrained,,,
WCL28,091923,FP1_retrained,,,
WCL23,092023,FP1_retrained,,,
WCL27,092023,FP1_retrained,,,
WCL29,092023,FP1_retrained,,,
WCL24,092123,FP1_retrained,,,
WCL28,092123,FP1_retrained,,,
WCL23,092223,FP1_retrained,,,
WCL27,092223,FP1_retrained,,,
WCL29,092223,FP1_retrained,,,
WCL23,092523,FP1_retrained,,,
WCL24,092523,FP1_retrained,,,
