term,VIF
belief_p_right,42.95621994087824
Reward,31.566355860673017
Choice:Reward,28.438819790863043
Reward_lag1,17.37151463377579
Choice_lag1,16.285122770968666
Choice,12.26871456947043
RPE,10.43269973754604
trials_since_switch_expdecay,9.071434594037688
Choice_lag2,7.170153327076062
Choice:RPE,6.968480704265205
trials_since_switch,6.9632798920145245
Reward_lag2,5.898060129240432
Choice_lag3,4.920276105263298
Reward_lag3,4.883958666295592
C(Behavioral_State)[T.Right Bias],4.144415498320175
true_switch,3.9041080028055157
first_loss_after_switch,3.8124213312122497
C(Behavioral_State)[T.Left Bias],3.164267277667732
RPE_abs,2.0786727175599995
C(Behavioral_State)[T.Exploration],2.074848267170076
first_win_after_switch,1.8817479649111815
Q_unchosen,1.67425549361882
detected_switch,1.4619125998677946
