term,VIF
belief_p_right,45.84145114250065
Reward,31.358715324022743
Choice:Reward,26.245257698590695
Choice_lag1,19.41683576482555
Reward_lag1,16.935177690418243
Choice,12.339367402830336
RPE,10.057677249717289
trials_since_switch_expdecay,8.856577729775633
Choice_lag2,8.353543991689298
trials_since_switch,6.972832554640038
Choice:RPE,6.500913554044827
Reward_lag2,5.937570802993221
Choice_lag3,5.331165259055985
true_switch,4.960542192619959
Reward_lag3,4.935193606746698
first_loss_after_switch,4.698827190479973
C(Behavioral_State)[T.Right Bias],4.538890926099691
C(Behavioral_State)[T.Left Bias],3.198306900354683
C(Behavioral_State)[T.Exploration],2.1021797386230934
RPE_abs,2.100377813520951
first_win_after_switch,1.8350212855812804
Q_unchosen,1.6461086793809978
detected_switch,1.4404339135967652
