term,VIF
belief_p_right,46.67483517046784
Reward,28.30254707516138
Choice:Reward,23.937825042945132
Choice_lag1,20.231427726086952
Reward_lag1,14.225398537426395
Choice,11.967503547507512
RPE,9.323309907501702
trials_since_switch_expdecay,7.858282832740378
Choice_lag2,7.727509200463501
Choice:RPE,6.40420761548909
trials_since_switch,6.177498222231889
true_switch,5.782333286696513
first_loss_after_switch,5.722236016520615
Reward_lag2,5.488611257327773
Choice_lag3,5.284067721200069
C(Behavioral_State)[T.Right Bias],5.189942511637084
Reward_lag3,4.606178362068121
C(Behavioral_State)[T.Left Bias],3.1530108054751946
RPE_abs,2.0762174691452304
C(Behavioral_State)[T.Exploration],2.059536285676256
Q_unchosen,1.8982432740614725
first_win_after_switch,1.7951150911070743
detected_switch,1.3249647809199598
