peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue,Port:Reward_beta,Port:Reward_se,Port:Reward_tstat,Port:Reward_pvalue
-2.16,0.011084231994892946,0.01068337436700273,7405,0.4848056032522519,0.016271424077193942,29.794909219516708,2.48275905371637e-184,0.08462406362796933,0.016756071400989135,5.050352293376707,4.5153612670946903e-07,-0.12069334623288039,0.016267072467117363,-7.4194878320516935,1.3066062586238744e-13,0.010440667239980567,0.016765671471303714,0.6227407746746627,0.5334740702087913
-2.106,0.014503626735918318,0.014073779524549801,6882,0.4605845629382859,0.01584845797513189,29.061790343325367,3.014518364014324e-175,0.08678767564015219,0.016261377300903043,5.337043353353139,9.749263433785858e-08,-0.13166927299375622,0.015846578901503802,-8.30900308591283,1.152036271847784e-16,0.02043713861151755,0.016273428108697273,1.2558594584379548,0.2092095882137556
-2.052,0.01353898557821498,0.013071763752628307,6338,0.42252182806368643,0.015534360093391366,27.19917817814947,3.5954540545183475e-154,0.08315535284777291,0.01588810105545218,5.23381318872196,1.713892501822791e-07,-0.11672433426302649,0.01553463690592506,-7.5138115534909415,6.536828806762435e-14,0.01771707411077448,0.01590079881848503,1.114225411755917,0.26522477359294855
-1.998,0.0137740351607053,0.013261177144668235,5773,0.38265978902996073,0.015026808040997802,25.46514123198659,1.1783121512966473e-135,0.08106628660690145,0.015269675685640308,5.308972389186802,1.1436813746911406e-07,-0.10535581209338356,0.015027087827465455,-7.011059847592134,2.63578537360125e-12,0.019598329992067946,0.015280426598194214,1.2825774114437358,0.19969169830545475
-1.944,0.016153094921919187,0.015578753471202189,5143,0.3359959570058174,0.01482476914486032,22.66449842979887,1.78421126995338e-108,0.08709587798161215,0.01498566727998718,5.811945264387764,6.54713157032596e-09,-0.10362362513530425,0.014829371631507328,-6.987728658383582,3.149731443380681e-12,0.009921430757058047,0.01499706254160374,0.6615582704636157,0.5082840187869172
-1.89,0.013675113267966332,0.013020183064292978,4522,0.2895468147804396,0.014868961119131278,19.473237737362275,3.6207219852801764e-81,0.06759937376108896,0.01489673250891283,4.537865852168839,5.830149876002858e-06,-0.09558366719633037,0.014877462640387416,-6.424729102451392,1.4573691410912936e-10,0.007120924996314086,0.014908418126293786,0.4776445720793812,0.6329263075493905
-1.836,0.01240450647631497,0.011748732576232879,4522,0.21060177215128398,0.01424068521301045,14.788738673815766,2.303535083170931e-48,0.06459506969671294,0.01426728314521555,4.527496163022076,6.122238403972012e-06,-0.08495631525035124,0.01424882750937335,-5.9623372656075855,2.6760334877975356e-09,0.00630053526077821,0.014278474996301081,0.4412610774197104,0.6590451159712476
-1.782,,,3336,,,,,,,,,,,,,,,,
-1.728,,,2752,,,,,,,,,,,,,,,,
-1.674,,,2207,,,,,,,,,,,,,,,,
-1.6199999999999999,,,1633,,,,,,,,,,,,,,,,
-1.566,,,1130,,,,,,,,,,,,,,,,
-1.512,,,706,,,,,,,,,,,,,,,,
-1.458,,,390,,,,,,,,,,,,,,,,
-1.404,,,176,,,,,,,,,,,,,,,,
-1.35,,,176,,,,,,,,,,,,,,,,
-1.296,,,51,,,,,,,,,,,,,,,,
-1.242,,,51,,,,,,,,,,,,,,,,
-1.188,,,51,,,,,,,,,,,,,,,,
-1.134,,,51,,,,,,,,,,,,,,,,
-1.08,,,51,,,,,,,,,,,,,,,,
-1.026,,,51,,,,,,,,,,,,,,,,
-0.972,,,51,,,,,,,,,,,,,,,,
-0.918,,,51,,,,,,,,,,,,,,,,
-0.864,,,51,,,,,,,,,,,,,,,,
-0.8099999999999999,,,51,,,,,,,,,,,,,,,,
-0.756,,,51,,,,,,,,,,,,,,,,
-0.702,,,51,,,,,,,,,,,,,,,,
-0.648,,,51,,,,,,,,,,,,,,,,
-0.594,,,51,,,,,,,,,,,,,,,,
-0.54,,,51,,,,,,,,,,,,,,,,
-0.486,,,51,,,,,,,,,,,,,,,,
-0.432,,,51,,,,,,,,,,,,,,,,
-0.378,,,51,,,,,,,,,,,,,,,,
-0.324,,,51,,,,,,,,,,,,,,,,
-0.27,,,51,,,,,,,,,,,,,,,,
-0.216,,,51,,,,,,,,,,,,,,,,
-0.162,,,51,,,,,,,,,,,,,,,,
-0.108,,,51,,,,,,,,,,,,,,,,
-0.054,,,51,,,,,,,,,,,,,,,,
0.0,0.0002350593127714573,4.1018113181467974e-05,15461,-0.5057377046082283,0.015067348443665399,-33.56514296454398,1.7929810194664415e-238,0.009478658745835684,0.01507337953965439,0.6288343447399862,0.5294668051093521,0.010136236299549,0.015067867664958727,0.6727054235498401,0.5011447727040566,0.025004225399346092,0.015086029178174231,1.6574424657431426,0.09745034547492262
0.054,0.0010212991817514228,0.0008273478419601465,15456,-0.5412142941261544,0.015204317968358503,-35.59609153481715,8.39319045497894e-267,-0.0014143678594708727,0.01521003141975607,-0.09298914778267799,0.9259133882315369,0.05694162034961684,0.01520487420239786,3.744958333205871,0.00018107873412322729,0.019971607815647083,0.015222874210969515,1.3119472406370971,0.1895574265323625
0.108,0.0027572349076814273,0.0025634199105787348,15440,-0.3948398877967588,0.015466585566294044,-25.528574881919887,7.807385358168123e-141,-0.037502683230676,0.015480078907323508,-2.4226416063637615,0.015419551198575451,0.08974700768602091,0.015467133703524996,5.802433043270801,6.6640419234551516e-09,0.02425900452598478,0.015493082173385174,1.5657958987436449,0.11741690545120446
0.162,0.0043690344271575254,0.004172992625062655,15240,-0.0979873958936594,0.01601446544150581,-6.118680405010498,9.66621660594887e-10,-0.07987257232333003,0.01617991918374067,-4.9365248006673985,8.036803155918549e-07,0.10170213154468061,0.01601359960984754,6.350985039125058,2.2000592185581292e-10,0.011864714354269255,0.016189823657265373,0.732850128910751,0.4636611173098548
0.216,0.0044599765691947235,0.004242530623050467,13739,0.13792945970283257,0.01768088928225518,7.801047645338787,6.580787044037775e-15,-0.1041288087931128,0.019562397025483534,-5.322906423863412,1.0372871911823842e-07,0.09754442851435113,0.017684207987950236,5.515905975592263,3.532605121094582e-08,-0.0015904463456006314,0.0195798672811578,-0.08122865812942247,0.9352612924556365
0.27,0.0031815873691484198,0.002941852301175718,12478,0.25366656272633736,0.020925941755692963,12.122109756772435,1.2463855129073363e-33,-0.1166252967559368,0.025993529711104378,-4.4867048858745315,7.298015460330537e-06,0.07019122485863594,0.020945868572671524,3.35107730744648,0.0008073680839357976,0.023600292438379945,0.02604131948281149,0.9062633118094212,0.3648140043306861
0.324,0.002773563778473598,0.002523025355505193,11945,0.25868818930348625,0.024303177284342732,10.644212741275831,2.434886624436524e-26,-0.14361622880669808,0.0323127390087249,-4.444569950195793,8.886160568778869e-06,0.060124130880177554,0.024350601624874936,2.4691024807682282,0.01355913110910437,0.016148722955908874,0.03240797979379356,0.4982946502269021,0.6182855554343343
0.378,0.0041325563350339545,0.0038764175892354036,11668,0.19729884739076664,0.02778572666588857,7.100726562353418,1.313124413189082e-12,-0.24045846258174788,0.038540935801912535,-6.239040583176901,4.5551282146938287e-10,0.05311160497268532,0.027874497465866996,1.9053834078164738,0.05675481456522969,-0.0003185504773897674,0.03870567918661038,-0.008230070730808023,0.9934335685090399
0.432,0.00505312648346401,0.004792850879997812,11472,0.08236627661594186,0.03208020631951315,2.567510813228206,0.010255717340768451,-0.33321582470368416,0.04608396391963882,-7.230624199010867,5.113581862907746e-13,0.01880095091280968,0.032252122154594116,0.5829368629664451,0.559947265934359,0.03618580200195519,0.04638624914600798,0.7800976079797854,0.4353495242226564
0.486,0.007038134422491238,0.006775723781482501,11356,-0.041449600870985565,0.036614879431274984,-1.1320425333855109,0.25764046445470634,-0.45588360013945484,0.05379324863102468,-8.47473636081032,2.6465939203137567e-17,0.012224715638936762,0.03688316190373448,0.3314443504286163,0.7403149876218061,0.05009704583020092,0.05425139884795463,0.923424038716555,0.35580589573912036
0.54,0.007810763737753468,0.00754636795619501,11262,-0.1876195918059671,0.04229065240897647,-4.436431719983199,9.233074088449639e-06,-0.5529515045345595,0.0632797662889773,-8.738203962533884,2.7033317992414504e-18,0.02172040783365365,0.042658174904883994,0.5091733971761377,0.6106406675306684,0.03254839992422377,0.06389412115603507,0.509411497260252,0.6104738036954449
0.594,0.007699713887859838,0.007433657863341492,11193,-0.34247049020795683,0.049144092696219416,-6.968701046632662,3.3786131620310977e-12,-0.6504023566724335,0.0745248420594584,-8.727322845629391,2.9769006216783022e-18,-0.020979108663382748,0.04966218069425661,-0.4224363161283605,0.6727146922482466,0.1033049506643734,0.07537770882416647,1.3704973562589011,0.17055919348744603
0.648,0.006606605193260062,0.006339084530385786,11144,-0.5188413225706182,0.057049999076575514,-9.094501857470709,1.111124598295456e-19,-0.67869716730088,0.08736165817875725,-7.768821946032054,8.617301269086405e-15,-0.015033992196517108,0.05777865436134832,-0.2601997634367592,0.7947144956286263,0.09288506928778424,0.08854807549925582,1.0489789728808376,0.2942105526826002
0.702,0.005796907017756259,0.005527815599590813,11088,-0.6825712694746834,0.0638520124341087,-10.68989438945334,1.5284706522949158e-26,-0.6493561090297664,0.09832538042284854,-6.6041555724189305,4.180813543074803e-11,0.04576381734001029,0.06464849544447239,0.7078868119880307,0.4790304347153157,0.03850625788168979,0.09961478110066142,0.3865516488238724,0.6990955793031504
0.756,0.005508778131361192,0.00523762720292309,11007,-0.7335163757124267,0.07732077717977628,-9.486665841536347,2.876165510971469e-21,-0.7511848320617649,0.11996198233316456,-6.261857443931994,3.9460403650774475e-10,0.007540325237411808,0.078550666396392,0.09599314153951152,0.9235277678497322,0.09063516191929387,0.12193673862221306,0.7432965892264973,0.45731800624266805
0.8099999999999999,0.0046176930674111105,0.0043427762085638255,10866,-0.8401470898910853,0.08440788272282115,-9.953419784855436,3.063848524316074e-23,-0.7258214787674867,0.13124761087935913,-5.530169074351008,3.273246252271587e-08,-0.0004071231806530183,0.08554026714364057,-0.00475943312135524,0.9962026235339381,0.13577001348870993,0.1330625072491989,1.0203476268070044,0.3075863479531592
0.864,0.003702227999073493,0.003421211327768181,10640,-0.8727581079948422,0.09590681363754751,-9.100063643999091,1.063907896087624e-19,-0.7267986353858433,0.1495224649080693,-4.86079891628793,1.1858430482258815e-06,-0.04644312633104029,0.09696073163402157,-0.4789890252307495,0.6319562832135739,0.21122663961527322,0.15120798930879528,1.3969277720101714,0.16246443638694175
0.918,0.0029289133691458025,0.0026243401831267388,9825,-0.9961493703478227,0.12161877684554852,-8.190753074362002,2.919444832723412e-16,-0.5902036169651228,0.19033410355214495,-3.100882111772615,0.0019349149889676283,-0.159617086743995,0.12278273249216842,-1.2999962087842931,0.1936327776243755,0.4096836583622933,0.1921887726997126,2.13167321174587,0.03305847100027842
0.972,0.002506395982688092,0.0022016937311808427,9825,-0.9834624316832958,0.12449023068817384,-7.899916533584843,3.0902052202953005e-15,-0.5845779414999935,0.19482794576305235,-3.000483011872183,0.0027022845884647514,-0.0991342839572895,0.12568166765799746,-0.7887728242678305,0.43026383528430445,0.30503126626021865,0.19672640417563905,1.5505354633935364,0.12104527042684955
1.026,0.00331606396517381,0.002992360186013454,9241,-0.9312854006158372,0.14264219111647894,-6.528821475094749,6.977885263667107e-11,-0.6307868466278856,0.22354722188617204,-2.8217163304721176,0.004786939717766601,-0.3036307358022521,0.14321867110182204,-2.120049945068854,0.034028421027006026,0.6434283264966926,0.22446679516268556,2.8664744201045798,0.004160098832699599
1.08,0.0024131653835292033,0.002066821152091891,8645,-0.9305582148033464,0.15910257663108315,-5.848794120795826,5.131556303481277e-09,-0.5661693255114119,0.24953748305596143,-2.268874874338788,0.023300487853549372,-0.18724012348923233,0.15990473362733976,-1.170947971594125,0.24165198024817522,0.45054431517696136,0.25081440452508463,1.7963255181857036,0.0724776780306555
1.134,0.002733838089704177,0.002359956749322878,8006,-0.8182912774820601,0.18723897719038063,-4.3703041415892745,1.2564040788333498e-05,-0.6460061140853289,0.2939900234309906,-2.1973742732700874,0.028022283967390513,-0.3337941785185163,0.1881862134383987,-1.7737440613723876,0.07614351717067913,0.6886836427308153,0.29549524954590767,2.3306081698068803,0.01979875201390655
1.188,0.002269794777328249,0.0018603295768264694,7314,-0.8556888328332916,0.19123810849525308,-4.4744681881986486,7.7761496606578e-06,-0.4660702439808055,0.30013730409198913,-1.5528567679742986,0.12050064739506386,-0.27212954348550455,0.1922049129175373,-1.4158303206446015,0.15686779432293246,0.5894890024482095,0.3016738312520019,1.9540607814795257,0.05073210765900769
1.242,0.002295520931162698,0.0018405021660051757,6582,-0.782767511710251,0.23229213594342044,-3.369754677794647,0.0007566788321727297,-0.4679310321878849,0.36496467359818946,-1.2821269181330601,0.19984331102363675,-0.386818701712788,0.23397732974876997,-1.6532315422529584,0.09833146831887142,0.7739520566647651,0.3676364219106671,2.105210502926801,0.0353108071448536
1.296,0.0026238200812129797,0.002111381557534986,5843,-0.7208574198436226,0.2607523612853926,-2.7645288283876615,0.0057183946171167,-0.48293323332903043,0.40978524168648034,-1.1785032358449707,0.23864406678094333,-0.4275966755270198,0.26365019879650264,-1.6218333135301695,0.1048930335732661,0.8590805284318075,0.41437629817111354,2.0731893504127417,0.03819841609613145
1.35,0.0017704965978712073,0.0010955611662266662,4441,-0.7885751463616043,0.28110697082674163,-2.805249347045318,0.0050496589506885525,-0.3445277757125037,0.441500320708315,-0.7803567960262526,0.4352225176328215,-0.4069477244002547,0.2829552363311714,-1.438205313592296,0.15044633434956609,0.7830400012589811,0.4444286315634456,1.7619026895372203,0.07815459348783185
1.404,0.0020500607093724144,0.0013753143001156154,4441,-0.7454597659586212,0.2841066148337995,-2.6238733173978024,0.008723385473890354,-0.2594029828974471,0.4462114944911348,-0.581345362232933,0.5610372437164651,-0.42780754853390696,0.28597460286068227,-1.4959634326070599,0.13473430612318607,0.832666655262016,0.4491710528463952,1.8537852116368825,0.06383622029576692
1.458,0.0016941878441416591,0.0008985137111799935,3768,-0.7748743507690055,0.2835240437956591,-2.733011071637619,0.006305147258008094,-0.09463071831516305,0.44494473900757026,-0.21267971057761628,0.8315883101448236,-0.32728207018298555,0.2853873214527886,-1.1467996143519206,0.25153734152192486,0.6635818676078419,0.4478956621984809,1.481554575346125,0.1385425592273421
1.512,,,3126,,,,,,,,,,,,,,,,
1.566,,,2550,,,,,,,,,,,,,,,,
1.6199999999999999,,,2092,,,,,,,,,,,,,,,,
1.674,,,1685,,,,,,,,,,,,,,,,
1.728,,,1342,,,,,,,,,,,,,,,,
1.782,,,1060,,,,,,,,,,,,,,,,
1.836,,,644,,,,,,,,,,,,,,,,
1.89,,,644,,,,,,,,,,,,,,,,
1.944,,,495,,,,,,,,,,,,,,,,
1.998,,,383,,,,,,,,,,,,,,,,
2.052,,,320,,,,,,,,,,,,,,,,
2.106,,,257,,,,,,,,,,,,,,,,
2.16,,,204,,,,,,,,,,,,,,,,
2.214,,,163,,,,,,,,,,,,,,,,
2.268,,,131,,,,,,,,,,,,,,,,
2.322,,,112,,,,,,,,,,,,,,,,
2.376,,,84,,,,,,,,,,,,,,,,
2.43,,,52,,,,,,,,,,,,,,,,
2.484,,,52,,,,,,,,,,,,,,,,
2.538,,,41,,,,,,,,,,,,,,,,
2.592,,,32,,,,,,,,,,,,,,,,
2.646,,,21,,,,,,,,,,,,,,,,
2.7,,,14,,,,,,,,,,,,,,,,
2.754,,,14,,,,,,,,,,,,,,,,
2.808,,,14,,,,,,,,,,,,,,,,
2.862,,,11,,,,,,,,,,,,,,,,
2.916,,,11,,,,,,,,,,,,,,,,
2.9699999999999998,,,8,,,,,,,,,,,,,,,,
3.024,,,7,,,,,,,,,,,,,,,,
3.078,,,7,,,,,,,,,,,,,,,,
3.132,,,4,,,,,,,,,,,,,,,,
3.186,,,4,,,,,,,,,,,,,,,,
3.2399999999999998,,,4,,,,,,,,,,,,,,,,
3.294,,,4,,,,,,,,,,,,,,,,
3.348,,,4,,,,,,,,,,,,,,,,
3.402,,,4,,,,,,,,,,,,,,,,
3.456,,,4,,,,,,,,,,,,,,,,
3.51,,,4,,,,,,,,,,,,,,,,
3.564,,,3,,,,,,,,,,,,,,,,
3.618,,,3,,,,,,,,,,,,,,,,
3.672,,,3,,,,,,,,,,,,,,,,
3.726,,,3,,,,,,,,,,,,,,,,
3.78,,,3,,,,,,,,,,,,,,,,
3.834,,,3,,,,,,,,,,,,,,,,
3.888,,,3,,,,,,,,,,,,,,,,
3.942,,,3,,,,,,,,,,,,,,,,
3.996,,,3,,,,,,,,,,,,,,,,
4.05,,,3,,,,,,,,,,,,,,,,
4.104,,,3,,,,,,,,,,,,,,,,
4.158,,,3,,,,,,,,,,,,,,,,
4.212,,,3,,,,,,,,,,,,,,,,
4.266,,,3,,,,,,,,,,,,,,,,
4.32,,,3,,,,,,,,,,,,,,,,
