peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(word_l1)[T.R]_beta,C(word_l1)[T.R]_se,C(word_l1)[T.R]_tstat,C(word_l1)[T.R]_pvalue,C(word_l1)[T.l]_beta,C(word_l1)[T.l]_se,C(word_l1)[T.l]_tstat,C(word_l1)[T.l]_pvalue,C(word_l1)[T.r]_beta,C(word_l1)[T.r]_se,C(word_l1)[T.r]_tstat,C(word_l1)[T.r]_pvalue
-2.16,0.011084231994894167,0.01068337436700395,7405,0.6559580919052651,0.026654510951548416,24.609646490893848,1.3168860333355907e-128,-0.2282433310104516,0.03772269565857855,-6.050557284565282,1.5137700973556823e-09,-0.16334960025133996,0.05369350249370844,-3.0422600997295812,0.0023563185644718838,-0.43778753683386273,0.05116181824385307,-8.556919043557674,1.394547787349248e-17
-2.106,0.014503626735918429,0.014073779524549912,6882,0.6378874418382956,0.02609760659008756,24.442373274205885,1.3452705921456304e-126,-0.2375255366593223,0.036845904138267514,-6.446457000159006,1.222457134958948e-10,-0.14536291922036115,0.05225731339628283,-2.781676090349894,0.005422627549357031,-0.47331232779138305,0.04957772654009534,-9.546874389421586,1.814916537120332e-21
-2.052,0.013538985578214424,0.013071763752627752,6338,0.5839034382216984,0.025731477402378213,22.69218471566392,1.1438294779114464e-109,-0.21107332890270114,0.0362073981394966,-5.829563562935311,5.830882664524391e-09,-0.1435267070009826,0.0511080051752238,-2.8083018796938224,0.004995597579729147,-0.43298901542255097,0.04848446483581065,-8.930469107761402,5.475214241324599e-19
-1.998,0.013774035160705411,0.013261177144668346,5773,0.5297779149499405,0.02504272422723038,21.154963419430338,9.919046145872153e-96,-0.18594097953688854,0.03519047216673496,-5.283844406971494,1.3114427346742185e-07,-0.1346217198457242,0.049039635874629235,-2.74516148916536,0.006066841388529893,-0.407275272731179,0.04671050121177241,-8.719137285312062,3.616767350554013e-18
-1.944,0.01615309492191963,0.015578753471202633,5143,0.4914707074801668,0.024999603446308433,19.65914013539042,5.0755902542385034e-83,-0.1947484914227641,0.03486158307791913,-5.586335278793327,2.4384426281211228e-08,-0.16999840231884925,0.048173484765187145,-3.5288790741935196,0.0004209758519677644,-0.40864414379262093,0.04600914793622542,-8.88180203552246,8.944747825456006e-19
-1.89,0.013675113267966332,0.013020183064292978,4522,0.4262094661016854,0.025416390731851576,16.76907907964933,2.8292579097288993e-61,-0.18221391259395653,0.03519556533585752,-5.177183854135042,2.3504278308052208e-07,-0.13326432434233848,0.047907066802979396,-2.7817258128199702,0.005429498539174507,-0.34698468321526144,0.045925718348359325,-7.555345799564555,5.0265832694161166e-14
-1.836,0.012404506476315191,0.0117487325762331,4522,0.3349483833628397,0.02434244173235967,13.759851499103128,3.1248137757159105e-42,-0.16199103166953063,0.03370840523599221,-4.805656943288566,1.5924718324390541e-06,-0.1284895678490737,0.0458827925067405,-2.8003868297727887,0.005125829468550071,-0.3183572413629132,0.043985164325897046,-7.2378322609897525,5.33099764386523e-13
-1.782,,,3336,,,,,,,,,,,,,,,,
-1.728,,,2752,,,,,,,,,,,,,,,,
-1.674,,,2207,,,,,,,,,,,,,,,,
