peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_2)[T.01]_beta,C(reward_seq_2)[T.01]_se,C(reward_seq_2)[T.01]_tstat,C(reward_seq_2)[T.01]_pvalue,C(reward_seq_2)[T.10]_beta,C(reward_seq_2)[T.10]_se,C(reward_seq_2)[T.10]_tstat,C(reward_seq_2)[T.10]_pvalue,C(reward_seq_2)[T.11]_beta,C(reward_seq_2)[T.11]_se,C(reward_seq_2)[T.11]_tstat,C(reward_seq_2)[T.11]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.08194625433742442,0.08142889522462493,7103,0.1428790380857443,0.04620520232038223,3.092271668783861,0.001994016072289817,-0.5778704271041231,0.06142079240045994,-9.408384433343713,6.665292458841724e-21,0.32275493245299364,0.06385565358009304,5.054445681119961,4.424380200780684e-07,0.491000237757539,0.0514607009674873,9.541266024878894,1.8965871281178517e-21,-0.12913572511509977,0.016831105535436357,-7.672444620064694,1.9130895441052084e-14
-2.106,0.08830628405317331,0.0877444638615561,6496,0.07154211409503128,0.044097291693700365,1.6223697952237646,0.10477275674915633,-0.48688065447483,0.05856388052549607,-8.313667914523938,1.1197562533684254e-16,0.36220028990695924,0.06206420200927674,5.835896993452379,5.60824089766942e-09,0.5269051811279105,0.0494542104479314,10.654404879897344,2.739772576148743e-26,-0.12521104554108303,0.016471300765360266,-7.601770335249195,3.334099325315438e-14
-2.052,0.09691280641174449,0.096299191875588,5892,0.014820805060178029,0.04226495327958301,0.3506641770579582,0.7258528503301004,-0.4073475966106389,0.05580375951163339,-7.299644328187589,3.2672423688145295e-13,0.3558310180938741,0.05987693527123959,5.942705926446918,2.964167571082841e-09,0.5622346484072753,0.04766642967034287,11.795191129179262,9.391567278396811e-32,-0.11579350438042106,0.016011266227219052,-7.232001687884799,5.365348299922173e-13
-1.998,0.10585079539823272,0.10517545611983259,5301,-0.025990444302390732,0.04055021019045511,-0.6409447492459232,0.5215863136930795,-0.3612018798241196,0.05310117130377944,-6.802145243798253,1.1445904708288369e-11,0.3031662551784475,0.057929774970753446,5.233340804991987,1.728916392423738e-07,0.564936166007311,0.04593366138324396,12.298957866515575,2.6855977377902295e-34,-0.10431830564813105,0.01553241213206994,-6.716169050957894,2.061245495536819e-11
-1.944,0.12236253207018222,0.12161814066396515,4721,-0.11829597460281623,0.03894419080825625,-3.0375769055069757,0.002397935934736439,-0.29637245360778114,0.050743456194159854,-5.840604401753208,5.5502200758535796e-09,0.3471518467075019,0.056689390504654644,6.1237533799026815,9.881773692350164e-10,0.611080062077352,0.044457298570851844,13.745326003186413,3.499679348672487e-42,-0.09667677035848134,0.015228381521357153,-6.348459960954899,2.3792180078577794e-10
-1.89,0.13271618407785923,0.1318733426629689,4121,-0.17104129743771884,0.038088007078789156,-4.490686453714983,7.293849485573219e-06,-0.2608393999922488,0.049505839032381524,-5.2688613119279735,1.4429830868214329e-07,0.31729692534431087,0.05653226373887985,5.612669728031625,2.1233960691525342e-08,0.6065712644539362,0.04383673611219471,13.83705353659296,1.3509172504848619e-42,-0.10387082720996345,0.01523636384294483,-6.81729763614569,1.0625999017594046e-11
-1.836,0.1320749448528432,0.13123148027058162,4121,-0.265498732119387,0.03615110246562642,-7.344139293451186,2.48331713481292e-13,-0.24335203994874954,0.04698829885754494,-5.178992342040796,2.3375491386546557e-07,0.32986645489945415,0.05365740598636313,6.147640737297079,8.611457018365451e-10,0.5559549167055927,0.04160748908895018,13.361895391405373,6.770949922701104e-40,-0.122333184584748,0.014461542956302524,-8.459206943159108,3.692534189594483e-17
-1.782,,,2957,,,,,,,,,,,,,,,,,,,,
-1.728,,,2420,,,,,,,,,,,,,,,,,,,,
-1.674,,,1934,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,1447,,,,,,,,,,,,,,,,,,,,
-1.566,,,994,,,,,,,,,,,,,,,,,,,,
-1.512,,,615,,,,,,,,,,,,,,,,,,,,
-1.458,,,342,,,,,,,,,,,,,,,,,,,,
-1.404,,,160,,,,,,,,,,,,,,,,,,,,
-1.35,,,160,,,,,,,,,,,,,,,,,,,,
-1.296,,,40,,,,,,,,,,,,,,,,,,,,
-1.242,,,40,,,,,,,,,,,,,,,,,,,,
-1.188,,,40,,,,,,,,,,,,,,,,,,,,
-1.134,,,40,,,,,,,,,,,,,,,,,,,,
-1.08,,,40,,,,,,,,,,,,,,,,,,,,
-1.026,,,40,,,,,,,,,,,,,,,,,,,,
-0.972,,,40,,,,,,,,,,,,,,,,,,,,
-0.918,,,40,,,,,,,,,,,,,,,,,,,,
-0.864,,,40,,,,,,,,,,,,,,,,,,,,
-0.8099999999999999,,,40,,,,,,,,,,,,,,,,,,,,
-0.756,,,40,,,,,,,,,,,,,,,,,,,,
-0.702,,,40,,,,,,,,,,,,,,,,,,,,
-0.648,,,40,,,,,,,,,,,,,,,,,,,,
-0.594,,,40,,,,,,,,,,,,,,,,,,,,
-0.54,,,40,,,,,,,,,,,,,,,,,,,,
-0.486,,,40,,,,,,,,,,,,,,,,,,,,
-0.432,,,40,,,,,,,,,,,,,,,,,,,,
-0.378,,,40,,,,,,,,,,,,,,,,,,,,
-0.324,,,40,,,,,,,,,,,,,,,,,,,,
-0.27,,,40,,,,,,,,,,,,,,,,,,,,
-0.216,,,40,,,,,,,,,,,,,,,,,,,,
-0.162,,,40,,,,,,,,,,,,,,,,,,,,
-0.108,,,40,,,,,,,,,,,,,,,,,,,,
-0.054,,,40,,,,,,,,,,,,,,,,,,,,
0.0,0.028255478233449982,0.028052205663265495,19127,-0.9833757726700668,0.0390595180014808,-25.176341721185235,1.2617026790542511e-137,0.389736988325955,0.054577691803287434,7.140957696244669,9.600882102236963e-13,-0.539119273413086,0.05455442306416452,-9.882228481804262,5.643578758430146e-23,0.39805448269591165,0.04294737349761446,9.268424359362088,2.0845470642388277e-20,-0.043254890458328976,0.013911868534339109,-3.1092078214771472,0.0018786515715742908
