peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(word_l1)[T.R]_beta,C(word_l1)[T.R]_se,C(word_l1)[T.R]_tstat,C(word_l1)[T.R]_pvalue,C(word_l1)[T.l]_beta,C(word_l1)[T.l]_se,C(word_l1)[T.l]_tstat,C(word_l1)[T.l]_pvalue,C(word_l1)[T.r]_beta,C(word_l1)[T.r]_se,C(word_l1)[T.r]_tstat,C(word_l1)[T.r]_pvalue
-2.16,0.01684848184975951,0.016433007197773297,7103,0.5930626192117714,0.028763839119412743,20.61834015792116,8.809203704042155e-92,-0.3124499692800159,0.04047407761867483,-7.71975515350227,1.3253857161982385e-14,-0.35538152895955266,0.05970609151439822,-5.952182096425652,2.7718932336312358e-09,-0.5249109899723216,0.05308707618283809,-9.887735918332869,6.613352231801493e-23
-2.106,0.018741554066942112,0.01828810746530951,6496,0.5474744019108642,0.028498179509702834,19.21085526619216,4.837210279283299e-80,-0.29945892712748345,0.03986440549494531,-7.51193761475896,6.609550796334086e-14,-0.3560927593882116,0.05855605492092741,-6.081228659770029,1.2604303394180286e-09,-0.5230913077318563,0.051522270762700946,-10.15272230801099,4.868891704165105e-24
-2.052,0.021705241120254293,0.0212067893069664,5892,0.5052881896837049,0.027953323045596883,18.076140316465747,3.997758478013607e-71,-0.2724686359236963,0.03898511533521431,-6.989042704654564,3.073618295809818e-12,-0.36419547068641306,0.05690066638312695,-6.400548426519128,1.6677136483876602e-10,-0.5321613494599167,0.049984619381088766,-10.64650198499371,3.1319350147067846e-26
-1.998,0.02318143988112531,0.022628210566351448,5301,0.4412231061609168,0.027524901607613127,16.02996124930302,1.6545400217148852e-56,-0.24109313216958234,0.038097779732049405,-6.328272509979498,2.6831177833325215e-10,-0.34686696843309694,0.05556866297092499,-6.242132703725246,4.652302723211919e-10,-0.5116070876576507,0.04818357088637394,-10.617874064670671,4.493169608944945e-26
-1.944,0.025351050156590005,0.024731175903986657,4721,0.37062625471517985,0.027376469418111487,13.53813192836269,5.383589260100639e-41,-0.22508392852044634,0.03776265836533112,-5.960489495810757,2.697911391647002e-09,-0.34445336937888943,0.054752938836222835,-6.291048055141285,3.4388515127161425e-10,-0.49829085210977564,0.04740759321644254,-10.510781465635587,1.473707383378998e-25
-1.89,0.023834994089316774,0.02312367637794155,4121,0.2871214885506793,0.027958578277621427,10.269531079142775,1.9018790932022603e-24,-0.21739250030119425,0.03820958493629387,-5.689475576969725,1.3628275398557886e-08,-0.23651534038884575,0.05509491057430108,-4.292870937141839,1.8043661679460233e-05,-0.4663148052993536,0.04734792026087256,-9.848686124545738,1.2330084946581372e-22
-1.836,0.029387268673272127,0.02867999682630107,4121,0.18540544114573468,0.02645143653809358,7.009276826183948,2.786818400974816e-12,-0.2489700155740801,0.03614985000500743,-6.887165936776864,6.555001192008579e-12,-0.21283529043668092,0.05212495128175198,-4.083174855861991,4.526828034841986e-05,-0.48821641358238665,0.044795572062176235,-10.898765014201459,2.746645727290993e-27
-1.782,,,2957,,,,,,,,,,,,,,,,
-1.728,,,2420,,,,,,,,,,,,,,,,
-1.674,,,1934,,,,,,,,,,,,,,,,
-1.6199999999999999,,,1447,,,,,,,,,,,,,,,,
-1.566,,,994,,,,,,,,,,,,,,,,
-1.512,,,615,,,,,,,,,,,,,,,,
-1.458,,,342,,,,,,,,,,,,,,,,
-1.404,,,160,,,,,,,,,,,,,,,,
-1.35,,,160,,,,,,,,,,,,,,,,
-1.296,,,40,,,,,,,,,,,,,,,,
-1.242,,,40,,,,,,,,,,,,,,,,
-1.188,,,40,,,,,,,,,,,,,,,,
-1.134,,,40,,,,,,,,,,,,,,,,
-1.08,,,40,,,,,,,,,,,,,,,,
-1.026,,,40,,,,,,,,,,,,,,,,
-0.972,,,40,,,,,,,,,,,,,,,,
-0.918,,,40,,,,,,,,,,,,,,,,
-0.864,,,40,,,,,,,,,,,,,,,,
-0.8099999999999999,,,40,,,,,,,,,,,,,,,,
-0.756,,,40,,,,,,,,,,,,,,,,
-0.702,,,40,,,,,,,,,,,,,,,,
-0.648,,,40,,,,,,,,,,,,,,,,
