peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(word_l2)[T.LR]_beta,C(word_l2)[T.LR]_se,C(word_l2)[T.LR]_tstat,C(word_l2)[T.LR]_pvalue,C(word_l2)[T.Ll]_beta,C(word_l2)[T.Ll]_se,C(word_l2)[T.Ll]_tstat,C(word_l2)[T.Ll]_pvalue,C(word_l2)[T.Lr]_beta,C(word_l2)[T.Lr]_se,C(word_l2)[T.Lr]_tstat,C(word_l2)[T.Lr]_pvalue,C(word_l2)[T.RL]_beta,C(word_l2)[T.RL]_se,C(word_l2)[T.RL]_tstat,C(word_l2)[T.RL]_pvalue,C(word_l2)[T.RR]_beta,C(word_l2)[T.RR]_se,C(word_l2)[T.RR]_tstat,C(word_l2)[T.RR]_pvalue,C(word_l2)[T.Rl]_beta,C(word_l2)[T.Rl]_se,C(word_l2)[T.Rl]_tstat,C(word_l2)[T.Rl]_pvalue,C(word_l2)[T.Rr]_beta,C(word_l2)[T.Rr]_se,C(word_l2)[T.Rr]_tstat,C(word_l2)[T.Rr]_pvalue,C(word_l2)[T.lL]_beta,C(word_l2)[T.lL]_se,C(word_l2)[T.lL]_tstat,C(word_l2)[T.lL]_pvalue,C(word_l2)[T.lR]_beta,C(word_l2)[T.lR]_se,C(word_l2)[T.lR]_tstat,C(word_l2)[T.lR]_pvalue,C(word_l2)[T.ll]_beta,C(word_l2)[T.ll]_se,C(word_l2)[T.ll]_tstat,C(word_l2)[T.ll]_pvalue,C(word_l2)[T.lr]_beta,C(word_l2)[T.lr]_se,C(word_l2)[T.lr]_tstat,C(word_l2)[T.lr]_pvalue,C(word_l2)[T.rL]_beta,C(word_l2)[T.rL]_se,C(word_l2)[T.rL]_tstat,C(word_l2)[T.rL]_pvalue,C(word_l2)[T.rR]_beta,C(word_l2)[T.rR]_se,C(word_l2)[T.rR]_tstat,C(word_l2)[T.rR]_pvalue,C(word_l2)[T.rl]_beta,C(word_l2)[T.rl]_se,C(word_l2)[T.rl]_tstat,C(word_l2)[T.rl]_pvalue,C(word_l2)[T.rr]_beta,C(word_l2)[T.rr]_se,C(word_l2)[T.rr]_tstat,C(word_l2)[T.rr]_pvalue
-2.16,0.0768037585338116,0.07498028965958381,7103,0.7862725946186951,0.031031996538187945,25.337480095781427,1.1657965218376077e-135,-2.156366474701616,1.4210486074653417,-1.517447371872681,0.1291983684840987,-0.045692531525908665,0.08469649385063224,-0.5394855140814968,0.589568835751696,-0.05099767055973632,0.7110323655092688,-0.07172341658907443,0.9428240439916082,1.1238989374244401e-15,1.0653770317407061e-15,1.0549306995929093,0.29149297727828266,-0.35243683273400067,0.04387018657703762,-8.033629675021075,1.10003185410734e-15,0.28975172549856204,0.6361180840088364,0.4554999028993759,0.6487635902269995,-0.4024067789945513,0.07664184909641705,-5.250483694467172,1.561092817563143e-07,-1.1631896643267752,0.08997331486917211,-12.928162822700703,8.332214921139108e-38,-0.7147519660600014,0.1092366140653586,-6.543153796696316,6.443276835402871e-11,-0.8923645409571502,0.07664184909641067,-11.643306515668892,4.752098888291295e-31,-1.1859902046372697,0.1529373434810335,-7.754745686323171,1.0091355918292168e-14,-0.8000186102374979,0.10173970192871114,-7.8633866137928115,4.293753083929983e-15,-1.2811191004074713,0.08076731953879476,-15.86184991309653,1.0492126385282626e-55,-1.1612232318948148,0.21886730113502556,-5.305604016099338,1.1570077316615542e-07,-0.8757453846640735,0.06697407035967888,-13.075887130063217,1.26262387048497e-38
-2.106,0.08495503013015693,0.08297838615882891,6496,0.7525429342188534,0.030880796904390332,24.36928478720263,1.4068930919123706e-125,-2.340073135479689,1.3278742668887598,-1.7622701138433345,0.0780708030231429,-0.07924422179442374,0.0846102404567927,-0.9365795601879988,0.3490097676458481,-0.010355490793321764,0.7670630821299617,-0.013500181451265905,0.9892291563749649,-2.751295630424816e-16,3.947821367229098e-16,-0.6969149245868484,0.48588103290944007,-0.3487891952550484,0.04336657870121443,-8.042810977968179,1.0358003579041906e-15,0.2050862540158186,0.6644755336952107,0.30864380043508105,0.7576024186568296,-0.3946880792832732,0.07527048689753901,-5.243596734275644,1.6246146505624895e-07,-1.1013827013206252,0.08607509483561229,-12.795602530837346,4.856950541886244e-37,-0.7139885734116249,0.10582784691036,-6.746698475462692,1.643389184517409e-11,-0.8385585603081522,0.07389706117851219,-11.347657767911189,1.4462152070245386e-29,-1.1439221090339056,0.14563620633281713,-7.8546546757730145,4.660322746533974e-15,-0.8697857578762319,0.09837613249371843,-8.841430698973351,1.2010941783929057e-18,-1.233893512901502,0.07701858323017285,-16.02072462452297,1.1104605238688202e-56,-1.3103781014027134,0.20715468323275002,-6.325602110237736,2.6906715038762304e-10,-0.8901250796259468,0.06403578339519149,-13.900432421238827,2.6225345085154453e-43
-2.052,0.09387655934021,0.0917180212818065,5892,0.7164138335889962,0.030444381672092086,23.531889768867345,4.327905250710816e-117,-2.098241491562254,1.2287617960857389,-1.7076063873781486,0.08776221771867139,-0.1333996145401613,0.08272984825110247,-1.6124726124876412,0.10691282836700136,0.21583542902893943,0.709861317974777,0.3040529517014879,0.7610983143719099,-6.213257180031763e-15,3.553371462521215e-15,-1.7485526761177073,0.08042058128097486,-0.32690251970221085,0.04257818555516217,-7.677699635149842,1.8851901484451162e-14,0.5474499531161627,0.6149463660852492,0.8902401628962069,0.3733733838159552,-0.4073858211925308,0.07434549567018993,-5.479630171540829,4.4393683027341603e-08,-1.0243455461260529,0.08150152978322073,-12.56842109406567,9.054771344985151e-36,-0.7107561969910485,0.10206359747610758,-6.963856012986725,3.6721108019418306e-12,-0.8143135135590175,0.07106065269985944,-11.459415057703632,4.393810884069705e-30,-1.1217980848062339,0.1406714932554017,-7.97459427525596,1.8232959794387324e-15,-0.893784342802082,0.09439602779773573,-9.468452896314787,4.0143072563434225e-21,-1.1594428799925107,0.0733346947796129,-15.810291206323216,3.577943641812835e-55,-1.3782900000494511,0.2042271208552346,-6.748809826420876,1.6336450976029894e-11,-0.8977124866945786,0.06117210020875308,-14.675194796828727,6.494015098572426e-48
-1.998,0.10124357536845252,0.09886321404706733,5301,0.6539027904739303,0.030095739001054694,21.727420963180684,2.4748123538870035e-100,-2.4496537286909184,1.1300939976336135,-2.1676548444823416,0.030229449691027404,-0.16291272745824995,0.08189440155429292,-1.9893023743539404,0.04671929139543222,0.16313764808146913,0.6529226474093017,0.2498575424344287,0.8027072272756298,5.312736376005718e-16,2.753151559482991e-16,1.9296926671931516,0.05369838017900785,-0.295158542133174,0.04178415858796611,-7.063886221659613,1.828589129915937e-12,0.40302172339886033,0.5656477932436507,0.7124958820890516,0.47618920795239705,-0.3888875161172777,0.07203003742323345,-5.398963127455507,6.995465773832778e-08,-0.9899794805808415,0.07687968277506692,-12.87699746989467,2.201527080259509e-37,-0.69463395493688,0.09702472935235149,-7.159349575861969,9.215191098328652e-13,-0.750348374574184,0.06858562314649753,-10.940315771010125,1.4575245168626932e-27,-1.0413796392366277,0.1374063157880216,-7.578833864108378,4.092865304834715e-14,-0.8350982557776447,0.09346251869927177,-8.935113962257809,5.523156797318733e-19,-1.0778036812715373,0.06951649675686732,-15.504286486718916,4.708999646575723e-53,-1.3536748449133325,0.19606438837236442,-6.904236185627145,5.6415116376578905e-12,-0.8804225574065137,0.05825363375073623,-15.113607524876276,1.4812344050221037e-50
-1.944,0.11978482520589229,0.11716625052524676,4721,0.5925986323307467,0.029936712822608635,19.79504683236991,7.782042458517014e-84,-2.6402609634465217,1.0439288471644101,-2.5291579695476147,0.011466049490041074,-0.15033784022185828,0.08254752510240439,-1.8212277113742243,0.06863571317579545,0.010782240242561457,0.6032080490984298,0.017874828193484602,0.9857394677509985,-2.722209497158193e-15,1.2345549647700634e-15,-2.205012798004669,0.027501391615754402,-0.2681607874345539,0.04144142511028973,-6.470838942456414,1.073848727691157e-10,0.40721955199554816,0.5226078975354651,0.7792066555364551,0.43589717138615613,-0.3626370372912125,0.072230213371552,-5.020572698931521,5.342011121067892e-07,-0.9618276192624526,0.07383926482945066,-13.025964186994848,3.9475817054639964e-38,-0.6637070534726668,0.09373752152955259,-7.080484342264374,1.648803519387858e-12,-0.751064320480088,0.06556669788865023,-11.454966387900086,5.525884454661583e-30,-0.9999278763670649,0.13095157388322673,-7.635859934442096,2.6996656140620885e-14,-0.83701235145207,0.09004114049161026,-9.29588793391683,2.179872503047607e-20,-1.102405986673844,0.06614448198604829,-16.66663572792621,1.21789675787705e-60,-1.3579225072432066,0.20304066497298523,-6.687933707387531,2.5273752408685033e-11,-0.8732308088902615,0.05621400099644022,-15.53404478264337,4.1672389690491746e-53
-1.89,0.1294578498401291,0.12648961065302766,4121,0.5150602467144132,0.030763004375168445,16.742846063831273,6.418822760298293e-61,-2.457620863670387,0.9747552964407697,-2.521269566468801,0.011730779437306167,-0.03717267677675805,0.08408473849559323,-0.4420858938475051,0.6584503347316916,-0.2217764783916693,0.5633354870222259,-0.39368455121471746,0.6938343902207283,-8.177903295339905e-16,6.721092628064001e-16,-1.2167520592102798,0.22376849922435926,-0.2561414505762199,0.04209222100409076,-6.085244362641891,1.2694090811342287e-09,0.5882970890829151,0.48810525894884266,1.205266852379014,0.228169758013776,-0.3287977049862982,0.07336132213495494,-4.481894483600559,7.599933847148665e-06,-0.888841607278632,0.07239745827956955,-12.277248792993356,4.715028023255918e-34,-0.659043489642483,0.09241198321752625,-7.131580415184653,1.1670828884510987e-12,-0.6441593239294535,0.064957456437359,-9.916634044170761,6.36663073718328e-23,-0.84607737630215,0.12749927239949846,-6.635938859722294,3.6446857508810055e-11,-0.8440808834163729,0.08961002127036866,-9.419492055131172,7.348485485477156e-21,-1.0987636479791445,0.06504457535015173,-16.892471694437486,6.04584679158383e-62,-1.2974136333930404,0.20998068083661228,-6.1787285774283625,7.090157201969319e-10,-0.8509765736711588,0.05536348835941535,-15.370718119253736,6.986624620729475e-52
-1.836,0.13017080546168203,0.12720499719973932,4121,0.3946672589334181,0.029175858267981022,13.527185912009477,8.000789915693999e-41,-1.9278918103426537,0.9244650499050615,-2.085413408046783,0.03709339825651211,0.008369740734821982,0.07974658076074999,0.10495422693961365,0.9164172560668893,-0.127681266852638,0.5342714946252557,-0.2389819934941413,0.8111314723742793,-4.621195261314212e-16,6.374333388602707e-16,-0.7249691818091752,0.46851224815939574,-0.2846877267299342,0.039920570150527156,-7.131354228070184,1.1689791868331683e-12,0.7172227286882866,0.4629225962872045,1.549336183717656,0.12137799397189529,-0.3591258609311437,0.06957641428185196,-5.161603463442879,2.5642541783015976e-07,-0.7843240505025872,0.06866227875427477,-11.422924853826771,9.005085958377638e-30,-0.6820476245090333,0.087644200538291,-7.782005201942057,8.969968568875848e-15,-0.6056711114809359,0.061606126610790776,-9.831345432693508,1.4613491180928574e-22,-0.809949511123618,0.12092124213333122,-6.698157386032675,2.3965866428904467e-11,-0.8271786074225553,0.08498679934152968,-9.733024585364587,3.7767746190238335e-22,-1.0469138013763266,0.06168875082463878,-16.970902917978755,1.7397981066749621e-62,-1.2422416533111336,0.19914721294413926,-6.237805867057663,4.885945456773602e-10,-0.8473522912422883,0.052507137140972916,-16.13784977397051,7.500943412133886e-57
-1.782,,,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
