peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_2)[T.01]_beta,C(reward_seq_2)[T.01]_se,C(reward_seq_2)[T.01]_tstat,C(reward_seq_2)[T.01]_pvalue,C(reward_seq_2)[T.10]_beta,C(reward_seq_2)[T.10]_se,C(reward_seq_2)[T.10]_tstat,C(reward_seq_2)[T.10]_pvalue,C(reward_seq_2)[T.11]_beta,C(reward_seq_2)[T.11]_se,C(reward_seq_2)[T.11]_tstat,C(reward_seq_2)[T.11]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.18653607600104383,0.18336158263909663,1030,0.3126117026225881,0.10064260236272658,3.106156789307797,0.001947465035549867,-0.7474751246121091,0.13334673407238637,-5.605500050765002,2.6687431888112025e-08,0.7799954136714286,0.14689941845350324,5.3097243126140325,1.3460460451105063e-07,0.779891715070908,0.11723186989741417,6.652557156627853,4.679859795666567e-11,0.027085728768572154,0.041849114352688996,0.6472234642841795,0.5176322455267006
-2.106,0.18036575824244894,0.17679436721082553,923,0.35296493395585943,0.09580767369641123,3.68409878183986,0.0002429386544951779,-0.6778060388669345,0.12743115915690037,-5.318997671773367,1.3113491512320674e-07,0.6667664517034405,0.14205436233453478,4.693741471544681,3.091092173112138e-06,0.6970733622888351,0.11337069369442389,6.14862042008587,1.1646303493809075e-09,0.06445260081623641,0.04118467544095296,1.5649656122370807,0.1179356047089478
-2.052,0.19487014370799405,0.19106787756257737,852,0.2413493869496242,0.0902973394597956,2.672829436542632,0.0076661007983976695,-0.5103940758205866,0.11965043694426453,-4.265710087279815,2.2172176745506367e-05,0.7169354899953773,0.13570498017195368,5.283044801207283,1.616762355611267e-07,0.7915872117092342,0.10778573721081038,7.344081250388682,4.868815778083207e-13,0.04310867561731539,0.039344659493691564,1.0956677773314405,0.27353563075324666
-1.998,0.20273426952830742,0.1985215047702008,762,0.21760854109076413,0.087224680737161,2.4948046728482285,0.01281470073167434,-0.4540555164699298,0.11546713732206665,-3.9323354419314622,9.184498048577972e-05,0.6460467710618063,0.13190615312354953,4.897775848687577,1.1856142455359989e-06,0.787844536965247,0.10525599990825281,7.4850320898759,1.9907365887601861e-13,0.038474571246470655,0.038656782541019404,0.9952864340337844,0.3199150031586224
-1.944,0.22085238687004438,0.21634212572312717,696,0.13803192518028398,0.08283898170179373,1.6662677684423437,0.09611328920886526,-0.37137605617493974,0.10887651827101585,-3.4109839483524724,0.0006849631525762755,0.7107676367961395,0.12667083776322507,5.6111386752230725,2.9102355385553842e-08,0.8015446865171674,0.10156918151027358,7.8916131310568085,1.1704770574501412e-14,0.0417161565183854,0.03736504483569929,1.116448721039108,0.2646181761108634
-1.89,0.26634607885033124,0.2615194083164518,613,0.034492026505508325,0.07678210750283017,0.4492195854904993,0.6534333416972777,-0.30014137102010235,0.10072955661215455,-2.9796752920868683,0.003000725332826119,0.738334365223112,0.12059743879139265,6.122305520105365,1.6548235709064217e-09,0.8716063722290316,0.09570849318745256,9.106886371326759,1.2100290962306327e-18,-0.0006454141063710618,0.03549480186266046,-0.01818334157402409,0.9854985572412116
-1.836,0.26499141839773444,0.2601558356240353,613,-0.12506577060296642,0.07535406056759522,-1.6597084438572234,0.097488772771541,-0.18262829256507288,0.09885611839476438,-1.8474151679290014,0.0651725896676642,0.7505631709321107,0.11835448390952925,6.341653870130048,4.4367737520812314e-10,0.9432333919342024,0.09392844019311064,10.042042537861558,4.662441137980137e-22,-0.027503528559644462,0.03483464489816355,-0.7895452541585812,0.4301011847419556
-1.782,,,430,,,,,,,,,,,,,,,,,,,,
-1.728,,,359,,,,,,,,,,,,,,,,,,,,
-1.674,,,267,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,197,,,,,,,,,,,,,,,,,,,,
-1.566,,,129,,,,,,,,,,,,,,,,,,,,
-1.512,,,76,,,,,,,,,,,,,,,,,,,,
-1.458,,,37,,,,,,,,,,,,,,,,,,,,
-1.404,,,24,,,,,,,,,,,,,,,,,,,,
-1.35,,,24,,,,,,,,,,,,,,,,,,,,
-1.296,,,12,,,,,,,,,,,,,,,,,,,,
-1.242,,,12,,,,,,,,,,,,,,,,,,,,
-1.188,,,12,,,,,,,,,,,,,,,,,,,,
