peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(word_l1)[T.R]_beta,C(word_l1)[T.R]_se,C(word_l1)[T.R]_tstat,C(word_l1)[T.R]_pvalue,C(word_l1)[T.l]_beta,C(word_l1)[T.l]_se,C(word_l1)[T.l]_tstat,C(word_l1)[T.l]_pvalue,C(word_l1)[T.r]_beta,C(word_l1)[T.r]_se,C(word_l1)[T.r]_tstat,C(word_l1)[T.r]_pvalue
-2.16,0.009633763883435176,0.006737956175491888,1030,0.6612383611832551,0.08210130571116894,8.053932339510906,2.2110332706892563e-15,0.09205671109964311,0.10806721828965866,0.8518467723754887,0.39449792602384215,-0.2543623749464806,0.1630475963012837,-1.5600498303358181,0.11905648757067745,-0.256365695099665,0.13663549123844648,-1.87627455191912,0.06090128439096262
-2.106,0.011880558311408329,0.008654923572490314,923,0.5774406620925497,0.08130856038434606,7.101843389711787,2.464577281298537e-12,0.19072227312072335,0.1064578950311875,1.7915277496784066,0.07353758323832596,-0.23889106797941748,0.157453350136335,-1.517218069812853,0.12955553486938434,-0.09873816405914508,0.13328446244337042,-0.7408077599524905,0.45899924429336436
-2.052,0.012044499867535197,0.008549374277443844,852,0.5608646936426835,0.07844703183764598,7.149597384429399,1.879158250469317e-12,0.14433840761049854,0.10268722898127239,1.4056120614260834,0.16020561743834036,-0.2275352354303496,0.15035830695353325,-1.5132867617395234,0.13057942522869945,-0.1621680932219457,0.12956569679291585,-1.2516283031390483,0.2110504794261058
-1.998,0.012586489765712305,0.008678520727845807,762,0.5383935629016346,0.07807068987257941,6.896231655956372,1.1263099557828057e-11,0.11690353129082975,0.1020290582331634,1.1457866348592012,0.25224504602445647,-0.2453326400865663,0.14737005229724062,-1.6647387733278285,0.0963781397537475,-0.16330990267420592,0.12655490548983095,-1.2904272816775826,0.19729583077701562
-1.944,0.016237361509988668,0.01197249458011862,696,0.47295666287156324,0.07629849492825254,6.1987679221760414,9.776652577686054e-10,0.11785147114304867,0.09976710818720709,1.181265782725779,0.2379029670015621,-0.28416690810474265,0.1435040623516277,-1.9802011416823107,0.04807661201338502,-0.15837342447122005,0.12299036222225991,-1.2876897149470805,0.19828445873122907
-1.89,0.030300749490181356,0.025523905891610688,613,0.4657087180105896,0.07413634409232929,6.281786938813663,6.372651157607686e-10,0.03867754984953527,0.09700252649454093,0.39872724193129083,0.6902339555175263,-0.41352578392830275,0.14026686709382816,-2.9481358819519694,0.0033194591567739986,-0.3138736268583548,0.11802549657042374,-2.659371372956452,0.00803461938872205
-1.836,0.03131681695888322,0.026544978618779136,613,0.39259026108131456,0.07265233285988414,5.403684171277149,9.379218755613636e-08,-0.009078921877233111,0.09506079547642951,-0.0955064791087746,0.9239439614744358,-0.40167351859454886,0.13745909974495685,-2.9221311600310087,0.0036053746720310273,-0.37231741699412496,0.11566294194529558,-3.2189862261174174,0.0013548312969063395
-1.782,,,430,,,,,,,,,,,,,,,,
-1.728,,,359,,,,,,,,,,,,,,,,
-1.674,,,267,,,,,,,,,,,,,,,,
-1.6199999999999999,,,197,,,,,,,,,,,,,,,,
-1.566,,,129,,,,,,,,,,,,,,,,
-1.512,,,76,,,,,,,,,,,,,,,,
-1.458,,,37,,,,,,,,,,,,,,,,
-1.404,,,24,,,,,,,,,,,,,,,,
-1.35,,,24,,,,,,,,,,,,,,,,
-1.296,,,12,,,,,,,,,,,,,,,,
-1.242,,,12,,,,,,,,,,,,,,,,
-1.188,,,12,,,,,,,,,,,,,,,,
-1.134,,,12,,,,,,,,,,,,,,,,
-1.08,,,12,,,,,,,,,,,,,,,,
-1.026,,,12,,,,,,,,,,,,,,,,
-0.972,,,12,,,,,,,,,,,,,,,,
-0.918,,,12,,,,,,,,,,,,,,,,
-0.864,,,12,,,,,,,,,,,,,,,,
-0.8099999999999999,,,12,,,,,,,,,,,,,,,,
-0.756,,,12,,,,,,,,,,,,,,,,
-0.702,,,12,,,,,,,,,,,,,,,,
-0.648,,,12,,,,,,,,,,,,,,,,
-0.594,,,12,,,,,,,,,,,,,,,,
-0.54,,,12,,,,,,,,,,,,,,,,
-0.486,,,12,,,,,,,,,,,,,,,,
-0.432,,,12,,,,,,,,,,,,,,,,
-0.378,,,12,,,,,,,,,,,,,,,,
-0.324,,,12,,,,,,,,,,,,,,,,
-0.27,,,12,,,,,,,,,,,,,,,,
-0.216,,,12,,,,,,,,,,,,,,,,
-0.162,,,12,,,,,,,,,,,,,,,,
-0.108,,,12,,,,,,,,,,,,,,,,
-0.054,,,12,,,,,,,,,,,,,,,,
0.0,0.019703775173247617,0.01890764938156375,3698,0.06266707799103764,0.052403812147353866,1.1958496037430364,0.23183201051341548,-0.3776641959772882,0.07388340190286417,-5.111624346613195,3.355951384319026e-07,-0.35600983572053646,0.10870330069779183,-3.275060034380063,0.001066140913667935,-0.8328831836057372,0.10022207128095957,-8.310376875676988,1.3243495329235204e-16
0.054,0.017237740359393516,0.016439179476695376,3696,-0.020104602466404765,0.05254855694581929,-0.3825909527284225,0.7020451025736416,-0.3144846254929291,0.07408747557003019,-4.244774478726391,2.24195667777209e-05,-0.3490869118518005,0.10920546712519527,-3.196606553146286,0.0014022777164239184,-0.7907590118453962,0.10049889510187887,-7.868335378650473,4.684099391204301e-15
0.108,0.01626028247465061,0.01546092734123361,3696,-0.011198619978754125,0.051527001265764746,-0.21733498367184514,0.8279593049231901,-0.30501167136968865,0.07264719850271698,-4.198533152772317,2.749852582237941e-05,-0.2801103361912215,0.10708248846091384,-2.6158370076865043,0.008937145287500954,-0.7556239021919331,0.09854517414173178,-7.667792043323839,2.2232639310918922e-14
0.162,0.015017936596611214,0.01421123547998282,3667,0.07495700521355238,0.05015240638984316,1.4945844199558216,0.13510907195137128,-0.34566083990661317,0.07072181456793539,-4.887612712122528,1.0644192731743461e-06,-0.13330794944386892,0.10501195900360046,-1.2694549335975944,0.2043595006578216,-0.6743432607215006,0.09730843218864353,-6.92995710191085,4.952470414924648e-12
0.216,0.01581909205709897,0.014941142986677147,3367,0.05620594224454943,0.04976937715999666,1.1293278206769748,0.25884011565000054,-0.3662307693754951,0.07018169049180242,-5.218323565720787,1.914850484811724e-07,0.3815001685966851,0.12642186884022208,3.017675439356485,0.0025663082915557867,-0.3721061470105309,0.11033243353742347,-3.3725907702771445,0.0007530636901388519
0.27,0.013456381672200424,0.012498262263011761,3093,-0.05686049103415095,0.05034899452575108,-1.1293272401908554,0.25884750441869164,-0.35418413204649796,0.07099903097079317,-4.988576987652106,6.418807189364231e-07,0.49325846920802,0.17006553999832733,2.900402216774024,0.0037531604407320075,-0.01396605004730026,0.14218238061438382,-0.09822630614954966,0.921758967230387
0.324,0.019579767755899202,0.018593760147205707,2987,-0.27821209937361757,0.05065327036255673,-5.492480493012234,4.296480733694423e-08,-0.2915301711841399,0.0714281018939474,-4.081449225922148,4.593001134639285e-05,1.0155721707762513,0.20536888726134644,4.945112106897983,8.031158062182554e-07,0.41130790151043095,0.16992440654730287,2.4205345769204305,0.015557056253846346
0.378,0.023959405315030158,0.022953868988088155,2916,-0.5341040016456494,0.052755055108901605,-10.124224124931823,1.0595254371115713e-23,-0.214079990211133,0.07439190845463903,-2.8777321977385446,0.004034615510595208,1.543703485973956,0.2412529881608388,6.3986916711050155,1.8198311932935967e-10,0.7813830456254589,0.2210318256050371,3.535160800878134,0.00041387657096039846
0.432,0.02383285622653475,0.022809620226772243,2866,-0.8075003201163673,0.05447816782411568,-14.82245736904011,6.015461192749302e-48,-0.1310411581264127,0.07679393647977456,-1.7063998035955013,0.08804215320609197,1.8339153367838448,0.30570402826345344,5.998989765366749,2.2349827722502016e-09,1.3619515838738532,0.26829730129712026,5.07627761177362,4.0954972368867544e-07
0.486,0.02858713790120171,0.027556643351591914,2832,-1.080576289473617,0.05573421873045265,-19.388022548581997,1.0070218711282632e-78,-0.04419054588458968,0.07855027699679942,-0.5625765761003013,0.5737678373648405,2.463038410609399,0.3808731501707215,6.46682080242562,1.1749494099534592e-10,2.054250016966023,0.32707499066061513,6.280669802411115,3.8899860537165074e-10
0.54,0.023229716701192338,0.022187643141485247,2816,-1.32897478902222,0.0579712341996769,-22.92472822718732,9.022087071164351e-107,0.019890474626425486,0.08170306515381293,0.24344832827238472,0.807675866839609,2.3981185235432454,0.4834606300690637,4.960318119803607,7.456549410901114e-07,2.400024313021603,0.3674270997259155,6.531974138031506,7.675808751219631e-11
0.594,0.015421951788464061,0.014366669850402358,2803,-1.5734872095033579,0.05888983067832184,-26.719166813338795,2.7713511138946164e-140,0.07955558389726937,0.08299770979922809,0.9585274592481499,0.33787963817656264,2.266928034045437,0.532121219845212,4.260172211709318,2.1100962821509527e-05,2.257143152925721,0.4400611308271015,5.129158189189276,3.109110280410688e-07
0.648,0.008943547311783817,0.007874061931185006,2784,-1.7762253653803315,0.06142644376916084,-28.916298199767926,5.7105312854716604e-161,0.15663338908329985,0.08657274261493487,1.8092691111795578,0.07051717762429159,2.3522684823029083,0.7606303695615216,3.0925250639925324,0.0020043126901752957,2.2708747983318247,0.6109648734270704,3.716866381521841,0.00020568700447515467
0.702,0.008874640199163286,0.0078023805239370025,2777,-1.9268833569250459,0.06310876047930683,-30.532739706666636,9.213112511214284e-177,0.22429654981857816,0.08894375357711128,2.5217796730842994,0.011731866919651834,2.244305472291042,0.9560508571720095,2.34747498572375,0.01897109325891791,2.83640617741014,0.741628634263317,3.8245640019382896,0.00013389026339426027
0.756,0.011957365847360957,0.010881457352820756,2759,-2.0111595945597696,0.06500738928793592,-30.937399833913968,1.2259484072817132e-180,0.255851196931037,0.09158492828291988,2.7935949913142193,0.005248602139453173,3.921668806880237,1.2017579025119542,3.263276903511959,0.0011147730027164292,3.4866009071875244,0.8510135183743882,4.096998263726355,4.306162676624916e-05
0.8099999999999999,0.008799059806165244,0.0077078294132912895,2729,-2.0545546230528147,0.06669640053436064,-30.804580256086677,4.731701185229277e-179,0.2646381821618616,0.09385843340496905,2.8195461245345177,0.004843913863215407,4.262635115541953,1.2257448449379413,3.4775876342827026,0.0005138706869580889,2.8443755448926944,1.2257448449378854,2.3205282540158945,0.020385801880454617
0.864,0.008932734587560276,0.007827044072038825,2693,-2.0762728573055607,0.06940154822902837,-29.916808922673635,5.277503848491185e-170,0.31197270347424133,0.09773122547734746,3.1921497141827166,0.0014284719232379329,4.531049750868541,1.2683595765632318,3.572370039690124,0.0003599763416151013,2.783526989717575,1.792388199030355,1.552971053493549,0.12054772966151185
0.918,0.0076189823316019645,0.006849396431897969,2582,-2.0437116865982654,0.07233851595205562,-28.252054382105275,3.1985038598792453e-153,0.34202303719821475,0.10210442491924633,3.3497376579782743,0.0008205192097394803,5.544523786389807,1.8350329650466681,3.0214845683978218,0.002540099347907707,0.0,0.0,,
0.972,0.007330487001700692,0.006560677375490376,2582,-1.9721816393454084,0.0750600532071111,-26.27471677782619,5.010816820974256e-135,0.34281010300247056,0.10594582244678086,3.2357113766771914,0.0012287484305129569,5.745639431633958,1.9040710219227504,3.017555209590844,0.0025731444392888075,0.0,0.0,,
1.026,0.003756849897300407,0.002964923704849909,2519,-1.9005997653894504,0.07770039612077993,-24.46061873912584,1.0040085821345177e-118,0.33821789144865716,0.10984134020004571,3.0791493515345545,0.0020983382160462477,0.39517362939718953,2.7569957581896967,0.14333487029253505,0.8860371957435943,0.0,0.0,,
1.08,0.00385133548875638,0.0030364899554138347,2448,-1.826769950590654,0.08030469279983721,-22.747985041720465,4.566688024428079e-104,0.3500989016049365,0.11387086524391114,3.0745256993966406,0.0021316721465491403,0.1329718152640187,2.8175390994745735,0.047194310555908815,0.9623622163402917,0.0,0.0,,
1.134,0.003962408258523897,0.003115797470813364,2356,-1.7726864367107158,0.08334780717302775,-21.268543190712474,5.8566037102793476e-92,0.36134093442060056,0.1182993554671168,3.054462410161153,0.002279916791702526,-0.3252771895117441,2.8715708614232143,-0.11327500006408671,0.9098221998858015,0.0,0.0,,
1.188,0.004030224567625251,0.003152331420483434,2272,-1.6950087679595995,0.0857501261411996,-19.76683702095703,2.2687409164255644e-80,0.36843592292204835,0.12210524612343822,3.0173635828029073,0.002578181880665567,-0.6262687190740643,2.9104557927382047,-0.21517891480662568,0.8296471679516126,0.0,0.0,,
1.242,0.004172628717556304,0.003253968780948968,2171,-1.626190684180702,0.0896034345852505,-18.148753914488754,1.2242833625294497e-68,0.38330776003776695,0.12796279274545,2.995462601384935,0.0027713334484989033,-0.8067321546080145,2.981250487101788,-0.2706019363680763,0.7867229645675884,0.0,0.0,,
