peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.09483771117166873,0.08952884144247031,1030,0.9525669117600849,0.13050981577859616,7.298814315821811,5.82019404332726e-13,-0.009476368763306802,0.16339949729365816,-0.05799509129624842,0.9537638643631983,-0.9645417313330218,0.1555098841300945,-6.20244646652889,8.05719924613065e-10,-0.03471788237195375,0.1881525230421411,-0.18451988743290929,0.85364219839537,-0.02809727051273903,0.19991086334176938,-0.1405489929014197,0.8882539142860246,0.026081423794666582,0.04389280884341484,0.5942072171254889,0.5525049045692638,0.024295649717857956,0.0642964062660197,0.37786948180800695,0.7056059418263805
-2.106,0.09108212073189204,0.08512851016900047,923,0.9848507843158111,0.1304247216964462,7.551105124134194,1.042686185676774e-13,-0.08792159148918237,0.1649083979821816,-0.5331541180739766,0.5940562259090052,-0.9259097615983833,0.15294225317605992,-6.053982744274858,2.059125750736874e-09,-0.1861185558831433,0.1841423878609527,-1.010731738874174,0.3124117481466315,-0.08315885654225999,0.1954588072515493,-0.42545464034903874,0.6706052161888527,0.024404406210959746,0.04253838292937622,0.5737031953348305,0.5663094944610292,0.09390436645600046,0.06122547116842997,1.533746734225557,0.12543726920495948
-2.052,0.10300116974024898,0.09663194727686608,852,0.9416076468526866,0.12438266049039576,7.570248482708674,9.752410934542323e-14,-0.1041683929586289,0.15890946371948872,-0.6555203857619818,0.5123111898748789,-0.9063974104980496,0.1455162696881298,-6.228838963784866,7.401933134113247e-10,-0.16295872136179534,0.17577586363097947,-0.9270824673853277,0.3541484329884199,-0.06927649393284759,0.18698438887839125,-0.37049346391105853,0.7111076967847194,0.02907677862969765,0.04075581996980207,0.7134386855973459,0.4757713307142267,0.06339550389088883,0.057801832010451616,1.0967732628167526,0.2730529798614713
-1.998,0.0975461770527214,0.0903743585922131,762,0.7940632255696604,0.12347752284586944,6.430832164983162,2.250441375695958e-10,-0.06397790131237849,0.15861265577833406,-0.4033593725445813,0.6867980737330079,-0.7257789825897613,0.14387702351320192,-5.044439792175468,5.702107662461607e-07,-0.04086375949447847,0.17441885287571557,-0.23428522101103644,0.8148270757391138,0.11785235442434498,0.18476465917741278,0.6378511721290923,0.5237639631414337,0.03222563262970828,0.03989876180497933,0.8076850301075397,0.41952631307422916,0.022387588921567867,0.056574893158221166,0.3957159734965336,0.6924263624447664
-1.944,0.11719106065367046,0.10950331952728731,696,0.7592383931544879,0.12377870587313608,6.133836897056029,1.4457343233460382e-09,-0.0801139731113215,0.15656849158003044,-0.5116864338593375,0.6090344317294916,-0.7495178346102004,0.14186373575988825,-5.283364565267041,1.703333230937369e-07,-0.08935354389668532,0.17122649342430077,-0.5218441498726861,0.6019465594173206,0.11132930769652617,0.18056203658417921,0.6165709570107984,0.5377214193906168,0.03809409391599213,0.03842739878060142,0.9913263745352042,0.32187424481236193,0.03161235683695193,0.05340782558056395,0.5919049594944795,0.5541083994153957
-1.89,0.14305634463848194,0.13457175399133814,613,0.741674296552257,0.12045936535134744,6.157049677200219,1.3494022431015083e-09,-0.16947464879313,0.15339489643190518,-1.1048258627584975,0.2696735131421135,-0.7760384089420636,0.1370398806185697,-5.662865477109193,2.300605607439046e-08,-0.14168571982006806,0.16481620105284225,-0.8596589347101972,0.39031701743037106,0.04034800579138573,0.17436225380553516,0.2314033279036731,0.8170795906523445,0.07702822636190239,0.03701711834906945,2.080881219211348,0.03786416527208868,0.0013102069380839894,0.05005342915930912,0.026176167349371553,0.9791254423910174
-1.836,0.15759230992419526,0.14925163972542488,613,0.6630333753659714,0.11710397751264821,5.661920196471193,2.3126764096316725e-08,-0.21476911990079456,0.14912209150299904,-1.440223361516327,0.15032062835521995,-0.8046986225497728,0.13322264359840805,-6.040254125083197,2.6855815841010545e-09,-0.17396127424205185,0.16022525642167723,-1.0857294169916911,0.27803042502187353,0.0780525536372966,0.1695054044917368,0.4604723599895694,0.6453423936001633,0.0744859435408802,0.03598600890921909,2.0698584199427015,0.038888736901858886,-0.03059243068735787,0.048659194124146196,-0.6287081247031372,0.5297770538180948
-1.782,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.566,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.512,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.458,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.404,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.35,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.296,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.242,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.188,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.134,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.08,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.026,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.972,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.918,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.864,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8099999999999999,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.756,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.702,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.648,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.594,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.486,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.432,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.378,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.324,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.216,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.162,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.108,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.054,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
