peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue,Port:Reward_beta,Port:Reward_se,Port:Reward_tstat,Port:Reward_pvalue
-2.16,0.02955362562690156,0.028284515285524447,2298,0.6594060803904696,0.03279425878548942,20.10736344747755,5.9121830323209884e-83,0.19501405733412278,0.030604008746861183,6.372173624284559,2.2452564228758416e-10,-0.15175753225605745,0.032719047307542465,-4.638201437517833,3.7121848809180033e-06,0.0029645980289115742,0.03064580292329871,0.09673748918674001,0.922943317643109
-2.106,0.034787197887875765,0.033367767296534456,2044,0.5676465513722865,0.03280424068279093,17.304060071418547,1.0530835422608249e-62,0.18861599727040057,0.030211156313799285,6.243256474901893,5.198955894380664e-10,-0.1677786502729656,0.032712991710095916,-5.1288078987036085,3.1916560133528634e-07,-0.012330111561101581,0.030243072617979993,-0.4077003589169419,0.6835364545114007
-2.052,0.029820566119454828,0.0282018017692649,1802,0.4666026708166152,0.03267876201679458,14.27846840026603,6.8012868496429e-44,0.14845768524624173,0.029544081282710702,5.024955212708533,5.535651936085883e-07,-0.15949645283635214,0.03257228584782147,-4.896692040022107,1.0619029403617195e-06,-0.029596030318361864,0.029559280178715272,-1.0012432690993962,0.3168439386024177
-1.998,0.028949884439847473,0.02714159744625322,1615,0.38088220273288886,0.031971665538850384,11.913117327905852,2.022059508568307e-31,0.12133549318005184,0.028497072250864227,4.25782312343936,2.183413367804054e-05,-0.1594837963006615,0.03187717089864811,-5.00307247489849,6.259678459570903e-07,-0.05097132226660936,0.028510216120237776,-1.7878265829920428,0.07399189025424942
-1.944,0.032779965010073964,0.03076212070898221,1442,0.30513249163783784,0.03080162644959401,9.90637595508726,2.00273478900869e-22,0.12846322783138941,0.027181055928621092,4.726204462723624,2.5115920037481005e-06,-0.140087678811696,0.03069526753941472,-4.563820094801725,5.4510934091570724e-06,-0.047492736120750695,0.02719017463046722,-1.7466874253736488,0.08090507231014422
-1.89,0.0313537540813571,0.029030861405293207,1255,0.23305143764306985,0.030539667266188095,7.631105984612088,4.593904359019281e-14,0.10556809952872193,0.02672885758807497,3.949592652093778,8.265215720351158e-05,-0.13675703287231536,0.03043355198014313,-4.493627065337123,7.649804813552574e-06,-0.044884909072880945,0.0267403592097953,-1.6785454795401211,0.09349040652136939
-1.836,0.044545707987022065,0.042254450692026935,1255,0.14556344539749583,0.029137873144365303,4.995678465490367,6.694007099800156e-07,0.12046909358971886,0.025501982549672536,4.723910909870251,2.5749000323737476e-06,-0.15643777990028804,0.029036628631237307,-5.387601359890448,8.52407181547137e-08,-0.05851891719080715,0.025512956238145316,-2.293694099757576,0.02197322573806692
-1.782,,,877,,,,,,,,,,,,,,,,
-1.728,,,700,,,,,,,,,,,,,,,,
-1.674,,,506,,,,,,,,,,,,,,,,
-1.6199999999999999,,,362,,,,,,,,,,,,,,,,
-1.566,,,241,,,,,,,,,,,,,,,,
-1.512,,,141,,,,,,,,,,,,,,,,
-1.458,,,76,,,,,,,,,,,,,,,,
-1.404,,,49,,,,,,,,,,,,,,,,
-1.35,,,49,,,,,,,,,,,,,,,,
-1.296,,,38,,,,,,,,,,,,,,,,
-1.242,,,38,,,,,,,,,,,,,,,,
-1.188,,,38,,,,,,,,,,,,,,,,
-1.134,,,38,,,,,,,,,,,,,,,,
-1.08,,,38,,,,,,,,,,,,,,,,
-1.026,,,38,,,,,,,,,,,,,,,,
-0.972,,,38,,,,,,,,,,,,,,,,
-0.918,,,38,,,,,,,,,,,,,,,,
-0.864,,,38,,,,,,,,,,,,,,,,
-0.8099999999999999,,,38,,,,,,,,,,,,,,,,
-0.756,,,38,,,,,,,,,,,,,,,,
-0.702,,,38,,,,,,,,,,,,,,,,
-0.648,,,38,,,,,,,,,,,,,,,,
-0.594,,,38,,,,,,,,,,,,,,,,
-0.54,,,38,,,,,,,,,,,,,,,,
-0.486,,,38,,,,,,,,,,,,,,,,
-0.432,,,38,,,,,,,,,,,,,,,,
-0.378,,,38,,,,,,,,,,,,,,,,
-0.324,,,38,,,,,,,,,,,,,,,,
-0.27,,,38,,,,,,,,,,,,,,,,
-0.216,,,38,,,,,,,,,,,,,,,,
-0.162,,,38,,,,,,,,,,,,,,,,
-0.108,,,38,,,,,,,,,,,,,,,,
-0.054,,,38,,,,,,,,,,,,,,,,
0.0,0.01339347116971823,0.013120147724664188,10833,-0.05157059473189983,0.020298492829617924,-2.5406120131565717,0.011079704417952349,0.22675738849448374,0.020345427184977605,11.14537367207084,1.0802637198623174e-28,-0.07985092946140922,0.020300098115614083,-3.933524311391916,8.423170346482421e-05,-0.002927170133411451,0.020401573766428902,-0.14347766338634882,0.8859156203854981
0.054,0.011305570415563793,0.011031237887932144,10816,-0.09356324369010754,0.02052978262506373,-4.557439569568609,5.234876244218186e-06,0.22532079740929864,0.020582547383773454,10.947177392966116,9.584260110040049e-28,-0.02254752854331233,0.02053175517148048,-1.0981783269377694,0.27215108280458383,-0.0036457593912138635,0.020639061902677988,-0.17664365795331105,0.8597916077233758
0.108,0.01047548811601784,0.010200671088092195,10806,-0.10516372738577473,0.020735351949185386,-5.071711714539102,4.0079649169312104e-07,0.22168444242618598,0.020791929603416553,10.662042756712612,2.0725088796199886e-26,0.013227571405958835,0.020737102031094103,0.6378698135412,0.5235719501294105,0.0025542678363308893,0.020848565018084016,0.12251528266407405,0.9024932224969879
