peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_2)[T.01]_beta,C(reward_seq_2)[T.01]_se,C(reward_seq_2)[T.01]_tstat,C(reward_seq_2)[T.01]_pvalue,C(reward_seq_2)[T.10]_beta,C(reward_seq_2)[T.10]_se,C(reward_seq_2)[T.10]_tstat,C(reward_seq_2)[T.10]_pvalue,C(reward_seq_2)[T.11]_beta,C(reward_seq_2)[T.11]_se,C(reward_seq_2)[T.11]_tstat,C(reward_seq_2)[T.11]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.21262848571808013,0.21125496366961627,2298,0.5854369862281942,0.05503031253336886,10.63844559983557,7.816459439936687e-26,-1.0233715060813617,0.07865461315657755,-13.010953394992084,2.1597739695816124e-37,0.6353507416123829,0.10115762523063317,6.280799298755999,4.01730615592192e-10,0.715147977097408,0.07466421863376248,9.578188725248705,2.4618764229215543e-21,-0.10133161075535459,0.02923731374930168,-3.4658317663596865,0.0005383159124162416
-2.106,0.2121226310232347,0.210577015782476,2044,0.5119539625506867,0.05308569941886262,9.643914804836822,1.4928844868307502e-21,-0.9115377356803064,0.07576657225971985,-12.03086939918109,2.942252264256167e-32,0.6084625530895644,0.10173944739800465,5.980596205808543,2.618491337029169e-09,0.7081459418211693,0.0751690306380577,9.420714033561563,1.1698704303268161e-20,-0.1114797210994869,0.029236620726547743,-3.813016632194428,0.00014135844857978577
-2.052,0.20769153325772793,0.2059279084013177,1802,0.4408645430570542,0.05061629287109976,8.709933463119606,6.76257261266052e-18,-0.8085329426840644,0.07226311609228042,-11.188736196368327,3.847921837782489e-28,0.5337337714443251,0.10142728824220552,5.26223051699641,1.5936503463917306e-07,0.7009175750930859,0.07559724126342073,9.27173483289845,5.077290648193523e-20,-0.09706834522187548,0.028909537557922093,-3.357658178633708,0.0008024635432644036
-1.998,0.20222841483331422,0.20024637362793107,1615,0.3970556765995401,0.04823482552234535,8.231722045218126,3.7688169407081653e-16,-0.746765008906268,0.06873487513431913,-10.864426645817973,1.388397728525079e-26,0.4438359570860228,0.10195776768446323,4.353135294797715,1.4265535976182636e-05,0.6352465275457035,0.07481656547028726,8.490720250958141,4.5955245625011153e-17,-0.09692535170302907,0.028216252702225254,-3.4350894403275998,0.0006074002282399514
-1.944,0.20487687982671576,0.202663593479678,1442,0.27807810322305426,0.04518775384556247,6.153837700661948,9.789704083676366e-10,-0.590857048290152,0.06415266850200345,-9.210171019958427,1.117531996216592e-19,0.5054088956325742,0.09992062709236733,5.058103720319636,4.780238259910077e-07,0.6925362705348694,0.07339987222967635,9.435115477692475,1.5128840316240858e-20,-0.07934166736487763,0.02699792232305327,-2.9388064168600314,0.003347375784053209
-1.89,0.20374328263780184,0.20119526114224273,1255,0.2097452192899476,0.04387470041296722,4.780550461102571,1.955559841977877e-06,-0.49715486033057155,0.06174039837182611,-8.052342930094168,1.877623835814576e-15,0.451750508925394,0.10291460526499034,4.389566551435545,1.231602946506726e-05,0.7211165407886482,0.07498103743602524,9.61731879748815,3.576909375536251e-21,-0.06560799468499762,0.02678048504575498,-2.4498434054836977,0.014428232114209566
-1.836,0.21596734287858532,0.2134584383757967,1255,0.048562916119839476,0.04182402975871439,1.161124750532222,0.24581285384844623,-0.3730386653475396,0.05885469836860595,-6.338298822146789,3.2368968428318574e-10,0.5569236290362752,0.09810445365313898,5.676843489749721,1.7041487556549162e-08,0.8082097499870209,0.07147647987441862,11.307352452261414,2.7078938132696636e-28,-0.07889899455632049,0.0255287852216405,-3.0905894609289355,0.0020417363561173172
-1.782,,,877,,,,,,,,,,,,,,,,,,,,
-1.728,,,700,,,,,,,,,,,,,,,,,,,,
-1.674,,,506,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,362,,,,,,,,,,,,,,,,,,,,
-1.566,,,241,,,,,,,,,,,,,,,,,,,,
-1.512,,,141,,,,,,,,,,,,,,,,,,,,
-1.458,,,76,,,,,,,,,,,,,,,,,,,,
-1.404,,,49,,,,,,,,,,,,,,,,,,,,
-1.35,,,49,,,,,,,,,,,,,,,,,,,,
-1.296,,,38,,,,,,,,,,,,,,,,,,,,
-1.242,,,38,,,,,,,,,,,,,,,,,,,,
-1.188,,,38,,,,,,,,,,,,,,,,,,,,
-1.134,,,38,,,,,,,,,,,,,,,,,,,,
-1.08,,,38,,,,,,,,,,,,,,,,,,,,
-1.026,,,38,,,,,,,,,,,,,,,,,,,,
-0.972,,,38,,,,,,,,,,,,,,,,,,,,
-0.918,,,38,,,,,,,,,,,,,,,,,,,,
-0.864,,,38,,,,,,,,,,,,,,,,,,,,
-0.8099999999999999,,,38,,,,,,,,,,,,,,,,,,,,
-0.756,,,38,,,,,,,,,,,,,,,,,,,,
-0.702,,,38,,,,,,,,,,,,,,,,,,,,
-0.648,,,38,,,,,,,,,,,,,,,,,,,,
-0.594,,,38,,,,,,,,,,,,,,,,,,,,
-0.54,,,38,,,,,,,,,,,,,,,,,,,,
-0.486,,,38,,,,,,,,,,,,,,,,,,,,
-0.432,,,38,,,,,,,,,,,,,,,,,,,,
-0.378,,,38,,,,,,,,,,,,,,,,,,,,
-0.324,,,38,,,,,,,,,,,,,,,,,,,,
-0.27,,,38,,,,,,,,,,,,,,,,,,,,
-0.216,,,38,,,,,,,,,,,,,,,,,,,,
-0.162,,,38,,,,,,,,,,,,,,,,,,,,
-0.108,,,38,,,,,,,,,,,,,,,,,,,,
-0.054,,,38,,,,,,,,,,,,,,,,,,,,
0.0,0.09506007027172758,0.09472577402875448,10833,-1.0222805607771066,0.04934798807363706,-20.715749530693323,1.6041357558713708e-93,0.5817612055434215,0.07186199161137113,8.095534127269666,6.312122459982834e-16,0.19512884732153682,0.07186457599109956,2.7152299255992767,0.006633478249431116,1.5158332282118803,0.055637159726202125,27.24497863786537,3.794556189050925e-158,-0.08571963330198433,0.01940254407847763,-4.41795843654695,1.0060569616747539e-05
0.054,0.09210382495290348,0.0917679092466609,10816,-1.048027091784504,0.05005242250147148,-20.9385887716762,1.8437867885745883e-95,0.5652232168343158,0.07279845185425945,7.764220288171477,8.956992883690464e-15,0.14907471762872834,0.07278825847984007,2.0480599583244197,0.040578229016791575,1.5013444194253238,0.056399199678727044,26.619959644420433,2.8018726309911324e-151,-0.028334376748693123,0.019636562932080836,-1.4429397266057395,0.14906642300981662
0.108,0.09155322557057632,0.0912167949532523,10806,-1.0520216312022148,0.05057054835731071,-20.80304970729331,2.8250329497943916e-94,0.5266975837046103,0.07357007553490692,7.159127945365602,8.646782788001527e-13,0.13381143391518083,0.07351958145396428,1.8200788316371124,0.06877466496860321,1.4997232906058426,0.05697404504998048,26.322921065025493,4.603961483259845e-148,0.008037018751655516,0.019830887078240177,0.4052778234249687,0.6852813325039895
0.162,0.08547804652221935,0.08513744244271182,10745,-0.9420493292343505,0.05117732737861421,-18.40755227925424,1.5903160327418625e-74,0.4933390523777467,0.07410501685008085,6.657296271530481,2.925183832808566e-11,0.08756988283376152,0.07408324079503138,1.182047139055972,0.23721316722314362,1.4295692237386264,0.05752242509866518,24.852380985095145,1.2993649494990378e-132,0.0012805819119079338,0.01989337026972538,0.06437229562135986,0.9486749871779943
0.216,0.07717615289931856,0.07681190429181883,10139,-0.8300726030096521,0.056364421140059594,-14.72688952037687,1.3744849606334382e-48,0.3724823668602983,0.08027650125520545,4.63999253873991,3.527909068361225e-06,-0.04438328378365839,0.07901705327759484,-0.561692469443722,0.5743379874191336,1.305916299070201,0.062375477351475694,20.936373628238137,2.5568499224047174e-95,-0.0007998547238026592,0.020640437913230884,-0.03875182916007505,0.9690890140502229
0.27,0.06685572346093316,0.06644662908279231,9129,-0.700784975857641,0.06463194742621418,-10.842702467810964,3.1643425833504062e-27,0.19681668436503985,0.0919926835375593,2.139481932654812,0.03242311268749503,-0.269506253228544,0.08755563481016156,-3.0781143191170783,0.002089330797972093,1.102134595538512,0.07036844137238567,15.662342010761334,1.4009489075611963e-54,0.005111497403881022,0.022087762967428426,0.2314176139710779,0.8169955718948403
0.324,0.05868090015593297,0.058243788895266935,8619,-0.637092387326576,0.07041917444561217,-9.047143655718806,1.7887631347555771e-19,0.08375864042961531,0.10020527419550342,0.8358705776923454,0.4032509006626904,-0.49218963991937387,0.0936051941626378,-5.258144532708312,1.4900870711800816e-07,0.9019008265391254,0.076110361119508,11.849908649401446,3.825238498686957e-32,0.018981724378142377,0.02319047620504915,0.8185137817053355,0.4130865179433024
0.378,0.05380648618334405,0.05335213155486074,8335,-0.7092042510342242,0.07521542660512949,-9.42897332428157,5.268883200849462e-21,0.028435744666715175,0.1064202118162526,0.2672024813840151,0.7893198805039205,-0.5955374997808409,0.09879626116574731,-6.027935599523618,1.731320112613616e-09,0.7987731052059024,0.08094092125340335,9.868594189892743,7.598521634791544e-23,0.046721073209287436,0.024154532150884676,1.9342570130291779,0.05311536121638786
0.432,0.052455906462546054,0.051991367134914146,8164,-0.8642301052571697,0.07815610127116801,-11.057743300918549,3.1886299473067734e-28,-0.05403869468611404,0.11070271854234229,-0.4881424358647974,0.6254620725527744,-0.6808473440840155,0.10213460708575466,-6.666176759385384,2.796200797149044e-11,0.7279685844451502,0.08395731315756114,8.670698919092194,5.124772360649479e-18,0.06806019599736524,0.024848097109064295,2.7390506282486182,0.006175069035902341
0.486,0.04955861227510672,0.04908422176463756,8019,-1.0608137282995531,0.08147945995148051,-13.019400581830658,2.3212074877473428e-38,-0.0756097169994784,0.11554852986995715,-0.6543546428896373,0.5129021266256977,-0.7247211039489811,0.10615917292972077,-6.826740299010799,9.319837089531375e-12,0.6817800226254733,0.08743219737493488,7.797814113052665,7.09139863064303e-15,0.09081116051445819,0.02575033845647632,3.5266006568398636,0.00042328521208388916
0.54,0.0475337618579621,0.047052596797016344,7923,-1.3330590201703185,0.08465050903441244,-15.747796857646755,4.839023209310313e-55,-0.03213564720032358,0.11977199663504086,-0.268306850542407,0.7884701230338943,-0.6885595688077761,0.10994001182189676,-6.263047978594411,3.9722431676232493e-10,0.7057912199485955,0.09075130379926197,7.7772019838940905,8.349111411255079e-15,0.11456089000581897,0.02659041900549309,4.308352191898623,1.6646266319727803e-05
0.594,0.044370188057676674,0.04388386245363485,7865,-1.638921456925863,0.08722224287026398,-18.790177860521496,4.365641612905298e-77,0.035063607679373616,0.1232882370513399,0.28440351259765656,0.7761086594865546,-0.5879824795388957,0.11303945800927197,-5.201568460197915,2.0260092187168505e-07,0.7593996039087282,0.09347034875458805,8.124497383684497,5.177413335973119e-16,0.1270690002505155,0.02732109177565661,4.650948845453364,3.358097511838988e-06
