peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue,Port:Reward_beta,Port:Reward_se,Port:Reward_tstat,Port:Reward_pvalue
-2.16,0.005079480627374733,0.004833070856210098,12117,0.016689358675924353,0.01102380094510697,1.5139386822230403,0.1300674828665459,0.03242606607303445,0.010863318272940495,2.9849135649283824,0.0028422487522975744,-0.07714381565414467,0.010982966089936912,-7.0239510003429135,2.2721859755216916e-12,0.007222284170027318,0.010829448075569086,0.6669115655414218,0.5048413260107331
-2.106,0.00441310528071448,0.0041474737719846555,11248,-0.003734422139298646,0.011148090974328837,-0.33498310588764046,0.7376440790859911,0.03703294233897275,0.010955348340465432,3.3803527909911653,0.0007263912827307473,-0.06590687257415462,0.01110830440300981,-5.933117259218883,3.059944973336957e-09,0.0036086443310764096,0.010922696468414712,0.33038035447671443,0.7411187392151627
-2.052,0.005145841972975851,0.004860319876536345,10457,-0.022438976985807033,0.011391868165778257,-1.969736364507346,0.04889495454642278,0.03325234604279228,0.011178292832504851,2.974724901292556,0.002939216042174346,-0.07378007497593057,0.011352508894428619,-6.499010541373726,8.4533147946932e-11,0.0014869453688049971,0.011145875025127793,0.13340768360068245,0.8938735371891389
-1.998,0.005018311968773115,0.004707347799162376,9603,-0.021687004697372596,0.010931452156683145,-1.9839088518641,0.04729443954286358,0.0258037723178743,0.01071133656980533,2.409015172822943,0.01601434506560383,-0.06794726267504547,0.010895282674288787,-6.236392823050906,4.666513893386837e-10,0.010435864041311497,0.01068210215201112,0.9769485343619128,0.32861925181616913
-1.944,0.004877408774198733,0.0045381624362809125,8804,-0.0391572849491525,0.011104736355171028,-3.526178713006413,0.000423748303237318,0.02408904124138529,0.010866937586976225,2.2167276703839223,0.0266671751603756,-0.06605449331594715,0.011069010632298287,-5.967515572096987,2.5020501087327224e-09,-0.010510243098790277,0.01083773789152905,-0.9697819973119346,0.3321818212035309
-1.89,0.006021070426266761,0.00564678439780919,7971,-0.05240158848539977,0.01144485494072088,-4.578615347841109,4.7516536124201525e-06,0.023464253561529758,0.011166006557943368,2.1014006609943783,0.035637136122366575,-0.07383413461865859,0.011409797835787062,-6.47111681392604,1.0303139019609619e-10,-0.00390881935734284,0.011137276250189024,-0.35096726250967325,0.7256221887245691
-1.836,0.005452459843252044,0.005077959702613155,7971,-0.050055867492923414,0.011288348084002961,-4.434295179456683,9.361290202454314e-06,0.03004941617775435,0.011013312915470226,2.728462943747327,0.006376979230682604,-0.06537874220094571,0.011253770380278439,-5.80949672791601,6.50703722240862e-09,-0.007680911144075977,0.010984975490822087,-0.6992196887916003,0.4844351602738418
-1.782,0.004529186302480448,0.004055828806666217,6313,-0.0665555425658637,0.012524461585157926,-5.314044209671667,1.1089428536609155e-07,0.0032726791015937197,0.012163649853180504,0.26905403732400207,0.7878968974715069,-0.064898348655242,0.012486265382911827,-5.197578832823714,2.082459425105978e-07,0.007021169362582133,0.012132129704873542,0.5787252142351966,0.5627952588236094
-1.728,,,5451,,,,,,,,,,,,,,,,
-1.674,,,4603,,,,,,,,,,,,,,,,
-1.6199999999999999,,,3652,,,,,,,,,,,,,,,,
-1.566,,,2823,,,,,,,,,,,,,,,,
-1.512,,,1982,,,,,,,,,,,,,,,,
-1.458,,,1184,,,,,,,,,,,,,,,,
-1.404,,,532,,,,,,,,,,,,,,,,
-1.35,,,532,,,,,,,,,,,,,,,,
-1.296,,,77,,,,,,,,,,,,,,,,
-1.242,,,71,,,,,,,,,,,,,,,,
-1.188,,,71,,,,,,,,,,,,,,,,
-1.134,,,71,,,,,,,,,,,,,,,,
-1.08,,,71,,,,,,,,,,,,,,,,
-1.026,,,71,,,,,,,,,,,,,,,,
-0.972,,,71,,,,,,,,,,,,,,,,
-0.918,,,71,,,,,,,,,,,,,,,,
-0.864,,,71,,,,,,,,,,,,,,,,
-0.8099999999999999,,,71,,,,,,,,,,,,,,,,
-0.756,,,71,,,,,,,,,,,,,,,,
-0.702,,,71,,,,,,,,,,,,,,,,
-0.648,,,71,,,,,,,,,,,,,,,,
-0.594,,,71,,,,,,,,,,,,,,,,
-0.54,,,71,,,,,,,,,,,,,,,,
-0.486,,,71,,,,,,,,,,,,,,,,
-0.432,,,71,,,,,,,,,,,,,,,,
-0.378,,,71,,,,,,,,,,,,,,,,
-0.324,,,71,,,,,,,,,,,,,,,,
-0.27,,,71,,,,,,,,,,,,,,,,
-0.216,,,71,,,,,,,,,,,,,,,,
-0.162,,,71,,,,,,,,,,,,,,,,
-0.108,,,71,,,,,,,,,,,,,,,,
-0.054,,,71,,,,,,,,,,,,,,,,
0.0,0.0027250563680482065,0.0026335044591496715,32683,0.0015925074584013097,0.0071122160074123374,0.22391157084396784,0.8228275118099185,0.00792780137726184,0.007112771542238331,1.114586814743529,0.2650357201101638,0.0667203310147847,0.007112357720000521,9.380902035785091,6.94885549763307e-21,0.0033277229621959483,0.0071135200106606,0.46780257273598613,0.6399289002281561
0.054,0.004706010630023405,0.0046145846228550225,32663,0.030915919458203767,0.007217717306472285,4.283337535328626,1.8463624450593897e-05,0.02962193331911154,0.007218203554562245,4.103781930670142,4.074366077317241e-05,0.0838298710470735,0.007217835854603459,11.614266760251647,4.015619603946159e-31,0.013375238539416193,0.007218943902489491,1.852797129342378,0.06392045664677587
0.108,0.0069951116567400495,0.006903817652111566,32635,0.0722176553353834,0.0072141147410348895,10.010605310253705,1.480646423712129e-23,0.04152813376124212,0.007214627993454848,5.756101880639817,8.684849602078566e-09,0.10080676999898727,0.007214226856821194,13.973329644280938,3.0424850215684425e-44,0.012066564887639106,0.007215369967765243,1.6723418122073626,0.09446652607551395
0.162,0.01117151764474189,0.011079419369452781,32214,0.13275662240437996,0.007297240029914181,18.19271695328093,1.3784853047413529e-73,0.05464235859075353,0.007323496574996099,7.461239044927475,8.787215054289405e-14,0.12745992406437465,0.0072962534723559095,17.469229180057354,5.06491228152715e-68,0.011403291891449325,0.007322531549191331,1.557288188496594,0.11941190320099229
0.216,0.015081326872432688,0.014973763857529798,27474,0.19646288100239995,0.008249110703982179,23.816249781635175,4.113620066798536e-124,0.06417020145724622,0.00875716424371737,7.32773757250056,2.4051837515982997e-13,0.14403267774674858,0.008238867058892674,17.482097564772086,4.586174524715623e-68,0.022527717196644058,0.008742380702536964,2.576840103761062,0.009975974813648618
0.27,0.014097946714583753,0.013968997586107701,22941,0.24272179942341038,0.011155323641979612,21.758382563640012,6.471296955060821e-104,0.07016923414496157,0.012877665809227806,5.448909389672163,5.1201153382284957e-08,0.1271409231737812,0.011148224428803729,11.404589491873388,4.7796876814059246e-30,0.044153821489171866,0.012868372642415386,3.4311892199668397,0.0006020001157753103
0.324,0.01350874425512627,0.013370901974398053,21474,0.23938492872563644,0.01490488220408309,16.06084002864904,1.0414753130303343e-57,0.0744993074559818,0.01792584865876561,4.155971015606682,3.251635709236956e-05,0.15009510451991712,0.014948398124715377,10.040882191366908,1.1365291349066556e-23,0.01033890675431555,0.017984290092389436,0.5748854528703777,0.5653747927386855
