peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue,Port:Reward_beta,Port:Reward_se,Port:Reward_tstat,Port:Reward_pvalue
-2.16,0.007935986798311645,0.007728006921330133,14314,0.07029723121266894,0.010059425306374692,6.988195555080204,2.907533108114002e-12,0.0814042959190731,0.00990621776306977,8.217495099143395,2.254992807464271e-16,-0.061963924296715926,0.01002154232474453,-6.183072653768941,6.45738698723837e-10,-0.0011113177678220528,0.009874717167705339,-0.11254173146918575,0.9103954615455487
-2.106,0.005604253046812335,0.005379395336639781,13271,0.05680743752233345,0.010401579865550112,5.461423962188561,4.808361214864409e-08,0.055174096544597005,0.010211298906724578,5.403239788452622,6.657813602457041e-08,-0.06446957024446377,0.010363467818345037,-6.220849176599175,5.093297853534626e-10,-0.009074114482000262,0.01017997813670336,-0.8913687593575504,0.3727475369651301
-2.052,0.010026413697604264,0.009784995980248734,12306,0.03616765463921836,0.010555222339909714,3.4265175544874142,0.0006133735188251232,0.07568180111409975,0.010338804197948293,7.320169689364906,2.630606922389914e-13,-0.08251788979559929,0.010517433555455629,-7.8458199294062005,4.6559809461239984e-15,-0.004154120778969785,0.01030760649757686,-0.40301507240758044,0.6869441399478433
-1.998,0.010923186116901129,0.010660506368171507,11300,0.033694537579420376,0.01008348825289637,3.34155569326339,0.0008358058107473781,0.05738331016466416,0.00986079466376674,5.819339325208524,6.068602175233356e-09,-0.08800201736061417,0.010048471964232098,-8.757751195789822,2.275112446405358e-18,-0.023509262062873695,0.009832365485276256,-2.391007748651968,0.016818467415875907
-1.944,0.010820935314648006,0.010534022697993528,10347,0.044928298155894456,0.010145528369346185,4.428384261547317,9.59163346153469e-06,0.04004665790637881,0.009907091819473116,4.042221333576839,5.33308600490878e-05,-0.09535793409031063,0.010111229090831878,-9.430894427738188,4.9384609627745574e-21,-0.016446395347912066,0.009879174352928637,-1.6647540331178188,0.09599212678863804
-1.89,0.009610543615140466,0.009292703609882103,9352,0.02488064962401454,0.010737002000057817,2.3172808968351277,0.020509928414830438,0.030637123985154092,0.010452916341811289,2.9309642384304464,0.003387299007953602,-0.09453211654098592,0.010702001278533732,-8.833125139930617,1.2017663625311188e-18,-0.0076448110055656986,0.010424352577157323,-0.7333607482077709,0.46335682309750537
-1.836,0.008525389245911064,0.008207200988287755,9352,0.017560780196254996,0.010495467334989236,1.6731775380512874,0.09432581045242955,0.04385747659878432,0.010217772337218973,4.2922738099213955,1.7863572689219772e-05,-0.07898114435616614,0.010461253973619355,-7.54987351949744,4.764997436127073e-14,-0.0012258467630303846,0.010189851129894211,-0.12030075291621174,0.9042474930663428
-1.782,0.005694119787220453,0.005291131724448506,7406,-0.02170824101497644,0.01172453592682924,-1.8515224099660526,0.06413423362229108,0.020452437487772757,0.0113614332011513,1.8001635115629804,0.07187552304723058,-0.0709642744390245,0.011685664111846687,-6.072763495493797,1.3194125256098551e-09,-0.013674281383704582,0.011329681255678736,-1.2069431676950904,0.2274926003653016
-1.728,,,6386,,,,,,,,,,,,,,,,
-1.674,,,5384,,,,,,,,,,,,,,,,
