side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,photometry_side_in_index,photometry_side_out_index,photometry_center_in_index,photometry_center_out_index,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,dob,treatment,viral_expression,age_days
1,0.323997437953949,0,0.0,True,False,0.1,0.9,False,l,a,,,,,,,,,,,,,,,,,,,0.5,0.5,0.0,,,0.9,,,,Unknown,28,794,797,786,787,794,42.444,42.498,42.876,43.038,4.333809489112455,2.8626917291950305,3.077372812208195,2.0977723571283198,3.077372812208195,2.0977723571283198,3.1590841171075277,2.090636246229932,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
6,3.7630051374435425,5,3.3369965851306915,True,False,0.1,0.9,False,l,a,ll,aa,,,0,0,0,,,,,,,,,,,,0.15164679154788935,0.5,0.34835320845211065,,,0.9,,,,Unknown,92,794,797,786,787,794,42.444,42.498,42.876,43.038,4.333809489112455,2.8626917291950305,3.077372812208195,2.0977723571283198,3.077372812208195,2.0977723571283198,3.1590841171075277,2.090636246229932,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
9,5.666998028755188,8,5.34900538623333,False,True,0.1,0.9,True,R,A,lR,aB,llR,aaB,1,0,0,0,0,0,,,,,,,,,0.045993498773538005,0.5,0.454006501226462,0.3333333333333333,0.3333333333333333,0.9,-0.5666666666666667,0.5666666666666667,,Left Bias,127,123,155,117,-1,123,6.318,,6.642,8.37,5.770959648317447,3.484642363529295,2.029702657791157,0.5654258603338077,2.029702657791157,0.5654258603338077,-1.1302993831651025,-1.6657524231856167,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
11,8.569004014134407,10,8.270997181534767,False,True,0.1,0.9,True,R,A,RR,AA,lRR,aBB,0,1,1,1,0,0,0,0,0,,100,100,RLL,,0.045993498773538005,0.8483532084521106,0.8023597096785726,0.5,0.5,0.9,-0.4,0.4,0.3333333333333333,Exploration,181,166,197,161,161,166,8.693999999999999,8.693999999999999,8.964,10.638,-0.4044393273260283,-0.9285084084841794,0.14865949623031405,-0.5615814573172878,0.14865949623031405,-0.5615814573172878,1.768709630523928,0.015366595982192963,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
17,15.620997548103333,16,15.284004807472229,True,False,0.1,0.9,False,l,a,Rl,Ab,RRl,AAb,1,1,1,0,1,1,1,0,0,0,110,110,RRL,010,0.045993498773538005,0.954006501226462,0.908013002452924,0.4,0.4,0.9,-0.5,0.5,0.5,Left Bias,311,794,797,786,787,794,42.444,42.498,42.876,43.038,4.333809489112455,2.8626917291950305,3.077372812208195,2.0977723571283198,3.077372812208195,2.0977723571283198,3.1590841171075277,2.090636246229932,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
22,19.3449966609478,21,19.011997058987617,False,True,0.1,0.9,True,R,A,lR,aB,RlR,AbA,1,0,0,1,1,1,0,1,1,1,011,011,LRR,101,0.013949533042137648,0.954006501226462,0.9400569681843244,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.6,Exploration,380,390,393,384,-1,390,20.736,,21.06,21.222,4.2912176587009485,1.9732828074422055,4.943999163950262,2.7140867813630694,4.943999163950262,2.7140867813630694,4.844854805675246,2.8244318804282806,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
24,21.957997977733612,23,21.653996407985687,False,True,0.1,0.9,True,R,A,RR,AA,lRR,aBB,0,1,1,1,0,0,1,1,1,0,101,101,RLR,110,0.013949533042137648,0.9860504669578624,0.9721009339157247,0.8,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.6,Exploration,429,422,459,415,417,422,22.41,22.518,22.788,24.786,2.6553974400684393,0.580482331373688,2.4357565893942357,0.1332254238575265,2.4357565893942357,0.1332254238575265,-1.105921796423183,-1.629551313786291,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
26,24.382999911904335,25,24.094005301594734,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,1,0,0,1,110,110,RRL,011,0.013949533042137648,0.9957691961411371,0.9818196630989995,0.8,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.4,Exploration,474,470,505,464,465,470,25.056,25.11,25.38,27.27,-0.5906300242748606,-1.02168385658822,0.053954628691703324,-0.7049809970751685,0.053954628691703324,-0.7049809970751685,-0.31587316724483255,-0.7969854367135434,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
28,27.21099704504013,27,26.903002336621284,False,True,0.1,0.9,False,r,a,Rr,Aa,RRr,AAa,0,1,1,0,1,1,0,1,1,1,111,111,RRR,001,0.013949533042137648,0.99871682433827,0.9847672912961324,0.6,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.4,Exploration,526,515,554,510,511,515,27.54,27.594,27.81,29.916,0.4816097970597942,-0.21197280521859674,0.9182209980700973,-0.04912654304695196,0.9182209980700973,-0.04912654304695196,3.8661124550393287,2.276154615463166,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
30,32.35899768769741,29,31.828996539115906,False,True,0.1,0.9,True,R,A,rR,aA,RrR,AaA,0,0,1,0,1,1,0,1,1,0,011,111,RRR,000,0.013949533042137648,0.30290440415159137,0.2889548711094537,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.2,Exploration,621,609,646,599,603,609,32.346,32.562,32.886,34.884,0.8702717057375273,0.04815158105579597,1.117079643564675,-0.23036126010461783,1.117079643564675,-0.23036126010461783,3.6017777871789973,1.676022547176683,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
32,34.67400223016739,31,34.40300188958645,False,True,0.1,0.9,True,R,A,RR,AA,rRR,aAA,0,1,1,0,0,1,0,1,1,0,101,111,RRR,000,0.013949533042137648,0.7885753789748493,0.7746258459327117,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,664,657,694,652,652,657,35.208,35.208,35.478,37.476,4.483148436573489,2.9474233868654407,8.343714401670542,4.309114768867251,8.343714401670542,4.309114768867251,3.6625467722655025,1.5707908772276402,WCL23,060223,green_r,2019-02-02,None,Naive,1581.0
