metric,n_fp1,n_fp2,median_fp1,median_fp2,median_diff,ci_lo,ci_hi,cliffs_delta,mwu_stat,mwu_p,excluded
beta_RPE (post_amp ~ RPE_signed),7,4,-0.8452455322719308,-1.619466864139365,0.7742213318674342,-0.06282060776418785,1.6166978850598,0.7142857142857143,24.0,0.07272727272727272,False
beta_RPE (post_amp ~ RPE_signed),5,4,-0.8452455322719308,-1.619466864139365,0.7742213318674342,-0.06282060776418785,1.6166978850598,0.7,17.0,0.1111111111111111,True
outcome x Q(chosen) interaction coefficient,7,4,-0.9993526207869264,-1.3066930351448438,0.30734041435791737,-0.5268965245949178,1.0481165267994985,0.35714285714285715,19.0,0.4121212121212121,False
outcome x Q(chosen) interaction coefficient,5,4,-0.9993526207869264,-1.3066930351448438,0.30734041435791737,-0.5268965245949178,1.0481165267994985,0.4,14.0,0.4126984126984127,True
Encoding-GLM peak R2,7,4,0.2084359510589997,0.32266273329418677,-0.11422678223518706,-0.26410985862915703,-0.0012602642974056943,-0.7857142857142857,3.0,0.04242424242424242,False
Encoding-GLM peak R2,5,4,0.2163281068269867,0.32266273329418677,-0.10633462646720007,-0.24250141052296112,0.03293671185562341,-0.7,3.0,0.1111111111111111,True
FIR out-of-sample R2,7,4,0.1675221964973985,0.21765397320053453,-0.05013177670313604,-0.15039870766918462,0.010449045174980492,-0.5,7.0,0.2303030303030303,False
FIR out-of-sample R2,5,4,0.2059971723712563,0.21765397320053453,-0.011656800829278224,-0.08055486324650493,0.07454073273834327,-0.3,7.0,0.5555555555555556,True
Signed vs unsigned RPE delta R2,7,4,0.0136673083346003,0.08790500388141831,-0.07423769554681801,-0.2087774277285765,0.029936980074490104,-0.5,7.0,0.2303030303030303,False
Signed vs unsigned RPE delta R2,5,4,0.0136673083346003,0.08790500388141831,-0.07423769554681801,-0.2087774277285765,0.029936980074490104,-0.5,5.0,0.2857142857142857,True
Reward onset latency (s),7,4,0.4708157375013382,0.5492392478856483,-0.07842351038431006,-0.5819366685295595,0.07486250970958747,-0.35714285714285715,9.0,0.39401461844805696,False
Reward onset latency (s),5,4,0.5336230604803144,0.5492392478856483,-0.015616187405333881,-0.5492392478856483,0.17251028583635641,-0.2,8.0,0.7301587301587302,True
Reward decay tau (s),3,1,,,,,,,,,False
Reward decay tau (s),1,1,,,,,,,,,True
Omission onset latency (s),7,4,0.7087373483322308,0.7314452694606146,-0.022707921128383823,-0.43752834837510324,0.15377531982619874,-0.2857142857142857,10.0,0.5272727272727272,False
Omission onset latency (s),5,4,0.7087373483322308,0.7314452694606146,-0.022707921128383823,-0.6145717316358961,0.20897587580300747,-0.3,7.0,0.5555555555555556,True
Omission decay tau (s),2,1,,,,,,,,,False
Omission decay tau (s),1,1,,,,,,,,,True
