mouse,n_trials,n_sessions,reward_rate,switch_rate,rolling_accuracy,cohort
WCL23,2605,7,0.7051823416506718,0.1619961612284069,0.7061804222648753,FP1
WCL24,2829,8,0.7023683280311064,0.17850830682219865,0.7022976316719689,FP1
WCL25,885,2,0.6745762711864407,0.21016949152542372,0.6745762711864407,FP1
WCL26,735,2,0.7074829931972789,0.1306122448979592,0.7077551020408164,FP1
WCL27,2998,7,0.7081387591727819,0.13408939292861907,0.7091394262841895,FP1
WCL28,1817,5,0.7270225646670335,0.1282333516785911,0.7284534947716015,FP1
WCL29,3592,7,0.7360801781737194,0.10050111358574611,0.7373051224944321,FP1
WCL30,2414,6,0.6777133388566694,0.14747307373653687,0.6782104391052196,FP2
WCL31,3026,7,0.7247191011235955,0.14011896893588896,0.7251817580964971,FP2
WCL32,2216,6,0.7129963898916968,0.16922382671480143,0.7127256317689531,FP2
WCL33,3179,7,0.7106008178672538,0.08933626926706512,0.7103491664045297,FP2
