mouse,date,alpha,beta,kappa,nll,n_trials,group,frac_forced_trials,reward_probs_observed,cohort,cohort_family,condition,age_days,age_bin
WCL23,060223,0.6967064169042213,1.6202963405853839,0.38035159917413175,172.16495426070034,361,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,52.0,
WCL23,060823,0.6349665772322591,1.2341967023526688,1.4311461219855086,121.26633397905113,322,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,58.0,
WCL23,061223,0.906177679201394,1.42046414619097,1.1892430242134993,126.64611062464202,338,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,62.0,
WCL23,061523,0.7885818560149064,1.0590808834875614,1.4565565370335338,141.18695352994615,368,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,65.0,
WCL23,062023,0.9999,1.8294465657879824,1.054217479452926,150.7314241716822,472,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,70.0,
WCL23,062223,0.8833633058345256,1.5428522067008708,1.423505282214544,124.95120134525693,406,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,72.0,
WCL23,063023,0.9189430754962209,2.228693429978894,0.6453501205490627,167.58333254707662,506,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,80.0,
WCL24,060523,0.8175923658926328,1.3221187181094674,0.9438940600735124,165.3968069329421,370,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,55.0,
WCL24,060723,0.854230375784181,1.3947202327207038,1.1674178449684316,118.50558929949992,307,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,57.0,
WCL24,060923,0.8970137862068829,1.541272278931609,0.7816772935954484,156.37624486133606,382,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,59.0,
WCL24,061323,0.7001748581095635,1.627430966517607,0.9576284214966472,123.30617399840372,318,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,63.0,
WCL24,061623,0.8015021640960813,2.4917181329532996,0.6221603938205199,142.3625617903019,395,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,66.0,
WCL24,062123,0.9999,1.7119694344146739,0.7939591427534541,143.40991717761457,381,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,71.0,
WCL24,062323,0.7825043459585355,1.6005687284374728,0.7676914394688094,156.8629153445758,367,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,73.0,
WCL24,063023,0.8379011165366623,2.1674493073083374,0.964372206136935,153.91525220821825,496,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,80.0,
WCL25,060223,0.8664999502969826,1.4032891281991238,0.5997078602548978,182.2356873294299,377,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,52.0,
WCL25,060623,0.7498490768162689,1.4128097777727147,1.075975778389067,221.94280891006792,540,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,56.0,
WCL26,060523,0.5786741802202214,1.627836726301012,1.329359960450443,127.87564405250527,361,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,55.0,
WCL26,060723,0.8730947069449019,2.1394275051368705,0.9109421612795794,123.31036030007664,413,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,57.0,
WCL27,060923,0.8752606174335014,1.2183002438867367,0.9197203651941986,218.60127891221265,499,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,51.0,
WCL27,061323,0.9491278861326868,1.5432313023919182,0.9042346293831302,148.56368674403495,391,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,55.0,
WCL27,061623,0.7067017063899471,1.937135867534338,1.1288694872302725,150.99107333975755,447,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,58.0,
WCL27,062123,0.8761093316526656,1.3388728321711105,1.4083944026586104,154.45390474925017,448,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,63.0,
WCL27,062323,0.8636939032037824,2.437480041516824,1.6781362882990625,76.2682708378464,427,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,65.0,
WCL27,062723,0.74084662863398,2.321189616213769,1.2371763272422065,126.75439668309193,481,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,69.0,
WCL27,062923,0.8085495298920519,1.9277021584059708,1.4000206303449452,135.35051262034474,488,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,71.0,
WCL28,061523,0.9999,1.5853526301602434,0.8712823956208086,155.1356143905237,378,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,57.0,
WCL28,062223,0.8692529667716793,1.9929786281304835,1.454037010950588,66.1856781582444,252,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,64.0,
WCL28,062623,0.7258481614762374,1.9364102941952097,1.4857335432304033,104.0142857743722,392,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,68.0,
WCL28,062823,0.8654817398357351,1.2598150624622872,1.3473999447831364,153.56249222602946,415,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,70.0,
WCL28,063023,0.8587456381134724,2.866006704910952,1.0378701614058157,114.74381527870399,482,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,72.0,
WCL29,061223,0.9999,1.0440266006376226,1.5401233070480038,163.16713770680792,456,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,54.0,
WCL29,061523,0.884874105977075,1.3514412796385085,1.6370154789188975,148.12148202122683,489,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,57.0,
WCL29,062023,0.8907162204687477,2.150646383724899,1.187969895097704,156.69992481551364,592,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,62.0,
WCL29,062223,0.9177484883045313,2.054998367590057,1.3470792136351224,154.0149742310944,604,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,64.0,
WCL29,062623,0.8200576365588004,2.334023380623834,1.545189731639146,123.42472957420394,580,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,68.0,
WCL29,062823,0.915202270912869,1.393918797337298,1.9728045861187677,123.10950336499378,516,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,70.0,
WCL29,063023,0.7826570496360675,2.159772346805706,1.1522627079246082,142.05599160631064,524,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_none,FP1,90/10,72.0,
WCL23,062723,0.8269659199998577,1.7494554356525542,1.0942758904124952,128.54389658871352,376,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,77.0,
WCL23,062923,0.9999,2.1394336815619233,1.0638499107128654,111.86149110259625,404,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,79.0,
WCL24,062623,0.7495138158178244,1.704283802730303,0.9854539041881166,152.25761241119548,400,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,76.0,
WCL24,062823,0.7582376033571256,1.5687265807125292,1.0490227074935352,152.96923843410272,391,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,78.0,
WCL27,070423,0.7615211498842659,1.9329875867729462,1.2592705723074293,157.91712244189694,537,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,76.0,
WCL27,070623,0.7915426208980968,2.7235316581709985,1.1060380587158087,108.16569574114389,474,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,78.0,
WCL28,070523,0.7616046523873958,1.9604661665417435,0.8135477102440138,187.8688082603462,497,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,77.0,
WCL28,070723,0.8937931250093065,2.190799313603941,1.2222650426219925,126.52801907685563,498,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,79.0,
WCL29,070423,0.8416907061809885,3.380814424453952,0.2398397163060622,137.57354994223653,532,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,76.0,
WCL29,070623,0.7994257270221825,1.9871749621547599,1.0566624590284859,137.18103097674174,436,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_dcz,FP1,90/10,78.0,
WCL23,080823,0.567884554682345,1.2738356244461424,0.8043878551388135,156.11512534460644,316,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,119.0,
WCL23,081023,0.4225197418124801,2.496488630031802,1.932060159383528,122.33237419814961,631,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,121.0,
WCL23,081223,0.9401044392834209,1.9663230529231879,1.7150442939815866,108.58920897687013,459,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,123.0,
WCL23,081423,0.8187669131613929,2.3036445416064217,1.3505897295642253,118.610885565057,495,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,125.0,
WCL23,081623,0.7888522269609924,1.9569016729751765,1.4349043241758077,136.10297634164903,478,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,127.0,
WCL23,081823,0.7601006768765664,1.0769424811836354,1.4896282047767404,132.25978761551724,350,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,129.0,
WCL23,091223,0.8197995181269858,1.4349913795915534,1.5654891909914155,148.6276795741161,449,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,154.0,
WCL23,091423,0.6759748046375601,2.148629409677306,1.534463743797472,136.52519047021318,576,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,156.0,
WCL23,091823,0.7962941380740026,2.788273229173704,1.0667903558830238,126.29342719609085,543,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,160.0,
WCL23,092223,0.8550460587032718,1.904922753357449,1.315995239994741,154.7305909341304,564,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,164.0,
WCL24,080923,0.6350356858049078,1.4103444444112792,1.4108248531521301,191.4531258893578,548,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,120.0,
WCL24,081123,0.7996278762166961,2.071411918230388,1.2602206149575417,154.39614138180463,552,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,122.0,
WCL24,081323,0.8863608688739464,3.5964362902222993,0.8595817078573644,122.64916983375174,626,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,124.0,
WCL24,081523,0.8091912176572504,2.2238099633713073,0.9944993994632647,140.52260798226817,483,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,126.0,
WCL24,081723,0.8451056990029595,2.8615061558410386,0.45945479395411765,163.37678092764895,551,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,128.0,
WCL24,091123,0.9560947824353183,1.8995496202806643,0.594865176559887,189.10249002318938,486,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,153.0,
WCL24,091323,0.9710425560677942,1.111038833122503,1.416850081165245,178.31255477552259,485,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,155.0,
WCL24,091523,0.9874598941533262,2.2893075067744095,0.7164535449802717,141.5318463759102,478,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,157.0,
WCL24,091923,0.8993817506997885,3.1405925673518422,0.19161520243241698,131.6331612516555,494,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,161.0,
WCL24,092123,0.9452490821059955,1.8545021382508475,1.152507813187485,163.48422502953395,512,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,163.0,
WCL27,081523,0.8715700823488405,1.3417638376163412,0.90686436368491,220.62117140640757,501,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,118.0,
WCL27,081723,0.8283973116220544,1.9188261445905446,1.1027769281586435,184.0074432723916,588,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,120.0,
WCL27,091223,0.8607388110921109,1.7940902978735636,1.5923585035908534,124.05577383678737,480,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,146.0,
WCL27,091423,0.706189981346155,2.2357964687816807,1.141002219871722,146.97130115132856,541,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP1_retrained_none,FP1,90/10,148.0,
