group,age_bin,mouse,date,hemisphere,r,p,n_pts
FP1_none,,WCL23,060223,green_r,-0.2765150890797374,4.820446373897383e-07,321
FP1_none,,WCL24,060523,green_r,-0.2798869646926282,1.4201989367230708e-07,342
FP1_none,,WCL25,060223,green_r,-0.31456494131508433,9.84849802117617e-10,361
FP1_dcz,,WCL23,062723,green_l,-0.734032110592173,1.15850152086356e-64,375
FP1_dcz,,WCL24,062623,green_l,-0.6630320144425975,8.502133962795886e-45,343
FP1_dcz,,WCL27,070423,green_l,-0.1394327076361173,0.00870986557297558,353
FP2_none,,WCL30,072723,green_l,-0.6628014341165697,1.9921014105595553e-49,380
FP2_none,,WCL31,080123,green_r,0.18374640831585098,0.0005821477390846991,347
FP2_none,,WCL32,080123,green_l,-0.25844125245378946,1.0608093565779786e-06,347
FP2_dcz,,WCL30,081423,green_l,-0.6795945610650278,4.196889721556221e-50,360
FP2_dcz,,WCL31,081523,green_l,-0.24784578221876588,2.9638179824802424e-06,347
FP2_dcz,,WCL32,081623,green_l,-0.5146077515533096,7.423794493033063e-25,347
SM_P100,P100,SM1N,071824,green_l,-0.2447063374274294,1.4495714805423545e-05,307
SM_P100,P100,SM2B,071824,green_l,-0.21055992509872262,4.149688351652215e-05,373
SM_P100,P100,SM1B,071924,green_l,-0.3098971164903019,9.37915427514742e-09,329
SM_P110,P110,SM1B,072624,green_l,0.09797097465213794,0.09028424174956391,300
SM_P110,P110,SM1L,072624,green_l,-0.36773659871253095,8.221158544414235e-12,324
SM_P110,P110,SM2N,072624,green_l,-0.31228404977864055,2.2061599329625816e-10,395
SM_P120,P120,SM1B,080724,green_l,0.10529754549495624,0.045278024212274004,362
SM_P120,P120,SM1L,080724,green_l,-0.13011808527424426,0.012972354690109503,364
SM_P120,P120,SM2N,080724,green_l,0.2357775558735557,2.621096868821902e-07,466
SM_P130,P130,SM1N,081624,green_l,-0.14153133764324627,0.007154184212082166,360
SM_P130,P130,SM2B,081624,green_l,-0.13006726587588419,0.013651175656609617,359
SM_P130,P130,SM2L,081624,green_l,-0.36984081961176385,3.053713394331349e-13,364
SM_P140,P140,SM3FR,071824,green_l,-0.628528222887168,3.452178197242915e-32,280
SM_P140,P140,SM3MR,071824,green_l,0.011849650603366693,0.8066684425577052,429
SM_P140,P140,SM3MN,071924,green_l,-0.4972910827781062,1.6013935967129914e-19,290
SM_P150,P150,SM3FR,072524,green_l,-0.03459503911215519,0.5274106962386104,336
SM_P150,P150,SM3MN,072624,green_l,-0.36735054861890326,1.287889656584926e-13,381
SM_P150,P150,SM3MR,073024,green_l,-0.04080269541019981,0.4339056424991395,370
SM_P160,P160,SM3MR,080524,green_l,-0.09331815041103157,0.07701241702955057,360
SM_P160,P160,SM3MN,080624,green_l,-0.1443722080804482,0.0064325500899179815,355
SM_P170,P170,SM3MN,081424,green_l,0.1273592968386668,0.015465018155939425,361
SM_P170,P170,SM3MR,081524,green_l,-0.1520287406821184,0.003597161229043104,365
SM_P70,P70,SM1N,062324,green_l,-0.5926724685310387,2.0858414431505156e-37,380
SM_P70,P70,SM2B,062324,green_l,-0.29563068710883306,6.460162580236685e-08,322
SM_P70,P70,SM2L,062324,green_l,-0.35537803073254937,1.0179538714747103e-10,312
SM_P80,P80,SM1B,062824,green_l,-0.23446168194203645,1.0794221520073073e-05,345
SM_P80,P80,SM1L,062824,green_l,-0.11158952847300516,0.03637609166184296,352
