group,age_bin,mouse,date,hemisphere,window_sec,r,p,n_pts
FP1_none,,WCL23,060223,green_r,60.0,-0.28368100089900655,1.1249476491431538e-06,285
FP1_none,,WCL23,060223,green_r,120.0,-0.16771183235737458,0.004525601333599819,285
FP1_none,,WCL23,060223,green_r,180.0,-0.15394823045579253,0.009239604709469159,285
FP1_none,,WCL23,060223,green_r,240.0,-0.19513938889562124,0.0009271496628918139,285
FP1_none,,WCL24,060523,green_r,60.0,-0.3182603456917221,1.2467255063513566e-08,306
FP1_none,,WCL24,060523,green_r,120.0,-0.42179521540196097,1.2484252644246697e-14,306
FP1_none,,WCL24,060523,green_r,180.0,-0.48179673098130393,3.440343413544847e-19,306
FP1_none,,WCL24,060523,green_r,240.0,-0.5183670472543173,1.922464094798177e-22,306
FP1_none,,WCL25,060223,green_r,60.0,-0.22760717039082204,3.44398572931335e-05,325
FP1_none,,WCL25,060223,green_r,120.0,-0.2796686515422302,2.9754050192233886e-07,325
FP1_none,,WCL25,060223,green_r,180.0,-0.3402743428134994,2.98176375855168e-10,325
FP1_none,,WCL25,060223,green_r,240.0,-0.3976197464479681,9.335506944501819e-14,325
FP1_dcz,,WCL23,062723,green_l,60.0,-0.7405070667461272,3.992530989699327e-60,339
FP1_dcz,,WCL23,062723,green_l,120.0,-0.8388994091105211,4.869012302600467e-91,339
FP1_dcz,,WCL23,062723,green_l,180.0,-0.9044406854647298,9.953105942065815e-127,339
FP1_dcz,,WCL23,062723,green_l,240.0,-0.9484081727832856,3.480311879124278e-170,339
FP1_dcz,,WCL24,062623,green_l,60.0,-0.6916080603669028,5.271888028600344e-45,307
FP1_dcz,,WCL24,062623,green_l,120.0,-0.792082952522014,2.372351594587186e-67,307
FP1_dcz,,WCL24,062623,green_l,180.0,-0.8581901541039946,2.493550923700957e-90,307
FP1_dcz,,WCL24,062623,green_l,240.0,-0.8867837239515364,3.0196634099590285e-104,307
FP1_dcz,,WCL27,070423,green_l,60.0,-0.1724138439914357,0.0020650272678533576,317
FP1_dcz,,WCL27,070423,green_l,120.0,-0.20329444946004904,0.0002690872016575265,317
FP1_dcz,,WCL27,070423,green_l,180.0,-0.26432983497871126,1.8165953839876529e-06,317
FP1_dcz,,WCL27,070423,green_l,240.0,-0.31051247946982086,1.6339661555322242e-08,317
FP2_none,,WCL30,072723,green_l,60.0,-0.6655391164364871,2.2845011544928218e-45,344
FP2_none,,WCL30,072723,green_l,120.0,-0.6820177394438859,2.12469423366935e-48,344
FP2_none,,WCL30,072723,green_l,180.0,-0.7051288525832706,5.280501294871745e-53,344
FP2_none,,WCL30,072723,green_l,240.0,-0.6938340980370871,1.0654663018477741e-50,344
FP2_none,,WCL31,080123,green_r,60.0,0.16590388742964018,0.0033427197797575186,311
FP2_none,,WCL31,080123,green_r,120.0,0.19119489754738928,0.0007001941792399412,311
FP2_none,,WCL31,080123,green_r,180.0,0.1421866817699596,0.012067698438328386,311
