metric,dcz_median,saline_median,n_increased,n,wilcoxon_p,cohort
alpha,0.8145430920397903,0.8966292623574148,1,5,0.1875,FP1
beta,2.1600086330272257,2.308711202990889,3,5,0.8125,FP1
kappa,1.0718523187577165,0.8402540543311585,2,5,0.8125,FP1
reward_rate,0.746021021021021,0.7327675698121042,4,5,0.625,FP1
switch_rate,0.13368060813471033,0.1307076879506786,2,5,0.8125,FP1
choice_deviation,0.2695243647596839,0.2743942696979135,2,5,0.8125,FP1
win_stay_prob,0.9648947333901752,0.9661585365853658,1,5,0.1875,FP1
lose_switch_prob,0.4166563773305346,0.4372895622895623,3,5,0.8125,FP1
alpha,0.7610852338924938,0.7698378591785273,2,4,1.0,FP2
beta,2.625815515786171,2.607860451573309,2,4,0.875,FP2
kappa,0.8914434232375574,1.0454285743466007,1,4,0.625,FP2
reward_rate,0.7464125710259496,0.762758812525773,1,4,0.875,FP2
switch_rate,0.13160975136116865,0.11919771722571561,4,4,0.125,FP2
choice_deviation,0.27655047256194437,0.26326092031015313,3,4,0.875,FP2
win_stay_prob,0.9642144056361012,0.9708434814777852,1,4,0.375,FP2
lose_switch_prob,0.40109147674989726,0.4100389383343929,3,4,0.875,FP2
