side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,matched_center_in_index,photometry_center_in_index,photometry_center_out_index,photometry_side_in_index,photometry_side_out_index,has_all_photometry_data,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,condition,dob,treatment,viral_expression,age_days
61,71.75199463963509,60,71.46300002932549,False,True,0.1,0.9,True,R,A,rR,aA,RrR,AaA,0,0,1,0,1,1,1,0,0,0,010,110,RRL,010,0.14354157638180143,0.1730341757657794,0.02949259938397797,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.2,Exploration,1166,1161,1160,1161,1166,1190,True,1166,62.64,62.694,62.964,64.26,-0.695847263076593,-1.5222874128987942,-0.06339721587749002,-1.1843356988629377,-0.06339721587749002,-1.1843356988629377,-2.78904726330159,-3.5515391774191913,WCL23,062723,green_l,DCZ,2023-04-11,,,77
63,73.51999953389168,62,73.29099252820015,False,True,0.1,0.9,True,R,A,RR,AA,rRR,aAA,0,1,1,0,0,1,0,1,1,1,101,111,RRR,001,0.14354157638180143,0.8569066501316471,0.7133650737498457,0.6,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1199,1194,1194,1195,1199,1231,True,1199,64.476,64.53,64.746,66.474,-1.658700322936406,-2.236930671738966,-0.9621213668724566,-1.4532508796735029,-0.9621213668724566,-1.4532508796735029,3.4182292184551883,2.189650330292017,WCL23,062723,green_l,DCZ,2023-04-11,,,77
65,75.85099674761295,64,75.54399780929089,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,0,1,0,110,111,RRR,000,0.14354157638180143,0.975239960133168,0.8316983837513666,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.2,Exploration,1242,1236,1236,1236,1242,1267,True,1242,66.744,66.744,67.068,68.41799999999999,3.5476450314164225,1.392329079330887,2.1934158518363316,-0.39515048213256126,2.1934158518363316,-0.39515048213256126,0.4761603703357577,-0.049787822683022426,WCL23,062723,green_l,DCZ,2023-04-11,,,77
67,77.75999866425991,66,77.50099785625935,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.14354157638180143,0.9957156669071545,0.8521740905253531,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1277,1272,1272,1272,1277,1307,True,1277,68.688,68.688,68.958,70.578,0.7555713102989495,0.1295676071958719,1.2147952983648036,0.33422718390767725,1.2147952983648036,0.33422718390767725,3.281120854415634,0.8454268683816657,WCL23,062723,green_l,DCZ,2023-04-11,,,77
69,80.03500141203403,68,79.75899204611778,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.14354157638180143,0.9992586639541304,0.855717087572329,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1319,1314,1314,1315,1319,1348,True,1319,70.956,71.01,71.226,72.792,2.9475385036809745,1.8727662687584758,2.944545477286816,1.6549657911437872,2.944545477286816,1.6549657911437872,0.47656943084876335,-0.2841881212205143,WCL23,062723,green_l,DCZ,2023-04-11,,,77
71,82.47999921441078,70,82.16199651360512,False,True,0.9,0.09999999999999998,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.14354157638180143,0.9998717235282608,0.8563301471464594,1.0,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1365,1359,1359,1360,1364,1392,True,1364,73.386,73.44,73.656,75.16799999999999,0.9837712456067929,-0.7632900839221334,1.5083531460142066,-2.265999105896216,1.5083531460142066,-2.265999105896216,0.9599404381361385,0.32502021539499365,WCL23,062723,green_l,DCZ,2023-04-11,,,77
73,84.87399145960808,72,84.6049927175045,False,True,0.9,0.09999999999999998,False,r,a,Rr,Aa,RRr,AAa,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.14354157638180143,0.9999778037864292,0.8564362274046278,0.8,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1409,1404,1404,1405,1409,1424,True,1409,75.816,75.87,76.086,76.896,0.5406388088019903,0.3365235904683713,0.5768325619414186,0.36619993276590873,0.5768325619414186,0.36619993276590873,2.5337993683534816,1.0646239750238096,WCL23,062723,green_l,DCZ,2023-04-11,,,77
75,86.28599345684052,74,86.03299744427204,False,True,0.9,0.09999999999999998,False,r,a,rr,aa,Rrr,Aaa,0,0,1,0,1,1,0,1,1,0,011,111,RRR,000,0.14354157638180143,0.17303033516566624,0.02948875878386481,0.6,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1435,1430,1430,1431,1435,1444,True,1435,77.22,77.274,77.49,77.976,2.842299997181939,1.8330806692354544,5.0742356722271005,2.9910787059947803,5.0742356722271005,2.9910787059947803,6.765752885322868,3.478442559057509,WCL23,062723,green_l,DCZ,2023-04-11,,,77
80,89.49299678206444,79,89.1789972782135,True,False,0.9,0.09999999999999998,False,l,a,rl,ab,rrl,aab,1,0,1,0,0,1,0,1,1,0,001,111,RRR,000,0.14354157638180143,0.029940161445760588,-0.11360141493604084,0.4,0.8,0.09999999999999998,0.7000000000000001,0.7000000000000001,0.2,Right Bias,1494,1489,1488,1489,1494,1502,True,1494,80.352,80.406,80.676,81.108,4.159208218414245,2.5398845446739506,2.762248776239229,1.6917540626702268,2.762248776239229,1.6917540626702268,0.32622381309148285,0.0524344193602162,WCL23,062723,green_l,DCZ,2023-04-11,,,77
82,90.940997377038,81,90.63999317586422,True,False,0.9,0.09999999999999998,True,L,A,lL,aA,rlL,abB,0,0,0,1,0,1,0,0,1,0,000,011,LRR,100,0.02483759837218924,0.029940161445760588,0.005102563073571348,0.4,0.6,0.09999999999999998,0.5,0.5,0.2,Right Bias,1521,1516,1515,1516,1521,1556,True,1521,81.81,81.864,82.134,84.024,-0.6293447740970897,-1.4204796035741367,-0.9582964099744049,-2.68019199369503,-0.9582964099744049,-2.68019199369503,-0.14682606825015884,-1.0411151589983332,WCL23,062723,green_l,DCZ,2023-04-11,,,77
