side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,matched_center_in_index,photometry_center_in_index,photometry_center_out_index,photometry_side_in_index,photometry_side_out_index,has_all_photometry_data,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,condition,dob,treatment,viral_expression,age_days
70,83.29599760472775,69,83.047004789114,True,False,0.09999999999999998,0.9,False,l,a,Ll,Aa,LLl,AAa,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9968421051643399,0.001869010381933784,-0.9949730947824061,0.6,0.0,0.9,-0.9,0.9,0.0,Left Bias,1195,1191,1191,1191,1195,1199,True,1195,64.314,64.314,64.53,64.746,3.827667644820555,2.064030818278321,2.7153347199942437,1.6161150441297603,2.7153347199942437,1.6161150441297603,2.508849848791994,1.9034941923144988,WCL23,092523,green_l,DCZ,2023-04-11,,,167
72,84.99000370502472,71,84.69700589776039,True,False,0.09999999999999998,0.9,True,L,A,lL,aA,LlL,AaA,0,0,0,0,1,0,0,1,0,0,011,000,LLL,000,0.15470592380995907,0.001869010381933784,-0.15283691342802527,0.8,0.0,0.9,-0.9,0.9,0.0,Left Bias,1227,1221,1221,1222,1227,1255,True,1227,65.934,65.988,66.258,67.77,3.8407649392846044,0.8799905096595166,0.6388389136862032,-1.0555424284411676,0.6388389136862032,-1.0555424284411676,-0.6938827720831048,-0.975951144413889,WCL23,092523,green_l,DCZ,2023-04-11,,,167
74,87.50100396573544,73,87.17399910092354,True,False,0.09999999999999998,0.9,False,l,a,Ll,Aa,lLl,aAa,0,1,0,0,0,0,0,1,0,0,101,000,LLL,000,0.8688137265966439,0.001869010381933784,-0.8669447162147101,0.6,0.0,0.9,-0.9,0.9,0.0,Left Bias,1273,1267,1267,1268,1273,1277,True,1273,68.41799999999999,68.472,68.742,68.958,1.386903363081849,0.5476363678029001,4.643312361701048,2.170808139513816,4.643312361701048,2.170808139513816,7.978134079597043,4.357005394177323,WCL23,092523,green_l,DCZ,2023-04-11,,,167
78,91.59600287675858,77,91.28299914300442,True,False,0.09999999999999998,0.9,False,l,a,ll,aa,Lll,Aaa,0,0,0,0,1,0,0,0,0,0,010,000,LLL,000,0.13483642945614538,0.001869010381933784,-0.13296741907421158,0.4,0.0,0.9,-0.9,0.9,0.0,Left Bias,1349,1343,1343,1344,1349,1352,True,1349,72.522,72.576,72.846,73.008,-0.6737220255737093,-1.753219718335912,-0.10389147475301484,-1.0967068796224426,-0.10389147475301484,-1.0967068796224426,1.799957187206103,-0.5477209414677404,WCL23,092523,green_l,DCZ,2023-04-11,,,167
80,93.21800172328949,79,92.74400509893894,False,True,0.09999999999999998,0.9,True,R,A,lR,aB,llR,aaB,1,0,0,0,0,0,0,1,0,0,001,000,LLL,000,0.020926076731891605,0.001869010381933784,-0.01905706634995782,0.4,0.2,0.9,-0.7,0.7,0.2,Left Bias,1379,1370,1370,1372,1379,1404,True,1379,73.98,74.088,74.466,75.816,5.852739277982178,4.27156158676033,4.903843286394661,3.053294912479705,4.903843286394661,3.053294912479705,0.052108476015313265,-0.5884295461228953,WCL23,092523,green_l,DCZ,2023-04-11,,,167
82,95.13900317251682,81,94.85800489783287,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,lRR,aBB,0,1,1,1,0,0,0,0,0,0,100,100,RLL,100,0.020926076731891605,0.8450940464570823,0.8241679697251907,0.6,0.4,0.9,-0.5,0.5,0.2,Left Bias,1415,1410,1409,1410,1415,1442,True,1415,76.086,76.14,76.41,77.868,0.2760341820160456,-0.2748929063317797,0.4463863450457984,-0.4998314512154703,0.4463863450457984,-0.4998314512154703,-0.8070420506830894,-1.7292299321971265,WCL23,092523,green_l,DCZ,2023-04-11,,,167
84,97.5819993764162,83,97.29400053620338,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,1,0,0,0,110,110,RRL,010,0.020926076731891605,0.9759592130766097,0.9550331363447181,0.6,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.2,Exploration,1460,1455,1454,1455,1460,1484,True,1460,78.516,78.57,78.84,80.136,-0.6561064617865616,-1.357099161295119,-1.2535761205177967,-2.7536689288666434,-1.2535761205177967,-2.7536689288666434,0.019737463904702685,-1.7262814943398002,WCL23,092523,green_l,DCZ,2023-04-11,,,167
86,99.45000372827053,85,99.17600601911545,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,1,111,111,RRR,001,0.020926076731891605,0.996268965635748,0.9753428889038563,0.8,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1495,1490,1489,1490,1494,1523,True,1494,80.406,80.46,80.676,82.242,0.5979573472421024,-0.29231799222797056,1.064210466648298,0.16161833938247538,1.064210466648298,0.16161833938247538,0.547203304084283,0.07502258240754076,WCL23,092523,green_l,DCZ,2023-04-11,,,167
88,101.59099996089935,87,101.25800035893917,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.020926076731891605,0.9994209583292099,0.9784948815973182,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.2,Exploration,1534,1528,1528,1529,1534,1561,True,1534,82.512,82.566,82.836,84.294,0.5106312862020584,-0.002436860561994693,0.4956308790115587,-0.5392590894151762,0.4956308790115587,-0.5392590894151762,-0.4530250657794099,-1.8571396351735125,WCL23,092523,green_l,DCZ,2023-04-11,,,167
93,105.25400564074516,92,104.96500097215176,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.020926076731891605,0.9999101350393006,0.978984058307409,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1602,1597,1597,1597,1602,1628,True,1602,86.238,86.238,86.508,87.91199999999999,5.210992818215302,3.861946182589275,2.2533169364845764,1.177363780527957,2.2533169364845764,1.177363780527957,-1.7882847724675017,-2.2048365215565244,WCL23,092523,green_l,DCZ,2023-04-11,,,167
