side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,matched_center_in_index,photometry_center_in_index,photometry_center_out_index,photometry_side_in_index,photometry_side_out_index,has_all_photometry_data,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,condition,dob,treatment,viral_expression,age_days
55,67.18999966979027,54,66.8989934027195,False,True,0.1,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.1006105624329709,0.999999999999947,0.8993894375669762,1.0,1.0,0.9,0.09999999999999998,0.09999999999999998,0.0,Exploitation,1213,1208,1208,1208,1213,1237,True,1213,65.232,65.232,65.502,66.798,9.516881427192422,6.07541033090788,3.087055042054835,1.8672250256540461,3.087055042054835,1.8672250256540461,-1.2717332545150617,-2.1207808184279533,WCL23,092823,green_l,saline,2023-04-11,,,170
57,69.09699998795986,56,68.7629945576191,False,True,0.9,0.09999999999999998,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.1006105624329709,0.9999999999999893,0.8993894375670184,1.0,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1248,1242,1242,1243,1248,1277,True,1248,67.068,67.122,67.392,68.958,-0.7883390470390554,-1.5889484350013492,-0.8849092178950323,-1.3066377622800616,-0.8849092178950323,-1.3066377622800616,-0.5493506716840444,-1.5973450236478914,WCL23,092823,green_l,saline,2023-04-11,,,170
59,71.28999754786491,58,70.97199484705925,False,True,0.9,0.09999999999999998,False,r,a,Rr,Aa,RRr,AAa,0,1,1,0,1,1,0,1,1,0,111,111,RRR,000,0.1006105624329709,0.9999999999999979,0.899389437567027,0.8,1.0,0.09999999999999998,0.9,0.9,0.0,Right Bias,1289,1283,1283,1284,1289,1292,True,1289,69.282,69.336,69.606,69.768,2.070530075649886,-0.3608242909688686,4.298138554710089,1.162968719067437,4.298138554710089,1.162968719067437,6.436621812260475,2.4482903621843177,WCL23,092823,green_l,saline,2023-04-11,,,170
61,73.20600003004074,60,72.79299683868885,True,False,0.9,0.09999999999999998,True,L,A,rL,aB,RrL,AaB,1,0,1,0,1,1,0,1,1,0,011,111,RRR,000,0.1006105624329709,0.20122112486594135,0.10061056243297045,0.8,0.8,0.09999999999999998,0.7000000000000001,0.7000000000000001,0.2,Right Bias,1324,1317,1317,1317,1324,1350,True,1324,71.118,71.118,71.496,72.9,9.72464097686533,6.800490442504671,5.340478383723807,3.9014006447526857,5.340478383723807,3.9014006447526857,-0.918149309178591,-1.1368722579318487,WCL23,092823,green_l,saline,2023-04-11,,,170
63,75.77399052679539,62,75.49699544906616,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,rLL,aBB,0,1,0,1,0,1,0,1,1,0,101,011,LRR,100,0.8190238456802157,0.20122112486594135,-0.6178027208142743,0.8,0.6,0.09999999999999998,0.5,0.5,0.2,Right Bias,1372,1367,1367,1367,1372,1396,True,1372,73.818,73.818,74.088,75.384,-0.9209602745875897,-1.4026493996713087,-1.0546846004864323,-2.1507791538046432,-1.0546846004864323,-2.1507791538046432,-1.1082483362918867,-1.8293227014338045,WCL23,092823,green_l,saline,2023-04-11,,,170
65,77.61799581348896,64,77.33899913728237,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,1,0,1,0,110,001,LLR,010,0.9635837746538607,0.20122112486594135,-0.7623626497879193,0.8,0.4,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.2,Exploration,1406,1401,1401,1401,1406,1433,True,1406,75.654,75.654,75.92399999999999,77.382,-0.2647806523694094,-0.9337887348029212,-0.5099125866467673,-0.8008262518385334,-0.5099125866467673,-0.8008262518385334,-0.37124498012571433,-1.4678149524360133,WCL23,092823,green_l,saline,2023-04-11,,,170
70,81.41699954867363,69,81.07699938118458,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,1,111,000,LLL,001,0.9926722861724783,0.20122112486594135,-0.7914511613065369,0.8,0.2,0.09999999999999998,0.10000000000000003,0.10000000000000003,0.2,Exploration,1476,1470,1470,1471,1477,1505,True,1477,79.38,79.434,79.758,81.27,4.368633704460341,3.321397407386711,2.2397757580313815,0.5911252297181832,2.2397757580313815,0.5911252297181832,-0.6577199836368366,-1.3464419912038834,WCL23,092823,green_l,saline,2023-04-11,,,170
72,83.58899541199207,71,83.29699337482452,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9985255091809304,0.20122112486594135,-0.7973043843149891,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1517,1511,1511,1512,1517,1543,True,1517,81.594,81.648,81.91799999999999,83.322,-0.039487713126594215,-0.8455888722739754,-0.0417324325362584,-0.9274595905038946,-0.0417324325362584,-0.9274595905038946,0.6863031915537716,-0.31100613724308346,WCL23,092823,green_l,saline,2023-04-11,,,170
74,85.72299107909203,73,85.38399673998356,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9997033012987823,0.20122112486594135,-0.7984821764328409,1.0,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,1556,1550,1550,1551,1556,1583,True,1556,83.7,83.754,84.024,85.482,1.1062953580564205,-0.6696457508372543,-0.5706778172230642,-1.6296622063264254,-0.5706778172230642,-1.6296622063264254,0.8529202468114079,0.32908197425662467,WCL23,092823,green_l,saline,2023-04-11,,,170
79,89.60499577224255,78,89.33799862861633,True,False,0.9,0.09999999999999998,False,l,a,Ll,Aa,LLl,AAa,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999402979535947,0.20122112486594135,-0.7987191730876534,0.8,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,1628,1623,1623,1624,1628,1646,True,1628,87.642,87.696,87.91199999999999,88.884,8.412279967234856,6.64523668418249,4.555811570607413,3.1765785341957686,4.555811570607413,3.1765785341957686,2.2350828219100762,1.2946081808188317,WCL23,092823,green_l,saline,2023-04-11,,,170
81,92.51599386334419,80,92.21799708902836,True,False,0.9,0.09999999999999998,True,L,A,lL,aA,LlL,AaA,0,0,0,0,1,0,0,1,0,0,011,000,LLL,000,0.20120911155300736,0.20122112486594135,1.201331293398944e-05,0.8,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,1682,1677,1676,1677,1682,1706,True,1682,90.504,90.55799999999999,90.828,92.124,-1.5399683887468694,-2.131018002053105,-0.9334045534397465,-1.7826690030082701,-0.9334045534397465,-1.7826690030082701,-1.4242430086266789,-2.6536173818972406,WCL23,092823,green_l,saline,2023-04-11,,,170
83,94.46099437773228,82,94.1649992018938,True,False,0.9,0.09999999999999998,True,L,A,LL,AA,lLL,aAA,0,1,0,0,0,0,0,1,0,0,101,000,LLL,000,0.8392663988940311,0.20122112486594135,-0.6380452740280897,0.8,0.0,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,Exploitation,1718,1713,1712,1713,1718,1744,True,1718,92.448,92.502,92.772,94.176,-0.4231346986338368,-0.8450669596639886,-0.09901450200963599,-0.9595692975381881,-0.09901450200963599,-0.9595692975381881,0.8761452243114176,-0.2143184931979133,WCL23,092823,green_l,saline,2023-04-11,,,170
