side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,matched_center_in_index,photometry_center_in_index,photometry_center_out_index,photometry_side_in_index,photometry_side_out_index,has_all_photometry_data,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,condition,dob,treatment,viral_expression,age_days
65,73.00100214779377,64,72.63199388980865,False,True,0.9,0.1,False,r,a,Lr,Ab,LLr,AAb,1,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999958366913606,0.22483825801369184,-0.7751575786776688,0.8,0.2,0.1,0.1,0.1,0.2,Exploration,1170,1163,1163,1165,1170,1178,True,1170,62.802,62.91,63.18,63.612,1.8999589529791328,1.5509361925498015,0.9965505470647722,0.8299129942825516,0.9965505470647722,0.8299129942825516,0.7255626253339166,0.4466767359330132,WCL23,062623,green_l,saline,2023-04-11,,,76
67,75.03200098872185,66,74.6490016579628,True,False,0.9,0.1,True,L,A,rL,aB,LrL,AbA,1,0,1,1,1,0,0,1,0,0,011,100,RLL,100,0.9999958366913606,0.06571698297262554,-0.9342788537187351,0.8,0.2,0.1,0.1,0.1,0.4,Exploration,1208,1201,1201,1202,1207,1236,True,1207,64.854,64.908,65.178,66.744,-0.6714967156215442,-2.7037907463341955,-2.149694510834915,-4.272469982002348,-2.149694510834915,-4.272469982002348,-1.4484209778248816,-2.5057048856046507,WCL23,062623,green_l,saline,2023-04-11,,,76
69,77.12000012397766,68,76.84400081634521,True,False,0.9,0.1,True,L,A,LL,AA,rLL,aBB,0,1,0,1,0,1,1,1,0,0,101,010,LRL,110,0.9999987831248766,0.06571698297262554,-0.934281800152251,0.8,0.2,0.1,0.1,0.1,0.4,Exploration,1247,1241,1242,1242,1246,1278,True,1246,67.068,67.068,67.284,69.012,-0.9581559898449179,-2.594828461455603,-1.605821462713665,-2.7211003025129585,-1.605821462713665,-2.7211003025129585,-0.7714259665083616,-1.2230870076190334,WCL23,062623,green_l,saline,2023-04-11,,,76
71,79.43800203502178,70,79.1639942675829,True,False,0.9,0.1,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,1,0,1,1,110,001,LLR,011,0.9999996443249362,0.06571698297262554,-0.9342826613523106,0.8,0.2,0.1,0.1,0.1,0.4,Exploration,1289,1284,1284,1285,1289,1333,True,1289,69.336,69.39,69.606,71.982,-0.27915023639617986,-1.1274434533888664,-0.8235919641563102,-1.3828198155744478,-0.8235919641563102,-1.3828198155744478,3.844729209129738,3.0003967957618167,WCL23,062623,green_l,saline,2023-04-11,,,76
73,82.48499818146229,72,82.1839939802885,True,False,0.9,0.1,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,1,111,000,LLL,001,0.999999896041304,0.06571698297262554,-0.9342829130686785,0.8,0.2,0.1,0.1,0.1,0.4,Exploration,1346,1340,1340,1341,1346,1387,True,1346,72.36,72.414,72.684,74.898,2.327184730780412,1.5477451156828448,1.2426109753541392,0.7263342005552675,1.2426109753541392,0.7263342005552675,3.0593418198112077,2.0237194329036274,WCL23,062623,green_l,saline,2023-04-11,,,76
75,85.63500121235847,74,85.36799401044846,True,False,0.09999999999999998,0.9,False,l,a,Ll,Aa,LLl,AAa,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999696143712,0.06571698297262554,-0.9342829866417457,0.8,0.0,0.9,-0.9,0.9,0.2,Left Bias,1404,1399,1399,1400,1404,1408,True,1404,75.54599999999999,75.6,75.816,76.032,5.828830635860141,2.331821899925776,8.537736429302244,3.4399724442437325,8.537736429302244,3.4399724442437325,7.769374912692892,4.377201696578408,WCL23,062623,green_l,saline,2023-04-11,,,76
77,87.54399307072163,76,87.14500106871128,True,False,0.09999999999999998,0.9,False,l,a,ll,aa,Lll,Aaa,0,0,0,0,1,0,0,1,0,0,011,000,LLL,000,0.2922855814501629,0.06571698297262554,-0.22656859847753738,0.6,0.0,0.9,-0.9,0.9,0.0,Left Bias,1440,1432,1432,1433,1440,1444,True,1440,77.328,77.382,77.76,77.976,3.8138793745387023,1.9399194956246963,2.9228889610090483,2.0106490089532008,2.9228889610090483,2.0106490089532008,3.9248305004369315,2.9184485914928637,WCL23,062623,green_l,saline,2023-04-11,,,76
79,89.06799405813217,78,88.79199475049973,True,False,0.09999999999999998,0.9,False,l,a,ll,aa,lll,aaa,0,0,0,0,0,0,0,1,0,0,001,000,LLL,000,0.08543086371953035,0.06571698297262554,-0.019713880746904805,0.4,0.0,0.9,-0.9,0.9,0.0,Left Bias,1468,1463,1463,1463,1468,1471,True,1468,79.002,79.002,79.272,79.434,1.7451843021809932,1.1066979328492133,1.044246311994683,0.6392827568433904,1.044246311994683,0.6392827568433904,2.186430130970627,0.4814439030697054,WCL23,062623,green_l,saline,2023-04-11,,,76
86,93.36599931120872,85,93.07599887251854,False,True,0.09999999999999998,0.9,False,r,a,lr,ab,llr,aab,1,0,0,0,0,0,0,0,0,0,000,000,LLL,000,0.024970210434788108,0.06571698297262554,0.040746772537837435,0.2,0.2,0.9,-0.7,0.7,0.2,Left Bias,1547,1542,1542,1543,1547,1559,True,1547,83.268,83.322,83.538,84.18599999999999,-0.3512676175608387,-1.2682169622733097,-1.278980776727268,-2.1620277710136557,-1.278980776727268,-2.1620277710136557,-0.5595081908920527,-2.3964091385207875,WCL23,062623,green_l,saline,2023-04-11,,,76
88,95.27599699795246,87,94.98599655926228,True,False,0.09999999999999998,0.9,False,l,a,rl,ab,lrl,aba,1,0,1,1,0,0,0,0,0,0,000,100,RLL,100,0.024970210434788108,0.019208127162955335,-0.005762083271832773,0.0,0.2,0.9,-0.7,0.7,0.4,Left Bias,1583,1577,1577,1578,1583,1585,True,1583,85.158,85.212,85.482,85.59,0.2576641258888978,-0.4243976172272932,0.9843286512047864,0.2760290370927023,0.9843286512047864,0.2760290370927023,0.9206788858380685,0.2944774873229242,WCL23,062623,green_l,saline,2023-04-11,,,76
