mouse,model,r2_mean,r2_std,n_samples_fit
WCL30,1_main_effects,0.1429404165861139,0.010222540522541273,90946
WCL30,2b_word_l1,0.14295547859167795,0.010287522551032787,90946
WCL30,2b_word_l2,0.292227893300698,0.028317492762130154,90946
WCL31,1_main_effects,0.02736350891401147,0.00859074096619609,114783
WCL31,2b_word_l1,0.027128460770441308,0.008270884579321304,114783
WCL31,2b_word_l2,0.20844961808528475,0.01913598194035663,114783
WCL32,1_main_effects,0.08444032120766723,0.016996946891721203,83111
WCL32,2b_word_l1,0.08454945803448978,0.016753547408052846,83111
WCL32,2b_word_l2,0.254647674479982,0.019135629728157005,83111
WCL33,1_main_effects,0.11086220047748477,0.006077941847429436,121618
WCL33,2b_word_l1,0.11081365336605273,0.006027587145168455,121618
WCL33,2b_word_l2,0.2531954850039288,0.020343036075094346,121618
