mouse,model,event,r2_mean,r2_std,n_trials
WCL30,2b_word_l2,side_in,0.2767245471942135,0.021573075942195773,2414
WCL30,3_qdiff_rpe,side_in,0.24400120921799884,0.023020308634779326,2414
WCL30,3b_reward_qdiff,side_in,0.18511308496966983,0.01194321639658674,2414
WCL30,3c_reward_qchosen_qdiff,side_in,0.2482611438095578,0.021580816075146222,2414
WCL31,2b_word_l2,side_in,0.0638986025176024,0.021062235073398963,3026
WCL31,3_qdiff_rpe,side_in,0.03397606847237824,0.01780440857108076,3026
WCL31,3b_reward_qdiff,side_in,0.04339728363371411,0.008949416076704448,3026
WCL31,3c_reward_qchosen_qdiff,side_in,0.04257084081108085,0.012060352606748313,3026
WCL32,2b_word_l2,side_in,0.08169532717346191,0.013356248692149115,2216
WCL32,3_qdiff_rpe,side_in,0.07325894784971335,0.017523130009441765,2216
WCL32,3b_reward_qdiff,side_in,0.06544766476848698,0.012613008308708425,2216
WCL32,3c_reward_qchosen_qdiff,side_in,0.07567338179278324,0.016234490254833027,2216
WCL33,2b_word_l2,side_in,0.15674827517000428,0.022138560011114874,3179
WCL33,3_qdiff_rpe,side_in,0.1537070447698766,0.020832186266544556,3179
WCL33,3b_reward_qdiff,side_in,0.10929897932201327,0.013287533174420867,3179
WCL33,3c_reward_qchosen_qdiff,side_in,0.15373942296979584,0.0221895764738447,3179
