mouse,model,event,r2_mean,r2_std,n_trials
WCL30,2b_word_l2,side_in,0.2767245471942135,0.021573075942195773,2414
WCL30,3c_reward_qchosen_qdiff,side_in,0.2482611438095578,0.021580816075146222,2414
WCL30,3d_reward_qchosen_rpeabs_qdiff,side_in,0.2498823550112915,0.021301064238707243,2414
WCL31,2b_word_l2,side_in,0.0638986025176024,0.021062235073398963,3026
WCL31,3c_reward_qchosen_qdiff,side_in,0.04257084081108085,0.012060352606748313,3026
WCL31,3d_reward_qchosen_rpeabs_qdiff,side_in,0.06424016367869256,0.020403532606969137,3026
WCL32,2b_word_l2,side_in,0.08169532717346191,0.013356248692149115,2216
WCL32,3c_reward_qchosen_qdiff,side_in,0.07567338179278324,0.016234490254833027,2216
WCL32,3d_reward_qchosen_rpeabs_qdiff,side_in,0.08920060546757547,0.013656174828251579,2216
WCL33,2b_word_l2,side_in,0.15674827517000428,0.022138560011114874,3179
WCL33,3c_reward_qchosen_qdiff,side_in,0.15373942296979584,0.0221895764738447,3179
WCL33,3d_reward_qchosen_rpeabs_qdiff,side_in,0.1612714747390849,0.020025123629415005,3179
