mouse,model,event,r2_mean,r2_std,n_trials
WCL23,1_main_effects,side_in,0.061418504108564885,0.041525944073874985,727
WCL23,1b_plus_side_out,side_in,0.061418504108564885,0.041525944073874985,727
WCL23,1b_plus_side_out,side_out,0.05059714865547658,0.03482681798281205,727
WCL23,2_2bit_seq,side_in,0.010605777327476163,0.02668982485170906,727
WCL23,2_3bit_seq,side_in,0.007088094119218758,0.03199752048115461,727
WCL23,2b_word_l1,side_in,0.06141850410856475,0.04152594407387514,727
WCL23,2b_word_l2,side_in,0.04247078821932174,0.03415810194566285,727
WCL23,2b_word_l3,side_in,-0.3202337500215391,0.0,727
WCL23,2c_word_l1_side_out,side_in,0.06141850410856475,0.04152594407387514,727
WCL23,2c_word_l1_side_out,side_out,0.050597148655476244,0.03482681798281233,727
WCL23,2c_word_l2_side_out,side_in,0.04247078821932174,0.03415810194566285,727
WCL23,2c_word_l2_side_out,side_out,0.09628628546243553,0.028002810130322176,727
WCL23,2c_word_l3_side_out,side_in,-0.3202337500215391,0.0,727
WCL23,2c_word_l3_side_out,side_out,0.046623015955578495,0.0,727
WCL23,3_qdiff_rpe,side_in,0.031233026779770533,0.050106561616192535,727
WCL23,3b_reward_qdiff,side_in,0.05990564412397377,0.03924997801038437,727
WCL23,3c_reward_qchosen_qdiff,side_in,0.0550875302313951,0.04661479706523774,727
WCL23,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05065097637214631,0.042148197042664266,727
WCL24,1_main_effects,side_in,0.017748607352730206,0.036845778817870344,726
WCL24,1b_plus_side_out,side_in,0.017748607352730206,0.036845778817870344,726
WCL24,1b_plus_side_out,side_out,0.01867122753368793,0.021296191816742107,726
WCL24,2_2bit_seq,side_in,0.04900283001451169,0.012131091925587452,726
WCL24,2_3bit_seq,side_in,0.07075396422833144,0.02087287430205948,726
WCL24,2b_word_l1,side_in,0.017748607352730116,0.03684577881787032,726
WCL24,2b_word_l2,side_in,0.0019148181135659969,0.032600301333539056,726
WCL24,2b_word_l3,side_in,-0.06323583291380197,0.02379368949423355,726
WCL24,2c_word_l1_side_out,side_in,0.017748607352730116,0.03684577881787032,726
WCL24,2c_word_l1_side_out,side_out,0.01867122753368795,0.021296191816742166,726
WCL24,2c_word_l2_side_out,side_in,0.0019148181135659969,0.032600301333539056,726
WCL24,2c_word_l2_side_out,side_out,0.08819292789378264,0.03889655225138677,726
WCL24,2c_word_l3_side_out,side_in,-0.06323583291380197,0.02379368949423355,726
WCL24,2c_word_l3_side_out,side_out,0.06489512754106386,0.011872616976352335,726
WCL24,3_qdiff_rpe,side_in,0.0285415741811057,0.04663483923002227,726
WCL24,3b_reward_qdiff,side_in,0.021435424111966396,0.03861090526421344,726
WCL24,3c_reward_qchosen_qdiff,side_in,0.02936624257323859,0.05175115778162483,726
WCL24,3d_reward_qchosen_rpeabs_qdiff,side_in,0.039097710761170704,0.04179448565765005,726
WCL27,1_main_effects,side_in,0.06158360995862113,0.023473692066341666,939
WCL27,1b_plus_side_out,side_in,0.06158360995862113,0.023473692066341666,939
WCL27,1b_plus_side_out,side_out,0.18001728614039075,0.029160850355619397,939
WCL27,2_2bit_seq,side_in,0.02434181623143721,0.03885439085627159,939
WCL27,2_3bit_seq,side_in,0.027248059901385256,0.0592933318360331,939
WCL27,2b_word_l1,side_in,0.06158360995862091,0.023473692066341752,939
WCL27,2b_word_l2,side_in,0.07728419975756765,0.04342857778818644,939
WCL27,2b_word_l3,side_in,,,939
WCL27,2c_word_l1_side_out,side_in,0.06158360995862091,0.023473692066341752,939
WCL27,2c_word_l1_side_out,side_out,0.18001728614039053,0.029160850355619813,939
WCL27,2c_word_l2_side_out,side_in,0.07728419975756765,0.04342857778818644,939
WCL27,2c_word_l2_side_out,side_out,0.2282607994638184,0.050199069515906504,939
WCL27,2c_word_l3_side_out,side_in,,,939
WCL27,2c_word_l3_side_out,side_out,,,939
WCL27,3_qdiff_rpe,side_in,0.07764496000704775,0.02978699955255384,939
WCL27,3b_reward_qdiff,side_in,0.11512367265074033,0.019103803913128263,939
WCL27,3c_reward_qchosen_qdiff,side_in,0.11202105661332025,0.01698293582000197,939
WCL27,3d_reward_qchosen_rpeabs_qdiff,side_in,0.1347277067550225,0.012881053599600963,939
WCL28,1_main_effects,side_in,0.034578063300287655,0.042479784551352255,950
WCL28,1b_plus_side_out,side_in,0.034578063300287655,0.042479784551352255,950
WCL28,1b_plus_side_out,side_out,0.04882832868773155,0.04146434721531426,950
WCL28,2_2bit_seq,side_in,0.03558516231072286,0.02128940160393882,950
WCL28,2_3bit_seq,side_in,0.05300017571738318,0.00686552332039135,950
WCL28,2b_word_l1,side_in,0.034578063300287384,0.042479784551351776,950
WCL28,2b_word_l2,side_in,0.014356032185800782,0.035836121869864235,950
WCL28,2b_word_l3,side_in,0.020258804459382884,0.0,950
WCL28,2c_word_l1_side_out,side_in,0.034578063300287384,0.042479784551351776,950
WCL28,2c_word_l1_side_out,side_out,0.04882832868773117,0.04146434721531385,950
WCL28,2c_word_l2_side_out,side_in,0.014356032185800782,0.035836121869864235,950
WCL28,2c_word_l2_side_out,side_out,0.13367027027645006,0.08272165510006702,950
WCL28,2c_word_l3_side_out,side_in,0.020258804459382884,0.0,950
WCL28,2c_word_l3_side_out,side_out,0.14927935742498688,0.0,950
WCL28,3_qdiff_rpe,side_in,0.04109318734786001,0.055825599381251645,950
WCL28,3b_reward_qdiff,side_in,0.027241685796503278,0.058960480315979155,950
WCL28,3c_reward_qchosen_qdiff,side_in,0.03619932822277303,0.053473474377104625,950
WCL28,3d_reward_qchosen_rpeabs_qdiff,side_in,0.04967791011916904,0.04471829897190248,950
WCL29,1_main_effects,side_in,0.08675566118615627,0.04848104399197306,913
WCL29,1b_plus_side_out,side_in,0.08675566118615627,0.04848104399197306,913
WCL29,1b_plus_side_out,side_out,0.07902621336634827,0.05216479097003805,913
WCL29,2_2bit_seq,side_in,0.008162047142717377,0.02396170620275375,913
WCL29,2_3bit_seq,side_in,0.014970831508089488,0.021671920421066374,913
WCL29,2b_word_l1,side_in,0.08675566118615556,0.048481043991973644,913
WCL29,2b_word_l2,side_in,0.07358772732540428,0.045426258923964874,913
WCL29,2b_word_l3,side_in,,,913
WCL29,2c_word_l1_side_out,side_in,0.08675566118615556,0.048481043991973644,913
WCL29,2c_word_l1_side_out,side_out,0.07902621336634794,0.052164790970038524,913
WCL29,2c_word_l2_side_out,side_in,0.07358772732540428,0.045426258923964874,913
WCL29,2c_word_l2_side_out,side_out,0.1135618898661647,0.040147040274442956,913
WCL29,2c_word_l3_side_out,side_in,,,913
WCL29,2c_word_l3_side_out,side_out,,,913
WCL29,3_qdiff_rpe,side_in,0.08748855793905219,0.03152915779514856,913
WCL29,3b_reward_qdiff,side_in,0.08308862577516143,0.053116159127195785,913
WCL29,3c_reward_qchosen_qdiff,side_in,0.09001809680846182,0.047092545835358435,913
WCL29,3d_reward_qchosen_rpeabs_qdiff,side_in,0.09314148815768183,0.04224652793508189,913
