mouse,model,event,r2_mean,r2_std,n_trials
WCL23,1_main_effects,side_in,0.00395997488962283,0.024683234560534326,563
WCL23,1b_plus_side_out,side_in,0.00395997488962283,0.024683234560534326,563
WCL23,1b_plus_side_out,side_out,0.05059714865547658,0.03482681798281205,727
WCL23,2_2bit_seq,side_in,0.009084568653216074,0.02202505386268768,563
WCL23,2_3bit_seq,side_in,0.03423385854152121,0.006432685334430193,563
WCL23,2b_word_l1,side_in,0.003959974889622764,0.024683234560534326,563
WCL23,2b_word_l2,side_in,0.017413097082994933,0.02328584152116525,563
WCL23,2b_word_l3,side_in,,,563
WCL23,2c_word_l1_side_out,side_in,0.003959974889622764,0.024683234560534326,563
WCL23,2c_word_l1_side_out,side_out,0.050597148655476244,0.03482681798281233,727
WCL23,2c_word_l2_side_out,side_in,0.017413097082994933,0.02328584152116525,563
WCL23,2c_word_l2_side_out,side_out,0.09628628546243553,0.028002810130322176,727
WCL23,2c_word_l3_side_out,side_in,,,563
WCL23,2c_word_l3_side_out,side_out,0.046623015955578495,0.0,727
WCL23,3_qdiff_rpe,side_in,-0.02370691877538127,0.024865395802473936,563
WCL23,3b_reward_qdiff,side_in,-0.01953316109400651,0.024573398496134092,563
WCL23,3c_reward_qchosen_qdiff,side_in,-0.020001536807260023,0.024518921778363588,563
WCL23,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.03711708193895482,0.03222909888339952,563
WCL24,1_main_effects,side_in,0.003897123644495154,0.01209305263868489,543
WCL24,1b_plus_side_out,side_in,0.003897123644495154,0.01209305263868489,543
WCL24,1b_plus_side_out,side_out,0.01867122753368793,0.021296191816742107,726
WCL24,2_2bit_seq,side_in,0.037684315538648816,0.058409459931985305,543
WCL24,2_3bit_seq,side_in,0.04639641964306063,0.06847690889238352,543
WCL24,2b_word_l1,side_in,0.0038971236444952095,0.012093052638684957,543
WCL24,2b_word_l2,side_in,-0.01882777066870117,0.02028344485154515,543
WCL24,2b_word_l3,side_in,-0.06610524778530784,0.1291567107822995,543
WCL24,2c_word_l1_side_out,side_in,0.0038971236444952095,0.012093052638684957,543
WCL24,2c_word_l1_side_out,side_out,0.01867122753368795,0.021296191816742166,726
WCL24,2c_word_l2_side_out,side_in,-0.01882777066870117,0.02028344485154515,543
WCL24,2c_word_l2_side_out,side_out,0.08819292789378264,0.03889655225138677,726
WCL24,2c_word_l3_side_out,side_in,-0.06610524778530784,0.1291567107822995,543
WCL24,2c_word_l3_side_out,side_out,0.06489512754106386,0.011872616976352335,726
WCL24,3_qdiff_rpe,side_in,-0.010251912741115633,0.012830533138273318,543
WCL24,3b_reward_qdiff,side_in,0.007633919250182997,0.017878507011724307,543
WCL24,3c_reward_qchosen_qdiff,side_in,-0.0020276055224609513,0.01617461405082505,543
WCL24,3d_reward_qchosen_rpeabs_qdiff,side_in,-1.2375632618199812,2.475592403037792,543
WCL27,1_main_effects,side_in,0.014523461881925836,0.010674319315861509,720
WCL27,1b_plus_side_out,side_in,0.014523461881925836,0.010674319315861509,720
WCL27,1b_plus_side_out,side_out,0.18001728614039075,0.029160850355619397,939
WCL27,2_2bit_seq,side_in,0.04337926323469397,0.026722818025711345,720
WCL27,2_3bit_seq,side_in,0.07627905847554528,0.048263503565741835,720
WCL27,2b_word_l1,side_in,0.014523461881925747,0.010674319315861672,720
WCL27,2b_word_l2,side_in,-0.08613896661430576,0.0,720
WCL27,2b_word_l3,side_in,,,720
WCL27,2c_word_l1_side_out,side_in,0.014523461881925747,0.010674319315861672,720
WCL27,2c_word_l1_side_out,side_out,0.18001728614039053,0.029160850355619813,939
WCL27,2c_word_l2_side_out,side_in,-0.08613896661430576,0.0,720
WCL27,2c_word_l2_side_out,side_out,0.2282607994638184,0.050199069515906504,939
WCL27,2c_word_l3_side_out,side_in,,,720
WCL27,2c_word_l3_side_out,side_out,,,939
WCL27,3_qdiff_rpe,side_in,0.04751336715046626,0.03519735715526477,720
WCL27,3b_reward_qdiff,side_in,0.07261909027754909,0.02668501731813536,720
WCL27,3c_reward_qchosen_qdiff,side_in,0.08510065730438669,0.03854337987348677,720
WCL27,3d_reward_qchosen_rpeabs_qdiff,side_in,0.07179301401283629,0.04405843507351315,720
WCL28,1_main_effects,side_in,0.011584732284046528,0.023498392983770176,683
WCL28,1b_plus_side_out,side_in,0.011584732284046528,0.023498392983770176,683
WCL28,1b_plus_side_out,side_out,0.04882832868773155,0.04146434721531426,950
WCL28,2_2bit_seq,side_in,0.036485206383939726,0.04137707571559628,683
WCL28,2_3bit_seq,side_in,0.055349228248301595,0.03226582106446939,683
WCL28,2b_word_l1,side_in,0.011584732284045862,0.023498392983769666,683
WCL28,2b_word_l2,side_in,0.007384074096544439,0.01989890008727402,683
WCL28,2b_word_l3,side_in,0.008228017261131482,0.01743853855119165,683
WCL28,2c_word_l1_side_out,side_in,0.011584732284045862,0.023498392983769666,683
WCL28,2c_word_l1_side_out,side_out,0.04882832868773117,0.04146434721531385,950
WCL28,2c_word_l2_side_out,side_in,0.007384074096544439,0.01989890008727402,683
WCL28,2c_word_l2_side_out,side_out,0.13367027027645006,0.08272165510006702,950
WCL28,2c_word_l3_side_out,side_in,0.008228017261131482,0.01743853855119165,683
WCL28,2c_word_l3_side_out,side_out,0.14927935742498688,0.0,950
WCL28,3_qdiff_rpe,side_in,0.009154379405321733,0.04547644857912387,683
WCL28,3b_reward_qdiff,side_in,0.0010006781781938257,0.042939121561813384,683
WCL28,3c_reward_qchosen_qdiff,side_in,0.0009270272141818081,0.046628421367868135,683
WCL28,3d_reward_qchosen_rpeabs_qdiff,side_in,0.009412460337625161,0.039643865694171235,683
WCL29,1_main_effects,side_in,-0.023128491468824564,0.017669924394409668,715
WCL29,1b_plus_side_out,side_in,-0.023128491468824564,0.017669924394409668,715
WCL29,1b_plus_side_out,side_out,0.07902621336634827,0.05216479097003805,913
WCL29,2_2bit_seq,side_in,0.018610748515107422,0.05263332268465132,715
WCL29,2_3bit_seq,side_in,0.026599539556934615,0.06250812303439092,715
WCL29,2b_word_l1,side_in,-0.023128491468825185,0.017669924394409838,715
WCL29,2b_word_l2,side_in,-0.024677677368160327,0.034933906116127504,715
WCL29,2b_word_l3,side_in,-0.019612540886928802,0.09415795744683839,715
WCL29,2c_word_l1_side_out,side_in,-0.023128491468825185,0.017669924394409838,715
WCL29,2c_word_l1_side_out,side_out,0.07902621336634794,0.052164790970038524,913
WCL29,2c_word_l2_side_out,side_in,-0.024677677368160327,0.034933906116127504,715
WCL29,2c_word_l2_side_out,side_out,0.1135618898661647,0.040147040274442956,913
WCL29,2c_word_l3_side_out,side_in,-0.019612540886928802,0.09415795744683839,715
