mouse,model,event,r2_mean,r2_std,n_trials
WCL23,1_main_effects,side_in,0.007944566287335508,0.009982484443564773,1925
WCL23,1b_plus_side_out,side_in,0.007944566287335508,0.009982484443564773,1925
WCL23,1b_plus_side_out,side_out,0.06711179553979667,0.012480239629974953,2605
WCL23,2_2bit_seq,side_in,0.04370754662413088,0.008936015452678515,1925
WCL23,2_3bit_seq,side_in,0.05115556224794619,0.011808131230209585,1925
WCL23,2b_word_l1,side_in,0.007944566287335553,0.00998248444356507,1925
WCL23,2b_word_l2,side_in,0.003537465456123906,0.01749399065545629,1925
WCL23,2b_word_l3,side_in,,,1925
WCL23,2c_word_l1_side_out,side_in,0.007944566287335553,0.00998248444356507,1925
WCL23,2c_word_l1_side_out,side_out,0.06711179553979738,0.012480239629974287,2605
WCL23,2c_word_l2_side_out,side_in,0.003537465456123906,0.01749399065545629,1925
WCL23,2c_word_l2_side_out,side_out,0.16302189734119174,0.02509107684969591,2605
WCL23,2c_word_l3_side_out,side_in,,,1925
WCL23,2c_word_l3_side_out,side_out,0.1978471578329256,0.0,2605
WCL23,3_qdiff_rpe,side_in,-0.0021283473798453744,0.00942511386272996,1925
WCL23,3b_reward_qdiff,side_in,0.004917083818483059,0.014551962583150705,1925
WCL23,3c_reward_qchosen_qdiff,side_in,0.005353584719835514,0.014740532740728339,1925
WCL23,3d_reward_qchosen_rpeabs_qdiff,side_in,0.0037694725752861922,0.013777980547591476,1925
WCL24,1_main_effects,side_in,-0.0025824709285671823,0.0029230487887567103,1995
WCL24,1b_plus_side_out,side_in,-0.0025824709285671823,0.0029230487887567103,1995
WCL24,1b_plus_side_out,side_out,0.07433851450779094,0.019008070284586908,2829
WCL24,2_2bit_seq,side_in,0.028702426660678192,0.01973606519172111,1995
WCL24,2_3bit_seq,side_in,0.05476681540174109,0.026701557050008592,1995
WCL24,2b_word_l1,side_in,-0.0025824709285672486,0.002923048788756648,1995
WCL24,2b_word_l2,side_in,-0.000737602363857263,0.010244884283510801,1995
WCL24,2b_word_l3,side_in,,,1995
WCL24,2c_word_l1_side_out,side_in,-0.0025824709285672486,0.002923048788756648,1995
WCL24,2c_word_l1_side_out,side_out,0.07433851450779086,0.019008070284586957,2829
WCL24,2c_word_l2_side_out,side_in,-0.000737602363857263,0.010244884283510801,1995
WCL24,2c_word_l2_side_out,side_out,0.135180415915095,0.018859510362641052,2829
WCL24,2c_word_l3_side_out,side_in,,,1995
WCL24,2c_word_l3_side_out,side_out,0.16270062152921239,0.020827688038119085,2829
WCL24,3_qdiff_rpe,side_in,-0.001335341103048715,0.00625921781099488,1995
WCL24,3b_reward_qdiff,side_in,-0.0010220882911488927,0.00876178877791784,1995
WCL24,3c_reward_qchosen_qdiff,side_in,-0.0019344892552967563,0.010486781294135206,1995
WCL24,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.0028655602451810756,0.010053925722486456,1995
WCL25,1_main_effects,side_in,-0.005597926143614184,0.008372318665664963,610
WCL25,1b_plus_side_out,side_in,-0.005597926143614184,0.008372318665664963,610
WCL25,1b_plus_side_out,side_out,0.003431615819053624,0.01446069947832936,885
WCL25,2_2bit_seq,side_in,0.034694601629160535,0.03276695330803802,610
WCL25,2_3bit_seq,side_in,0.026436961419025053,0.03589279467556136,610
WCL25,2b_word_l1,side_in,-0.00559792614361383,0.008372318665664607,610
WCL25,2b_word_l2,side_in,0.006276149901975225,0.001720969648019155,610
WCL25,2b_word_l3,side_in,,,610
WCL25,2c_word_l1_side_out,side_in,-0.00559792614361383,0.008372318665664607,610
WCL25,2c_word_l1_side_out,side_out,0.0034316158190535796,0.014460699478329328,885
WCL25,2c_word_l2_side_out,side_in,0.006276149901975225,0.001720969648019155,610
WCL25,2c_word_l2_side_out,side_out,0.0822589650674633,0.06545552401247338,885
WCL25,2c_word_l3_side_out,side_in,,,610
WCL25,2c_word_l3_side_out,side_out,0.14276978496931447,0.0,885
WCL25,3_qdiff_rpe,side_in,-0.01696845457245235,0.01800595419093639,610
WCL25,3b_reward_qdiff,side_in,-0.013886035703814859,0.02145839066038901,610
WCL25,3c_reward_qchosen_qdiff,side_in,-0.01425033689493862,0.02058617371512491,610
WCL25,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.013157781470131335,0.022167820969714695,610
WCL26,1_main_effects,side_in,-0.02866163458257298,0.019670449914019162,527
WCL26,1b_plus_side_out,side_in,-0.02866163458257298,0.019670449914019162,527
WCL26,1b_plus_side_out,side_out,0.06834323308218797,0.0433223692967228,735
WCL26,2_2bit_seq,side_in,-0.013731467205381476,0.008664330204884581,527
WCL26,2_3bit_seq,side_in,-0.02701110237895312,0.011038674547633283,527
WCL26,2b_word_l1,side_in,-0.02866163458257298,0.019670449914019165,527
WCL26,2b_word_l2,side_in,-0.04781509364871139,0.0,527
WCL26,2b_word_l3,side_in,-0.08753942773513113,0.0,527
WCL26,2c_word_l1_side_out,side_in,-0.02866163458257298,0.019670449914019165,527
WCL26,2c_word_l1_side_out,side_out,0.06834323308218797,0.0433223692967227,735
WCL26,2c_word_l2_side_out,side_in,-0.04781509364871139,0.0,527
WCL26,2c_word_l2_side_out,side_out,0.15447194427881866,0.06336744723697942,735
WCL26,2c_word_l3_side_out,side_in,-0.08753942773513113,0.0,527
WCL26,2c_word_l3_side_out,side_out,,,735
WCL26,3_qdiff_rpe,side_in,-0.02544166434025752,0.03765651122925718,527
WCL26,3b_reward_qdiff,side_in,-0.026286438407915225,0.03769942903561788,527
WCL26,3c_reward_qchosen_qdiff,side_in,-0.029980965660200032,0.03738440299791889,527
WCL26,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.02781276596148119,0.032252137228329446,527
WCL27,1_main_effects,side_in,0.02696750625020472,0.012833758409899086,2249
WCL27,1b_plus_side_out,side_in,0.02696750625020472,0.012833758409899086,2249
WCL27,1b_plus_side_out,side_out,0.18688953772121844,0.01906947672505362,2998
WCL27,2_2bit_seq,side_in,0.09041856743812227,0.014154919237447256,2249
WCL27,2_3bit_seq,side_in,0.10968386832089685,0.018901667390978653,2249
WCL27,2b_word_l1,side_in,0.026967506250204477,0.01283375840989918,2249
WCL27,2b_word_l2,side_in,0.0631769940066535,0.03154497155633786,2249
WCL27,2b_word_l3,side_in,0.130429884868016,0.0,2249
WCL27,2c_word_l1_side_out,side_in,0.026967506250204477,0.01283375840989918,2249
WCL27,2c_word_l1_side_out,side_out,0.18688953772121789,0.019069476725053696,2998
WCL27,2c_word_l2_side_out,side_in,0.0631769940066535,0.03154497155633786,2249
WCL27,2c_word_l2_side_out,side_out,0.30304382513596256,0.0394761114893459,2998
WCL27,2c_word_l3_side_out,side_in,0.130429884868016,0.0,2249
WCL27,2c_word_l3_side_out,side_out,0.352805297880324,0.05453731172089102,2998
WCL27,3_qdiff_rpe,side_in,0.04717808202112221,0.01623262360328219,2249
WCL27,3b_reward_qdiff,side_in,0.05496445257548817,0.014184156271058748,2249
WCL27,3c_reward_qchosen_qdiff,side_in,0.055017835209713685,0.016781119721854604,2249
WCL27,3d_reward_qchosen_rpeabs_qdiff,side_in,0.059623676288379876,0.02050001756717292,2249
WCL28,1_main_effects,side_in,-0.005589134497695003,0.015431015213206958,1343
WCL28,1b_plus_side_out,side_in,-0.005589134497695003,0.015431015213206958,1343
WCL28,1b_plus_side_out,side_out,0.07188163968790987,0.04074515961364234,1817
WCL28,2_2bit_seq,side_in,0.027410639738500997,0.017137156746773706,1343
WCL28,2_3bit_seq,side_in,0.04286247037143194,0.021739493052129393,1343
WCL28,2b_word_l1,side_in,-0.005589134497694714,0.01543101521320699,1343
WCL28,2b_word_l2,side_in,-0.06623662601176472,0.07468925622258106,1343
WCL28,2b_word_l3,side_in,,,1343
WCL28,2c_word_l1_side_out,side_in,-0.005589134497694714,0.01543101521320699,1343
WCL28,2c_word_l1_side_out,side_out,0.07188163968791009,0.04074515961364183,1817
WCL28,2c_word_l2_side_out,side_in,-0.06623662601176472,0.07468925622258106,1343
WCL28,2c_word_l2_side_out,side_out,0.13793551128393888,0.04320253928229516,1817
WCL28,2c_word_l3_side_out,side_in,,,1343
WCL28,2c_word_l3_side_out,side_out,0.21872142176927667,0.0,1817
WCL28,3_qdiff_rpe,side_in,-0.008744042745994718,0.011567726806195694,1343
WCL28,3b_reward_qdiff,side_in,-0.007834225114241233,0.018186479068515796,1343
WCL28,3c_reward_qchosen_qdiff,side_in,-0.00601920973456731,0.015570353704474143,1343
WCL28,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.028316004036348753,0.0309634198962003,1343
WCL29,1_main_effects,side_in,-0.0038054322838472652,0.0025012988178501915,2707
WCL29,1b_plus_side_out,side_in,-0.0038054322838472652,0.0025012988178501915,2707
WCL29,1b_plus_side_out,side_out,0.04472581076751261,0.021354509753562297,3592
WCL29,2_2bit_seq,side_in,0.014868191684555577,0.009069477252168619,2707
WCL29,2_3bit_seq,side_in,0.018609373197791323,0.011172517574613156,2707
WCL29,2b_word_l1,side_in,-0.003805432283847088,0.0025012988178505107,2707
WCL29,2b_word_l2,side_in,-0.009218233333037461,0.005683514200243156,2707
WCL29,2b_word_l3,side_in,,,2707
WCL29,2c_word_l1_side_out,side_in,-0.003805432283847088,0.0025012988178505107,2707
WCL29,2c_word_l1_side_out,side_out,0.04472581076751299,0.021354509753561537,3592
WCL29,2c_word_l2_side_out,side_in,-0.009218233333037461,0.005683514200243156,2707
WCL29,2c_word_l2_side_out,side_out,0.08681367880163286,0.024106727511603847,3592
WCL29,2c_word_l3_side_out,side_in,,,2707
WCL29,2c_word_l3_side_out,side_out,0.11213319592215709,0.0,3592
WCL29,3_qdiff_rpe,side_in,-0.004699489174178973,0.003927994420895975,2707
WCL29,3b_reward_qdiff,side_in,-0.005073605415303684,0.0033471944809421615,2707
WCL29,3c_reward_qchosen_qdiff,side_in,-0.0048735037394291416,0.0037854465608918343,2707
WCL29,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.0058326223956707505,0.004290070191970524,2707
