mouse,model,event,r2_mean,r2_std,n_trials
WCL23,1_main_effects,side_in,0.04467743023841784,0.005496472272644236,4680
WCL23,1b_plus_side_out,side_in,0.04467743023841784,0.005496472272644236,4680
WCL23,1b_plus_side_out,side_out,0.04553030154274311,0.013943039558543138,4680
WCL23,2_2bit_seq,side_in,0.027172360187421106,0.0073613935337269575,4680
WCL23,2_3bit_seq,side_in,0.031701910660462886,0.008242271189747314,4680
WCL23,2b_word_l1,side_in,0.044677430238417616,0.005496472272644692,4680
WCL23,2b_word_l2,side_in,0.0645986278929785,0.007768130471381722,4680
WCL23,2b_word_l3,side_in,0.09076811335373942,0.018464789738806674,4680
WCL23,2c_word_l1_side_out,side_in,0.044677430238417616,0.005496472272644692,4680
WCL23,2c_word_l1_side_out,side_out,0.04553030154274327,0.013943039558543056,4680
WCL23,2c_word_l2_side_out,side_in,0.0645986278929785,0.007768130471381722,4680
WCL23,2c_word_l2_side_out,side_out,0.12646601862762386,0.013632020629691505,4680
WCL23,2c_word_l3_side_out,side_in,0.09076811335373942,0.018464789738806674,4680
WCL23,2c_word_l3_side_out,side_out,0.15502535889404948,0.015410720936679183,4680
WCL23,3_qdiff_rpe,side_in,0.039913342408349387,0.01220198846861719,4680
WCL23,3b_reward_qdiff,side_in,0.0512960366847238,0.007485229173695458,4680
WCL23,3c_reward_qchosen_qdiff,side_in,0.050883648473838104,0.007917736663896347,4680
WCL23,3d_reward_qchosen_rpeabs_qdiff,side_in,0.06929539925321171,0.01174848418799135,4680
WCL24,1_main_effects,side_in,0.040812707984663965,0.01359890925385571,4991
WCL24,1b_plus_side_out,side_in,0.040812707984663965,0.01359890925385571,4991
WCL24,1b_plus_side_out,side_out,0.1019674386422051,0.020062325968221932,4991
WCL24,2_2bit_seq,side_in,0.04627677985899177,0.014068647450521355,4991
WCL24,2_3bit_seq,side_in,0.05474821496591949,0.016262763842320768,4991
WCL24,2b_word_l1,side_in,0.04081270798466381,0.013598909253854508,4991
WCL24,2b_word_l2,side_in,0.06029167219254818,0.02182960873608018,4991
WCL24,2b_word_l3,side_in,0.09975570470216366,0.028764920336974795,4991
WCL24,2c_word_l1_side_out,side_in,0.04081270798466381,0.013598909253854508,4991
WCL24,2c_word_l1_side_out,side_out,0.10196743864220563,0.02006232596822082,4991
WCL24,2c_word_l2_side_out,side_in,0.06029167219254818,0.02182960873608018,4991
WCL24,2c_word_l2_side_out,side_out,0.13212404301030306,0.015523641083593222,4991
WCL24,2c_word_l3_side_out,side_in,0.09975570470216366,0.028764920336974795,4991
WCL24,2c_word_l3_side_out,side_out,0.1806836265481566,0.011934352508287022,4991
WCL24,3_qdiff_rpe,side_in,0.0263291182692424,0.009215056721444154,4991
WCL24,3b_reward_qdiff,side_in,0.046549833503596136,0.0143426171179953,4991
WCL24,3c_reward_qchosen_qdiff,side_in,0.047476912749734,0.01477383703320775,4991
WCL24,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05970059963088505,0.014168028056884892,4991
WCL27,1_main_effects,side_in,0.06740271138382639,0.016255874009614885,3706
