mouse,model,event,r2_mean,r2_std,n_trials
WCL23,1_main_effects,side_in,0.0008643038927115931,0.004347679736100388,3712
WCL23,1b_plus_side_out,side_in,0.0008643038927115931,0.004347679736100388,3712
WCL23,1b_plus_side_out,side_out,0.04553030154274311,0.013943039558543138,4680
WCL23,2_2bit_seq,side_in,0.030997995969414927,0.013455413730077049,3712
WCL23,2_3bit_seq,side_in,0.03145538624086861,0.01871411593019993,3712
WCL23,2b_word_l1,side_in,0.0008643038927116153,0.004347679736100401,3712
WCL23,2b_word_l2,side_in,0.017849231493703967,0.009529506829873404,3712
WCL23,2b_word_l3,side_in,,,3712
WCL23,2c_word_l1_side_out,side_in,0.0008643038927116153,0.004347679736100401,3712
WCL23,2c_word_l1_side_out,side_out,0.04553030154274327,0.013943039558543056,4680
WCL23,2c_word_l2_side_out,side_in,0.017849231493703967,0.009529506829873404,3712
WCL23,2c_word_l2_side_out,side_out,0.12646601862762386,0.013632020629691505,4680
WCL23,2c_word_l3_side_out,side_in,,,3712
WCL23,2c_word_l3_side_out,side_out,0.15502535889404948,0.015410720936679183,4680
WCL23,3_qdiff_rpe,side_in,0.004670975926029208,0.004164846153246353,3712
WCL23,3b_reward_qdiff,side_in,0.005785109843161362,0.007937439577394343,3712
WCL23,3c_reward_qchosen_qdiff,side_in,0.005222235204895065,0.008872715366746426,3712
WCL23,3d_reward_qchosen_rpeabs_qdiff,side_in,0.014686591088516355,0.009071032309821083,3712
WCL24,1_main_effects,side_in,0.0014284323042190517,0.012678522208313338,3830
WCL24,1b_plus_side_out,side_in,0.0014284323042190517,0.012678522208313338,3830
WCL24,1b_plus_side_out,side_out,0.1019674386422051,0.020062325968221932,4991
WCL24,2_2bit_seq,side_in,0.05220111688878517,0.008666824828825935,3830
WCL24,2_3bit_seq,side_in,0.06144183618604402,0.009284284805524097,3830
WCL24,2b_word_l1,side_in,0.0014284323042194514,0.012678522208312726,3830
WCL24,2b_word_l2,side_in,0.0005444799749727113,0.01556740948190532,3830
WCL24,2b_word_l3,side_in,0.06830965924495536,0.0,3830
WCL24,2c_word_l1_side_out,side_in,0.0014284323042194514,0.012678522208312726,3830
WCL24,2c_word_l1_side_out,side_out,0.10196743864220563,0.02006232596822082,4991
WCL24,2c_word_l2_side_out,side_in,0.0005444799749727113,0.01556740948190532,3830
WCL24,2c_word_l2_side_out,side_out,0.13212404301030306,0.015523641083593222,4991
WCL24,2c_word_l3_side_out,side_in,0.06830965924495536,0.0,3830
WCL24,2c_word_l3_side_out,side_out,0.1806836265481566,0.011934352508287022,4991
WCL24,3_qdiff_rpe,side_in,0.011466759414059969,0.0060762852072057,3830
WCL24,3b_reward_qdiff,side_in,0.012533916478054529,0.005495950130046474,3830
WCL24,3c_reward_qchosen_qdiff,side_in,0.020997594857234382,0.013580607530145379,3830
WCL24,3d_reward_qchosen_rpeabs_qdiff,side_in,0.0214255111226614,0.013955061314815016,3830
WCL27,1_main_effects,side_in,0.03784682607060126,0.019812267964878692,2914
WCL27,1b_plus_side_out,side_in,0.03784682607060126,0.019812267964878692,2914
WCL27,1b_plus_side_out,side_out,0.1496807443998557,0.02188064334914726,3706
WCL27,2_2bit_seq,side_in,0.08166920118496716,0.016028432086131746,2914
WCL27,2_3bit_seq,side_in,0.09407045008658652,0.01836097445842996,2914
WCL27,2b_word_l1,side_in,0.03784682607060175,0.019812267964878724,2914
WCL27,2b_word_l2,side_in,0.0580529072203812,0.00903714838902633,2914
WCL27,2b_word_l3,side_in,,,2914
WCL27,2c_word_l1_side_out,side_in,0.03784682607060175,0.019812267964878724,2914
WCL27,2c_word_l1_side_out,side_out,0.1496807443998574,0.021880643349144815,3706
WCL27,2c_word_l2_side_out,side_in,0.0580529072203812,0.00903714838902633,2914
WCL27,2c_word_l2_side_out,side_out,0.26336184524131473,0.030258290389378575,3706
WCL27,2c_word_l3_side_out,side_in,,,2914
WCL27,2c_word_l3_side_out,side_out,0.34114300493802696,0.04970714723664538,3706
WCL27,3_qdiff_rpe,side_in,0.04847773512013147,0.015087176097135495,2914
WCL27,3b_reward_qdiff,side_in,0.05917868089118061,0.016276813292347668,2914
WCL27,3c_reward_qchosen_qdiff,side_in,0.05982039453467507,0.015767123043278607,2914
WCL27,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05894584727214112,0.01898568269129331,2914
WCL28,1_main_effects,side_in,0.014090933731869093,0.020093256936307893,1835
WCL28,1b_plus_side_out,side_in,0.014090933731869093,0.020093256936307893,1835
WCL28,1b_plus_side_out,side_out,0.13330859359936603,0.026889935048180623,2399
WCL28,2_2bit_seq,side_in,0.05869536620833615,0.026776384440280184,1835
WCL28,2_3bit_seq,side_in,0.06013780779822171,0.016818884646303423,1835
WCL28,2b_word_l1,side_in,0.014090933731869048,0.020093256936307865,1835
WCL28,2b_word_l2,side_in,0.02865484136192928,0.040612831018469346,1835
WCL28,2b_word_l3,side_in,,,1835
WCL28,2c_word_l1_side_out,side_in,0.014090933731869048,0.020093256936307865,1835
WCL28,2c_word_l1_side_out,side_out,0.13330859359936637,0.026889935048179988,2399
WCL28,2c_word_l2_side_out,side_in,0.02865484136192928,0.040612831018469346,1835
WCL28,2c_word_l2_side_out,side_out,0.15536382748865427,0.034041464684848304,2399
WCL28,2c_word_l3_side_out,side_in,,,1835
WCL28,2c_word_l3_side_out,side_out,,,2399
WCL28,3_qdiff_rpe,side_in,0.024132854735592325,0.021263964337886916,1835
WCL28,3b_reward_qdiff,side_in,0.02412778877454922,0.02741740010457507,1835
WCL28,3c_reward_qchosen_qdiff,side_in,0.03147067430957209,0.02950829574755733,1835
WCL28,3d_reward_qchosen_rpeabs_qdiff,side_in,0.02688602254666752,0.032538507243038445,1835
WCL29,1_main_effects,side_in,-1.6504407190343072e-05,0.010918065871616976,2621
WCL29,1b_plus_side_out,side_in,-1.6504407190343072e-05,0.010918065871616976,2621
WCL29,1b_plus_side_out,side_out,0.05331889571578532,0.014561813219806811,3351
WCL29,2_2bit_seq,side_in,0.009880091273242431,0.010125192730313077,2621
WCL29,2_3bit_seq,side_in,0.010460180000389573,0.009903128370572892,2621
WCL29,2b_word_l1,side_in,-1.6504407190365278e-05,0.010918065871617156,2621
WCL29,2b_word_l2,side_in,-0.0031206467337826726,0.009677548076724364,2621
WCL29,2b_word_l3,side_in,0.05187581063380353,0.0,2621
WCL29,2c_word_l1_side_out,side_in,-1.6504407190365278e-05,0.010918065871617156,2621
WCL29,2c_word_l1_side_out,side_out,0.05331889571578543,0.014561813219806558,3351
WCL29,2c_word_l2_side_out,side_in,-0.0031206467337826726,0.009677548076724364,2621
WCL29,2c_word_l2_side_out,side_out,0.13321274370841835,0.038340090715044295,3351
WCL29,2c_word_l3_side_out,side_in,0.05187581063380353,0.0,2621
WCL29,2c_word_l3_side_out,side_out,0.22365812546063335,0.0,3351
WCL29,3_qdiff_rpe,side_in,-0.0013049762983614378,0.004024746019302101,2621
WCL29,3b_reward_qdiff,side_in,0.00014210968011947324,0.009449914753273754,2621
WCL29,3c_reward_qchosen_qdiff,side_in,-0.0005800723854385125,0.009941024998202768,2621
WCL29,3d_reward_qchosen_rpeabs_qdiff,side_in,0.0005727620576131854,0.009387640566512557,2621
