mouse,model,event,r2_mean,r2_std,n_trials
WCL30,1_main_effects,side_in,0.14328167491787888,0.009482875583479013,2414
WCL30,1b_plus_side_out,side_in,0.14328167491787888,0.009482875583479013,2414
WCL30,1b_plus_side_out,side_out,0.008383017840885753,0.009332465311663379,2414
WCL30,2_2bit_seq,side_in,0.10007407137677689,0.011766552192312629,2414
WCL30,2_3bit_seq,side_in,0.11039601031437123,0.009589449226906547,2414
WCL30,2b_word_l1,side_in,0.1432816749178789,0.00948287558347874,2414
WCL30,2b_word_l2,side_in,0.2767245471942135,0.021573075942195773,2414
WCL30,2b_word_l3,side_in,0.32620094808077305,0.016015504836179306,2414
WCL30,2c_word_l1_side_out,side_in,0.1432816749178789,0.00948287558347874,2414
WCL30,2c_word_l1_side_out,side_out,0.008383017840885753,0.009332465311663343,2414
WCL30,2c_word_l2_side_out,side_in,0.2767245471942135,0.021573075942195773,2414
WCL30,2c_word_l2_side_out,side_out,0.1969734564453187,0.012453987942399937,2414
WCL30,2c_word_l3_side_out,side_in,0.32620094808077305,0.016015504836179306,2414
WCL30,2c_word_l3_side_out,side_out,0.2336665566751377,0.006187968790823173,2414
WCL30,3_qdiff_rpe,side_in,0.24400120921799884,0.023020308634779326,2414
WCL30,3b_reward_qdiff,side_in,0.18511308496966983,0.01194321639658674,2414
WCL30,3c_reward_qchosen_qdiff,side_in,0.2482611438095578,0.021580816075146222,2414
WCL30,3d_reward_qchosen_rpeabs_qdiff,side_in,0.2498823550112915,0.021301064238707243,2414
WCL31,1_main_effects,side_in,0.035215361750562946,0.011692935619948809,3026
WCL31,1b_plus_side_out,side_in,0.035215361750562946,0.011692935619948809,3026
WCL31,1b_plus_side_out,side_out,0.08895694939985044,0.012443515042943215,3026
WCL31,2_2bit_seq,side_in,0.041093351544302714,0.028418982915631153,3026
WCL31,2_3bit_seq,side_in,0.05499669883814573,0.02121712237181094,3026
WCL31,2b_word_l1,side_in,0.035215361750563015,0.01169293561994926,3026
WCL31,2b_word_l2,side_in,0.0638986025176024,0.021062235073398963,3026
WCL31,2b_word_l3,side_in,0.11135358831219466,0.031126311033707,3026
WCL31,2c_word_l1_side_out,side_in,0.035215361750563015,0.01169293561994926,3026
WCL31,2c_word_l1_side_out,side_out,0.08895694939985024,0.012443515042944022,3026
WCL31,2c_word_l2_side_out,side_in,0.0638986025176024,0.021062235073398963,3026
WCL31,2c_word_l2_side_out,side_out,0.18089467910721557,0.030048089118299474,3026
WCL31,2c_word_l3_side_out,side_in,0.11135358831219466,0.031126311033707,3026
WCL31,2c_word_l3_side_out,side_out,0.23406023722853853,0.03809936652604218,3026
WCL31,3_qdiff_rpe,side_in,0.03397606847237824,0.01780440857108076,3026
WCL31,3b_reward_qdiff,side_in,0.04339728363371411,0.008949416076704448,3026
WCL31,3c_reward_qchosen_qdiff,side_in,0.04257084081108085,0.012060352606748313,3026
WCL31,3d_reward_qchosen_rpeabs_qdiff,side_in,0.06424016367869256,0.020403532606969137,3026
WCL32,1_main_effects,side_in,0.04821610375381924,0.018777077772755214,2216
WCL32,1b_plus_side_out,side_in,0.04821610375381924,0.018777077772755214,2216
WCL32,1b_plus_side_out,side_out,0.03848546757071016,0.007554330860813412,2216
WCL32,2_2bit_seq,side_in,0.052527611240126504,0.02396293250305545,2216
WCL32,2_3bit_seq,side_in,0.07224265185039751,0.017308606421322443,2216
WCL32,2b_word_l1,side_in,0.048216103753819614,0.018777077772755457,2216
WCL32,2b_word_l2,side_in,0.08169532717346191,0.013356248692149115,2216
WCL32,2b_word_l3,side_in,0.11421017967828632,0.04224430830430574,2216
WCL32,2c_word_l1_side_out,side_in,0.048216103753819614,0.018777077772755457,2216
WCL32,2c_word_l1_side_out,side_out,0.038485467570710384,0.007554330860813763,2216
WCL32,2c_word_l2_side_out,side_in,0.08169532717346191,0.013356248692149115,2216
WCL32,2c_word_l2_side_out,side_out,0.19854764059279256,0.04181804405415441,2216
WCL32,2c_word_l3_side_out,side_in,0.11421017967828632,0.04224430830430574,2216
WCL32,2c_word_l3_side_out,side_out,0.2226026111844099,0.01545036442391214,2216
WCL32,3_qdiff_rpe,side_in,0.07325894784971335,0.017523130009441765,2216
WCL32,3b_reward_qdiff,side_in,0.06544766476848698,0.012613008308708425,2216
WCL32,3c_reward_qchosen_qdiff,side_in,0.07567338179278324,0.016234490254833027,2216
