mouse,model,r2_mean,r2_std,n_samples_fit
WCL30,1_main_effects,0.1429404165861139,0.010222540522541273,90946
WCL30,1b_plus_side_out,0.2575242521920269,0.012214882520121505,114107
WCL30,2_2bit_seq,0.2177966138668884,0.025572275778286732,90946
WCL30,2_3bit_seq,0.21767273541970705,0.023793586677517305,90946
WCL30,2b_word_l1,0.14295547859167795,0.010287522551032787,90946
WCL30,2b_word_l2,0.292227893300698,0.028317492762130154,90946
WCL30,2b_word_l3,0.3003284323309912,0.022279272835249955,90946
WCL30,2c_word_l1_side_out,0.27995251815088285,0.013116661107975216,114107
WCL30,2c_word_l2_side_out,0.3504041507924868,0.021578563553470688,114107
WCL30,2c_word_l3_side_out,0.3525918715871043,0.020999153253769907,114107
WCL30,3_qdiff_rpe,0.19300379770235512,0.01609304318461114,90946
WCL30,3b_reward_qdiff,0.20861750526005335,0.016286867241366375,90946
WCL30,3c_reward_qchosen_qdiff,0.27027774140831284,0.023935677337927796,90946
WCL30,3d_reward_qchosen_rpeabs_qdiff,0.26947803795443587,0.023804543141776064,90946
WCL31,1_main_effects,0.02736350891401147,0.00859074096619609,114783
WCL31,1b_plus_side_out,0.08713065369000055,0.011408177390341568,145734
WCL31,2_2bit_seq,0.19046662413753945,0.02259718492401587,114783
WCL31,2_3bit_seq,0.19289670629927297,0.0239950823646886,114783
WCL31,2b_word_l1,0.027128460770441308,0.008270884579321304,114783
WCL31,2b_word_l2,0.20844961808528475,0.01913598194035663,114783
WCL31,2b_word_l3,0.23155745210159967,0.019078114888360007,114783
WCL31,2c_word_l1_side_out,0.10886528850577107,0.01268614687450542,145734
WCL31,2c_word_l2_side_out,0.2012486324332114,0.01714046663834612,145734
WCL31,2c_word_l3_side_out,0.21714836212352662,0.01785567523387157,145734
WCL31,3_qdiff_rpe,0.14342685959141405,0.016984561122279515,114783
WCL31,3b_reward_qdiff,0.12668104494609278,0.023763867059995742,114783
WCL31,3c_reward_qchosen_qdiff,0.19888917987819377,0.023136311895819908,114783
WCL31,3d_reward_qchosen_rpeabs_qdiff,0.2102938828067181,0.022062304738895526,114783
WCL32,1_main_effects,0.08444032120766723,0.016996946891721203,83111
WCL32,1b_plus_side_out,0.1650746023905377,0.015157947815012276,98848
WCL32,2_2bit_seq,0.22970564302240373,0.023935489104312486,83111
WCL32,2_3bit_seq,0.23036206502833806,0.02294340214588904,83111
WCL32,2b_word_l1,0.08454945803448978,0.016753547408052846,83111
WCL32,2b_word_l2,0.254647674479982,0.019135629728157005,83111
WCL32,2b_word_l3,0.2727624653992885,0.011792679800925332,83111
WCL32,2c_word_l1_side_out,0.18771741964652358,0.01705368690594825,98848
WCL32,2c_word_l2_side_out,0.265658820355825,0.024390868260497075,98848
WCL32,2c_word_l3_side_out,0.2788865296118496,0.021574299713474195,98848
WCL32,3_qdiff_rpe,0.1693629784628831,0.030996967053137627,83111
WCL32,3b_reward_qdiff,0.1781738393892604,0.030632515694701896,83111
WCL32,3c_reward_qchosen_qdiff,0.25379387479869436,0.018111640745019877,83111
WCL32,3d_reward_qchosen_rpeabs_qdiff,0.25829311970475394,0.017212298320616902,83111
WCL33,1_main_effects,0.11086220047748477,0.006077941847429436,121618
WCL33,1b_plus_side_out,0.22569692463074859,0.011871191888407972,164920
WCL33,2_2bit_seq,0.20808844815163807,0.016733234841742186,121618
WCL33,2_3bit_seq,0.20866468088616869,0.01813835872301043,121618
WCL33,2b_word_l1,0.11081365336605273,0.006027587145168455,121618
WCL33,2b_word_l2,0.2531954850039288,0.020343036075094346,121618
WCL33,2b_word_l3,0.26491393387166823,0.01875914377185159,121618
WCL33,2c_word_l1_side_out,0.25111354460314816,0.013132989163873529,164920
WCL33,2c_word_l2_side_out,0.3029060308034953,0.01792505224508824,164920
WCL33,2c_word_l3_side_out,0.3081209453075567,0.015496337241414365,164920
WCL33,3_qdiff_rpe,0.17453154056079306,0.009737796186957132,121618
WCL33,3b_reward_qdiff,0.18072853821985202,0.008345195069018992,121618
WCL33,3c_reward_qchosen_qdiff,0.23709069199920801,0.01002549996981223,121618
WCL33,3d_reward_qchosen_rpeabs_qdiff,0.24133140059002392,0.013246766582083718,121618
