mouse,model,event,r2_mean,r2_std,n_trials
WCL30,1_main_effects,side_in,0.05512391154508689,0.020871319650670628,1720
WCL30,1b_plus_side_out,side_in,0.05512391154508689,0.020871319650670628,1720
WCL30,1b_plus_side_out,side_out,0.008383017840885753,0.009332465311663379,2414
WCL30,2_2bit_seq,side_in,0.2308516326185849,0.025838260058862063,1720
WCL30,2_3bit_seq,side_in,0.2454910007758741,0.028312360990946077,1720
WCL30,2b_word_l1,side_in,0.05512391154508656,0.020871319650670545,1720
WCL30,2b_word_l2,side_in,0.1955717209662532,0.010387577911767204,1720
WCL30,2b_word_l3,side_in,0.23858278327102056,0.0,1720
WCL30,2c_word_l1_side_out,side_in,0.05512391154508656,0.020871319650670545,1720
WCL30,2c_word_l1_side_out,side_out,0.008383017840885753,0.009332465311663343,2414
WCL30,2c_word_l2_side_out,side_in,0.1955717209662532,0.010387577911767204,1720
WCL30,2c_word_l2_side_out,side_out,0.1969734564453187,0.012453987942399937,2414
WCL30,2c_word_l3_side_out,side_in,0.23858278327102056,0.0,1720
WCL30,2c_word_l3_side_out,side_out,0.2336665566751377,0.006187968790823173,2414
WCL30,3_qdiff_rpe,side_in,0.15316332851804842,0.0384790008980925,1720
WCL30,3b_reward_qdiff,side_in,0.10610762114204217,0.03541725227643938,1720
WCL30,3c_reward_qchosen_qdiff,side_in,0.15164309058945388,0.03930181021582373,1720
WCL30,3d_reward_qchosen_rpeabs_qdiff,side_in,0.1564940725256051,0.04261452667438255,1720
WCL31,1_main_effects,side_in,-5.637496708088552e-05,0.004603603197450399,2245
WCL31,1b_plus_side_out,side_in,-5.637496708088552e-05,0.004603603197450399,2245
WCL31,1b_plus_side_out,side_out,0.08895694939985044,0.012443515042943215,3026
WCL31,2_2bit_seq,side_in,0.05676612314307454,0.00884990615144326,2245
WCL31,2_3bit_seq,side_in,0.07691856258936888,0.008450924032284772,2245
WCL31,2b_word_l1,side_in,-5.637496708068568e-05,0.004603603197450316,2245
WCL31,2b_word_l2,side_in,0.01502195597105982,0.0031277751975614773,2245
WCL31,2b_word_l3,side_in,,,2245
WCL31,2c_word_l1_side_out,side_in,-5.637496708068568e-05,0.004603603197450316,2245
WCL31,2c_word_l1_side_out,side_out,0.08895694939985024,0.012443515042944022,3026
WCL31,2c_word_l2_side_out,side_in,0.01502195597105982,0.0031277751975614773,2245
WCL31,2c_word_l2_side_out,side_out,0.18089467910721557,0.030048089118299474,3026
WCL31,2c_word_l3_side_out,side_in,,,2245
WCL31,2c_word_l3_side_out,side_out,0.23406023722853853,0.03809936652604218,3026
WCL31,3_qdiff_rpe,side_in,0.008846638499688786,0.010169231696086887,2245
WCL31,3b_reward_qdiff,side_in,0.010325833137168195,0.009735835099949559,2245
WCL31,3c_reward_qchosen_qdiff,side_in,0.010064330361436457,0.009822757309338735,2245
WCL31,3d_reward_qchosen_rpeabs_qdiff,side_in,0.015899530290817053,0.014875639368442934,2245
WCL32,1_main_effects,side_in,0.019930158993058077,0.014064444718855713,1606
WCL32,1b_plus_side_out,side_in,0.019930158993058077,0.014064444718855713,1606
