mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.03359729720965472,0.005383780610981114,4444
SM1L,2b_word_l1,side_in,0.03359729720965423,0.0053837806109818575,4444
SM1N,1_main_effects,side_in,0.014729220556730293,0.0040761117909270134,3835
SM1N,2b_word_l1,side_in,0.01472922055673056,0.00407611179092692,3835
SM2N,1_main_effects,side_in,0.014730773286211219,0.009920069928928028,4594
SM2N,2b_word_l1,side_in,0.014730773286210063,0.009920069928929416,4594
SM2R,1_main_effects,side_in,0.058969405177604364,0.028685675749965153,3918
SM2R,2b_word_l1,side_in,0.0589694051775997,0.028685675749972245,3918
SM3FR,1_main_effects,side_in,0.06429768750215206,0.04169859695398381,483
SM3FR,2b_word_l1,side_in,0.06429768750215199,0.041698596953984,483
