mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.01734645573370148,0.004580504320176568,4444
SM1L,2b_word_l1,side_in,0.01734645573370097,0.004580504320176721,4444
SM1N,1_main_effects,side_in,0.025275155115065485,0.00955471620264534,3835
SM1N,2b_word_l1,side_in,0.025275155115065773,0.00955471620264565,3835
SM2N,1_main_effects,side_in,0.01528084521614741,0.012860100624851488,4594
SM2N,2b_word_l1,side_in,0.015280845216145589,0.012860100624852462,4594
SM2R,1_main_effects,side_in,0.00414602361565366,0.011373552349531187,3918
SM2R,2b_word_l1,side_in,0.0041460236156520835,0.011373552349533377,3918
SM3FR,1_main_effects,side_in,0.0885586831821729,0.04230243647797637,483
SM3FR,2b_word_l1,side_in,0.08855868318217272,0.042302436477976775,483
