mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.04571325878005095,0.005033170073151983,10324
SM1L,2b_word_l2,side_in,0.047592049229906654,0.004413665465711847,10324
SM1L,3c_reward_qchosen_qdiff,side_in,0.048084552469139744,0.005238200309410542,10324
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.04985987220877182,0.004873189536587987,10324
SM1N,1_main_effects,side_in,0.05875740444370039,0.01181783187179259,7789
SM1N,2b_word_l2,side_in,0.09075311908060649,0.009996117861654098,7789
SM1N,3c_reward_qchosen_qdiff,side_in,0.060939826004580186,0.013046412694336979,7789
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.07112416773676841,0.015474994450022298,7789
SM2N,1_main_effects,side_in,0.040852204472189735,0.010019867718385428,10247
SM2N,2b_word_l2,side_in,0.04606609186538391,0.005871260890548509,10246
SM2N,3c_reward_qchosen_qdiff,side_in,0.04037368399156582,0.010509301673868217,10247
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.044668051693397735,0.008562390590486947,10247
SM2R,1_main_effects,side_in,0.052626207653307236,0.0021335094048253503,9668
SM2R,2b_word_l2,side_in,0.10684093878649947,0.012581353282755094,9666
SM2R,3c_reward_qchosen_qdiff,side_in,0.07227806167821711,0.007075023130534966,9668
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.08408656093018296,0.00735446572499361,9668
SM3FR,1_main_effects,side_in,0.023317188288736967,0.03024494311379144,752
SM3FR,2b_word_l2,side_in,0.0769825361709842,0.0006467883396662639,752
SM3FR,3c_reward_qchosen_qdiff,side_in,0.055876182492079284,0.031328578418706746,752
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05234315367001596,0.029662644494380608,752
