mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.01649415860654515,0.007234031948716851,6003
SM1L,2b_word_l2,side_in,0.021254026784593316,0.000766847855417141,6003
SM1L,3c_reward_qchosen_qdiff,side_in,0.016103140588879915,0.0087297043416904,6003
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.015844314463512067,0.008226397583305007,6003
SM1N,1_main_effects,side_in,0.005926642675371574,0.006131025079498379,4705
SM1N,2b_word_l2,side_in,0.026514444372416346,0.010114452409375141,4705
SM1N,3c_reward_qchosen_qdiff,side_in,0.013207689964619051,0.006243988652612048,4705
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.01565455576798207,0.007874023654294399,4705
SM2N,1_main_effects,side_in,0.008365779443911859,0.003344222260391773,5499
SM2N,2b_word_l2,side_in,0.011092217948209804,0.002885078582319211,5499
SM2N,3c_reward_qchosen_qdiff,side_in,0.009014074999396281,0.004176058215941301,5499
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.008965449023192695,0.004467649037437645,5499
SM2R,1_main_effects,side_in,0.0431839125766281,0.010703304167672307,5976
SM2R,2b_word_l2,side_in,0.0622305504530932,0.023181439356071348,5976
SM2R,3c_reward_qchosen_qdiff,side_in,0.042112483737730175,0.015794486538622258,5976
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.03646897314639974,0.01973770347851855,5976
SM3FR,1_main_effects,side_in,0.02863084388799193,0.02706282374132773,447
SM3FR,2b_word_l2,side_in,0.13646900386898952,0.0,447
SM3FR,3c_reward_qchosen_qdiff,side_in,0.061493205361368306,0.06578664134693597,447
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05496233770083481,0.07213991555011807,447
