mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.02423158179280007,0.006538342596443188,6334
SM1L,2b_word_l2,side_in,0.024910157199315597,0.0075119264838667925,6334
SM1L,3c_reward_qchosen_qdiff,side_in,0.023609052241051455,0.005091004856773384,6334
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.024385604903892855,0.006361619359387521,6334
SM1N,1_main_effects,side_in,0.0117086135593804,0.005359127756494564,4904
SM1N,2b_word_l2,side_in,0.026817493006913228,0.011204501042653366,4904
SM1N,3c_reward_qchosen_qdiff,side_in,0.014978713346851746,0.005160983547025614,4904
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.01598408736968022,0.005180069597371522,4904
SM2N,1_main_effects,side_in,0.025373405106540802,0.007475891202007651,6499
SM2N,2b_word_l2,side_in,0.02996191636991885,0.015272301122762733,6499
SM2N,3c_reward_qchosen_qdiff,side_in,0.023851611415441388,0.00758511824433563,6499
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.023628909600593672,0.007701497045643371,6499
SM2R,1_main_effects,side_in,0.040620256033409866,0.014047322527984995,6069
SM2R,2b_word_l2,side_in,0.06423901144229313,0.008901650825113905,6068
SM2R,3c_reward_qchosen_qdiff,side_in,0.04085014543665544,0.012009572717658217,6069
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.04018909487529461,0.011679497994391795,6069
SM3FR,1_main_effects,side_in,0.0642976875021521,0.04169859695398383,483
SM3FR,2b_word_l2,side_in,0.12899777034307058,0.0076571456437771745,483
SM3FR,3c_reward_qchosen_qdiff,side_in,0.0735206342596568,0.06126755519031056,483
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.08818899189711557,0.0528013850381923,483
