mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.04746503111516907,0.006751276068114737,10324
SM1L,2b_word_l2,side_in,0.04811670818572524,0.008124957613786303,10324
SM1L,3c_reward_qchosen_qdiff,side_in,0.04840016643063534,0.006787639423747099,10324
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05007040988264153,0.007611565506614564,10324
SM1N,1_main_effects,side_in,0.04091726606888564,0.007260253120890125,5438
SM1N,2b_word_l2,side_in,0.06649566605376986,0.01763732135769674,5438
SM1N,3c_reward_qchosen_qdiff,side_in,0.04498787636171346,0.01223890546016945,5438
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.05245888218160995,0.012120629716573447,5438
SM2N,1_main_effects,side_in,0.0356645523804144,0.009946094794428711,8560
SM2N,2b_word_l2,side_in,0.04124047242236826,0.009277800497891509,8559
SM2N,3c_reward_qchosen_qdiff,side_in,0.03590080405689864,0.008478244486367041,8560
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.037907026745485274,0.00851814989966012,8560
SM2R,1_main_effects,side_in,0.04441020470542465,0.007999199704708184,7618
SM2R,2b_word_l2,side_in,0.0824307585645991,0.02225229632646675,7616
SM2R,3c_reward_qchosen_qdiff,side_in,0.059388533648548104,0.010114111804164392,7618
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.06846604848366358,0.01054355766923302,7618
SM3FR,1_main_effects,side_in,0.028540461680967733,0.046656533645939365,752
SM3FR,2b_word_l2,side_in,0.06764758455271787,0.03708086466898412,752
SM3FR,3c_reward_qchosen_qdiff,side_in,0.053337819897402584,0.03324017023286645,752
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.04962290122630071,0.03268201962685883,752
