mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.022919981313474235,0.005422220359654331,6334
SM1L,2b_word_l2,side_in,0.023899760024244255,0.005484341748825707,6334
SM1L,3c_reward_qchosen_qdiff,side_in,0.021219377535860406,0.004610338854941909,6334
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.02175442040499347,0.005683984104856588,6334
SM1N,1_main_effects,side_in,0.008623350182245648,0.0073489069198521915,3482
SM1N,2b_word_l2,side_in,0.026458961637421785,0.01731710809681816,3482
SM1N,3c_reward_qchosen_qdiff,side_in,0.013735352212482654,0.006058491553392948,3482
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.014792533578372558,0.006361136389693868,3482
SM2N,1_main_effects,side_in,0.01567960498490597,0.003818309657234397,5436
SM2N,2b_word_l2,side_in,0.014275713411331936,0.016535699111583622,5436
SM2N,3c_reward_qchosen_qdiff,side_in,0.014323052933452884,0.0046209662312409324,5436
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.015632677668172446,0.004968361988830879,5436
SM2R,1_main_effects,side_in,0.026388240022559482,0.015150492037265342,4761
SM2R,2b_word_l2,side_in,0.036570513053975295,0.004956260548339571,4760
SM2R,3c_reward_qchosen_qdiff,side_in,0.027813280867704005,0.01882718036497064,4761
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.02453572603855958,0.021962122269527644,4761
SM3FR,1_main_effects,side_in,0.05376494395992295,0.05574466787799788,483
SM3FR,2b_word_l2,side_in,0.06582646767573985,0.009208762543974736,483
SM3FR,3c_reward_qchosen_qdiff,side_in,0.06579429944327679,0.06339651397033737,483
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.08326004556619473,0.0414512845543984,483
