mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.07516851528282624,0.0103876704216909,10835
SM1L,2b_word_l2,side_in,0.10635897315533545,0.008940475010296496,10835
SM1L,3c_reward_qchosen_qdiff,side_in,0.10526573714327336,0.006354896753197192,10835
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.10673791180000762,0.00828556077826101,10835
SM1N,1_main_effects,side_in,0.1549030757222995,0.022730318381133943,7789
SM1N,2b_word_l2,side_in,0.20898873690073289,0.025126193566428718,7789
SM1N,3c_reward_qchosen_qdiff,side_in,0.19410016317252804,0.02585833213441822,7789
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.19666112827020354,0.025446003534672745,7789
SM2N,1_main_effects,side_in,0.14239594299184025,0.007119100170765031,10247
SM2N,2b_word_l2,side_in,0.19395651751840612,0.01732267092214627,10246
SM2N,3c_reward_qchosen_qdiff,side_in,0.17912066206836413,0.007822361104034089,10247
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.18080621030721242,0.0075650113427166675,10247
SM2R,1_main_effects,side_in,0.08839166878592046,0.008418625152769374,9668
SM2R,2b_word_l2,side_in,0.20285315296996895,0.015177345350030387,9666
SM2R,3c_reward_qchosen_qdiff,side_in,0.18236711932618177,0.016607799038061387,9668
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.18502488449215893,0.013526791147218284,9668
SM3FR,1_main_effects,side_in,0.0845346773547048,0.03856551621021787,752
SM3FR,2b_word_l2,side_in,0.18814169576787357,0.01960717370450332,752
SM3FR,3c_reward_qchosen_qdiff,side_in,0.17513797073500262,0.017806281693584405,752
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.17313270793439908,0.015898969638820256,752
