mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.007966381738760252,0.0028996892595023038,6273
SM1L,2b_word_l2,side_in,0.03187115207606065,0.0013267644907449222,6273
SM1L,3c_reward_qchosen_qdiff,side_in,0.032341852834432916,0.006975409839731792,6273
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.031251121720849914,0.008007796605256827,6273
SM1N,1_main_effects,side_in,0.00736482286319935,0.006033608264857826,4705
SM1N,2b_word_l2,side_in,0.05090067138090876,0.013825636188582624,4705
SM1N,3c_reward_qchosen_qdiff,side_in,0.04742844562852411,0.011701483449605827,4705
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.04865816044190889,0.009075974445554547,4705
SM2N,1_main_effects,side_in,0.009419171508068525,0.01107735721434956,5499
SM2N,2b_word_l2,side_in,0.05930909481072244,0.004978393428009102,5499
SM2N,3c_reward_qchosen_qdiff,side_in,0.04461727613232678,0.01172843128456472,5499
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.044565154799628325,0.01170177395481536,5499
SM2R,1_main_effects,side_in,0.00016817116608439098,0.002771421466486286,5976
SM2R,2b_word_l2,side_in,0.101602338342313,0.006244031543679681,5976
SM2R,3c_reward_qchosen_qdiff,side_in,0.08030790582433464,0.005210019391503714,5976
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,-0.14816805088417312,0.45931412582289943,5976
SM3FR,1_main_effects,side_in,0.04490641760559464,0.04774269104200516,447
SM3FR,2b_word_l2,side_in,0.22427292229900597,0.0,447
SM3FR,3c_reward_qchosen_qdiff,side_in,0.12869299395493788,0.07683687527776067,447
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.1558611142885862,0.059521962516528006,447
