mouse,model,event,r2_mean,r2_std,n_trials
SM1L,1_main_effects,side_in,0.011763562900758107,0.005430699334879665,6615
SM1L,2b_word_l2,side_in,0.03359811457872233,0.011566665180103705,6615
SM1L,3c_reward_qchosen_qdiff,side_in,0.035001108408185135,0.014905545996711223,6615
SM1L,3d_reward_qchosen_rpeabs_qdiff,side_in,0.03493076711635841,0.015066458236790713,6615
SM1N,1_main_effects,side_in,0.021827039014415538,0.0033469083570085616,4904
SM1N,2b_word_l2,side_in,0.06400925829255973,0.012109187677670325,4904
SM1N,3c_reward_qchosen_qdiff,side_in,0.060366613367069964,0.01592592744149761,4904
SM1N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.06132993590455671,0.016553404773964744,4904
SM2N,1_main_effects,side_in,0.038944504343562406,0.010327933344653376,6499
SM2N,2b_word_l2,side_in,0.07708969589536896,0.0141389174736979,6499
SM2N,3c_reward_qchosen_qdiff,side_in,0.06912308678318009,0.014966496702564154,6499
SM2N,3d_reward_qchosen_rpeabs_qdiff,side_in,0.0691995227891596,0.014914213914851156,6499
SM2R,1_main_effects,side_in,0.006093722037415139,0.0040307785833037955,6069
SM2R,2b_word_l2,side_in,0.10195720929974988,0.012877033116508906,6068
SM2R,3c_reward_qchosen_qdiff,side_in,0.08344403973876613,0.030525937401611504,6069
SM2R,3d_reward_qchosen_rpeabs_qdiff,side_in,0.08294429902981035,0.03086617886179109,6069
SM3FR,1_main_effects,side_in,0.0885586831821729,0.04230243647797637,483
SM3FR,2b_word_l2,side_in,0.21652062405579503,0.021915425695161084,483
SM3FR,3c_reward_qchosen_qdiff,side_in,0.16487390461560014,0.04147412210132661,483
SM3FR,3d_reward_qchosen_rpeabs_qdiff,side_in,0.165065103173,0.04023609767818746,483
