term,corr_beta_t,peak_time_s,beta_at_peak_without,beta_at_peak_with,pct_change_at_peak,max_abs_diff_across_t
Reward_lag1,0.9949314113138064,5.4,1.0217590071190092,1.0736976082093517,5.083253558663554,0.09274666128173459
Reward_lag2,0.9984697726208646,4.32,0.8635875095245691,0.8643048828703044,0.08306898117716298,0.04466091394768901
Reward_lag3,0.991180719752609,5.292,0.48943181914224565,0.5172850271938348,5.690927104086402,0.05697244938957535
RPE,0.9926866047211577,4.968,-0.3740206780335884,-0.35619780533745315,4.765210519867217,0.05396231769275023
RPE_abs,0.9998055566536361,1.188,0.38618698626566095,0.37602762111485977,-2.630685525952052,0.012816371117527786
Choice:RPE,0.999397700015843,3.186,0.42836068133705874,0.43221064828758315,0.8987675849490595,0.01402642912790858
belief_p_right,0.9963331915159858,5.346,0.7896284907966167,0.7577758222423041,-4.0338803533010825,0.06116996007854414
true_switch,0.9944349310879935,5.4,0.34715186096877615,0.3267948174046025,-5.864016833256914,0.036351534013397045
trials_since_switch,0.9554736437182452,5.4,0.369786033221597,0.3133672516361321,-15.257142378780841,0.1007469110793682
trials_since_switch_expdecay,0.9887436420452326,0.432,-0.21140505050461914,-0.23711583382103046,-12.161858600369415,0.06179523545595181
detected_switch,0.9970180981641136,4.374,0.24993110101771243,0.2506513173012878,0.28816593078759734,0.021247033082221818
first_win_after_switch,0.9999937188287908,0.486,0.23692690861555865,0.23725320912985381,0.13772201570595932,0.0007245446558241109
first_loss_after_switch,0.9999747142724712,2.43,0.3944827174550552,0.3964922850015111,0.5094183997261891,0.002584960959810867
