mouse,n_trials,beta_rpe,se_rpe,t_rpe,p_rpe,r2_rpe,r2_outcome_only,r2_outcome_plus_value,r2_outcome_x_value,interaction_coef,interaction_p
WCL23,2605,-0.8452455322719308,0.08787158067369293,-9.61910012078548,1.5088031441513743e-21,0.034326157424032666,0.07919752852247197,0.08005519889838741,0.08543499003387667,-0.8237475987087749,9.406531555273836e-05
WCL24,2829,-0.9533530601290368,0.08433756690887899,-11.304014273485858,5.206099978201982e-29,0.04324542157114497,0.07706539833342696,0.07959043181085579,0.0862677789518761,-0.9501562896440434,5.761771817238685e-06
WCL25,885,-0.6329743771809244,0.13683562578160272,-4.625801019035692,4.28948251960703e-06,0.023659975185715165,0.04828334028440728,0.04912270469230051,0.055129473901238235,-0.7976161218799614,0.01816842988643625
WCL26,735,-0.9024017902924931,0.16605965349116864,-5.434202536984605,7.49821121292413e-08,0.03872704763583923,0.02651134951363221,0.04165457424125951,0.05080657757775753,-1.1098761766089336,0.008107128455365133
WCL27,2998,-0.56423627770907,0.06409408982090183,-8.803249711255999,2.2031172945692382e-18,0.02521466599695754,0.05260803122732016,0.05333026384049555,0.06627937705370535,-1.0193723405357833,1.3536306059636178e-10
WCL28,1817,-0.5599098794938633,0.10298963333421347,-5.436565422821634,6.167318522981443e-08,0.016023498171565453,0.027760704197552055,0.02904123119936186,0.04233213315548401,-1.2709489797150426,5.787818118882455e-07
WCL29,3592,-0.8610679203951429,0.07093342475747537,-12.139099773332157,2.9141514671954547e-33,0.039428321672125066,0.05102721827217316,0.05784327199534678,0.06634400939923268,-0.9993526207869263,1.182383186432163e-08
WCL30,2414,-2.37702613257535,0.08898406872637703,-26.71294049145611,6.185088155256852e-138,0.22830352065452142,0.13340801997502016,0.2376411844997952,0.23905013979500378,-0.47245609619200873,0.034753534200901895
WCL31,3026,-0.7824249245077429,0.09471259264426088,-8.261044309562083,2.1337094282755566e-16,0.022069679578081813,0.037078939633969576,0.039023634426715414,0.06316952833867695,-2.047469147586425,1.80788777907857e-18
WCL32,2216,-1.2540915353163395,0.11097985278587867,-11.300172993885184,7.932676187930085e-29,0.054530572575363756,0.03790486562747708,0.059636277531924575,0.07261724216965326,-1.5234864753401829,2.9492094718374268e-08
WCL33,3179,-1.9848421929623903,0.08372736113512554,-23.706016361355307,1.5794616827401425e-114,0.15030193566477235,0.04761391954612615,0.1519197363744027,0.15843865772601617,-1.0898995949495047,7.447842824635586e-07
