mouse,n_trials,r2_signed,r2_unsigned,delta_r2
WCL23,2605,0.033908771981915706,0.020241463647315404,0.013667308334600302
WCL24,2829,0.04368279051086801,0.022459889904298237,0.02122290060656977
WCL25,885,0.0051528687991311715,0.007178500279759326,-0.0020256314806281544
WCL26,735,0.018391127635231187,-0.009488350741451868,0.027879478376683055
WCL27,2998,0.0370877399808367,0.041411033433354685,-0.004323293452517987
WCL28,1817,0.016585630233298287,0.02353854298824154,-0.006952912754943252
WCL29,3592,0.034473206522055724,0.019141523218694712,0.015331683303361012
WCL30,2414,0.24265468934638834,0.020209953283211533,0.2224447360631768
WCL31,3026,0.022355205798997392,0.038624877538887235,-0.016269671739889843
WCL32,2216,0.06367819087904938,0.029213147346417622,0.03446504353263176
WCL33,3179,0.14814651552061106,0.006801551290406072,0.14134496423020498
