mouse,n_samples,n_trials,r2_mean,r2_std,n_splits
WCL23,93657,2600,0.21490316242066942,0.02118471763084325,10
WCL24,96863,2821,0.2059971723712563,0.01835171325490907,10
WCL25,31878,885,0.07939940268001541,0.025228918665090503,10
WCL26,27506,735,0.048422077415957755,0.021607186093218936,10
WCL27,107699,2998,0.29219470593887786,0.017018105474938795,10
WCL28,67493,1817,0.16752219649739858,0.028317428775412934,10
WCL29,133175,3592,0.1370991099540296,0.016802493748385643,10
WCL30,90946,2414,0.22571813611891556,0.02186645725615024,10
WCL31,114783,3023,0.19931842420922424,0.023454336390143608,10
WCL32,83111,2207,0.2338780845794845,0.02320310455282522,10
WCL33,121618,3179,0.20958981028215368,0.017968595655130887,10
