mouse,interaction_coef_post,interaction_p_post,r2_post,n_trials,interaction_coef_pre,interaction_p_pre,r2_pre
WCL23,-0.8237475987087749,9.406531555273836e-05,0.08543499003387667,2605,-0.11445416340331632,0.3011806798807156,0.010206175479049673
WCL24,-0.9501562896440434,5.761771817238685e-06,0.0862677789518761,2829,0.0022588687355818366,0.9833846011938301,0.014230774661350698
WCL25,-0.7976161218799614,0.01816842988643625,0.055129473901238235,885,0.11771192813018508,0.5026006845500274,0.001735631354392475
WCL26,-1.1098761766089336,0.008107128455365133,0.05080657757775753,735,0.0807502199707481,0.6994889810302047,0.002458015922158774
WCL27,-1.0193723405357833,1.3536306059636178e-10,0.06627937705370535,2998,0.01862436319563539,0.8385285785712302,0.049175879855648086
WCL28,-1.2709489797150426,5.787818118882455e-07,0.04233213315548401,1817,-0.008989876247268064,0.9478438995511254,0.01574822365567352
WCL29,-0.9993526207869263,1.182383186432163e-08,0.06634400939923268,3592,-0.0899664502497276,0.3237228082152446,0.00268949732331647
WCL30,-0.47245609619200873,0.034753534200901895,0.23905013979500378,2414,-0.008743887563520084,0.9411868500418772,0.10799802678600379
WCL31,-2.047469147586425,1.80788777907857e-18,0.06316952833867695,3026,-0.10260469716097845,0.35175023935273786,0.0035344520624569498
WCL32,-1.5234864753401829,2.9492094718374268e-08,0.07261724216965326,2216,0.22510825025670234,0.08816486922749284,0.0013196131172181769
WCL33,-1.0898995949495047,7.447842824635586e-07,0.15843865772601617,3179,0.05564430856880091,0.6245813985446234,0.11773208437914462
