mouse,was_rewarded,n_trials,sign_flipped,onset_latency_s,decay_tau_s,fit_r_squared,peak_time_s,peak_value,n_post_peak_samples,skip_reason
WCL23,False,768,False,0.7463832953844817,,,2.916,1.550348325809371,2,"only 2 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL23,True,1837,True,0.5349739575923734,0.22572615998166964,0.5878574168267607,0.972,1.7540102567090872,38,
WCL24,False,842,False,0.8166873737666089,,,2.538,1.3891063746895638,9,fitted tau=1166s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (0.432s) -- implausible
WCL24,True,1987,True,0.45004353306103456,0.163563148338198,0.4013332509553563,0.8099999999999999,1.5117930964290311,41,
WCL25,False,288,False,0.6711822445194072,0.03616233488695916,0.3797405228379708,2.16,0.9429215998861074,16,
WCL25,True,597,True,0.47081573750133826,0.2844432950283172,0.7506280465829355,0.756,1.1730445607192352,42,
WCL26,False,215,False,1.0559770714337096,,,2.862,1.5713395012220623,3,"only 3 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL26,True,520,True,0.0,0.1904518659218922,0.4990629389426291,0.864,1.2311473687493053,40,
WCL27,False,875,False,0.18442540599752014,,,1.944,1.747473072274227,20,fitted tau=1.264s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (1.026s) -- implausible
WCL27,True,2123,True,0.7217495337220047,0.4641314596996787,0.7742770237989806,1.242,1.506481325750263,33,
WCL28,False,496,False,0.9611927434433192,,,2.9699999999999998,2.018557513902052,1,"only 1 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL28,True,1321,True,0.0,,,0.972,1.3793419682111574,38,fitted tau=2.099s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (1.998s) -- implausible
WCL29,False,948,False,0.4523130657890268,0.12238665921476422,0.42979930889197193,1.296,1.3375298249693146,32,
WCL29,True,2644,True,0.5336230604803144,0.24114197519778346,0.7186459032602939,0.864,1.0933785162250362,40,
WCL30,False,778,False,0.6722440942716136,0.3368453022312925,0.823281413021468,1.242,1.9899989368925481,33,
WCL30,True,1636,True,0.5216562795551621,0.6075270701576574,0.9302532347307255,0.972,2.984582569041625,38,
WCL31,False,833,False,0.7191734983236162,,,2.916,2.0849415893582566,2,"only 2 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL31,True,2193,True,0.6901883621312755,,,2.376,1.652824311048051,12,fitted tau=3635s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (0.594s) -- implausible
WCL32,False,636,False,1.0265068320137718,0.7763405521444161,0.9053961863546186,1.566,1.6316158976688664,27,
WCL32,True,1580,True,0.4587605507707269,0.21883920945603616,0.4443228299084371,1.026,2.1267017172011586,37,
WCL33,False,920,False,0.7906464446496156,0.3849552525349644,0.9026628458639906,1.242,2.0396634773756603,33,
WCL33,True,2259,True,0.5768222162161345,1.6732935089275576,0.915740717948403,1.08,2.538512910575094,36,
