mouse,n_trials,sign_flipped,onset_latency_s,decay_tau_s,fit_r_squared,peak_time_s,peak_value,n_post_peak_samples,skip_reason
WCL23,768,False,0.7463832953844817,,,2.916,1.550348325809371,2,"only 2 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL24,842,False,0.8166873737666089,,,2.538,1.3891063746895638,9,fitted tau=1166s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (0.432s) -- implausible
WCL25,288,False,0.6711822445194072,0.03616233488695916,0.3797405228379708,2.16,0.9429215998861074,16,
WCL26,215,False,1.0559770714337096,,,2.862,1.5713395012220623,3,"only 3 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL27,875,False,0.18442540599752014,,,1.944,1.747473072274227,20,fitted tau=1.264s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (1.026s) -- implausible
WCL28,496,False,0.9611927434433192,,,2.9699999999999998,2.018557513902052,1,"only 1 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL29,948,False,0.4523130657890268,0.12238665921476422,0.42979930889197193,1.296,1.3375298249693146,32,
WCL30,778,False,0.6722440942716136,0.3368453022312925,0.823281413021468,1.242,1.9899989368925481,33,
WCL31,833,False,0.7191734983236162,,,2.916,2.0849415893582566,2,"only 2 post-peak sample(s), fewer than DECAY_MIN_POST_PEAK_SAMPLES=6"
WCL32,636,False,1.0265068320137718,0.7763405521444161,0.9053961863546186,1.566,1.6316158976688664,27,
WCL33,920,False,0.7906464446496156,0.3849552525349644,0.9026628458639906,1.242,2.0396634773756603,33,
