mouse,n_trials,sign_flipped,onset_latency_s,decay_tau_s,fit_r_squared,peak_time_s,peak_value,n_post_peak_samples,skip_reason
WCL23,1837,True,0.5349739575923734,0.22572615998166964,0.5878574168267607,0.972,1.7540102567090872,38,
WCL24,1987,True,0.45004353306103456,0.163563148338198,0.4013332509553563,0.8099999999999999,1.5117930964290311,41,
WCL25,597,True,0.47081573750133826,0.2844432950283172,0.7506280465829355,0.756,1.1730445607192352,42,
WCL26,520,True,0.0,0.1904518659218922,0.4990629389426291,0.864,1.2311473687493053,40,
WCL27,2123,True,0.7217495337220047,0.4641314596996787,0.7742770237989806,1.242,1.506481325750263,33,
WCL28,1321,True,0.0,,,0.972,1.3793419682111574,38,fitted tau=2.099s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (1.998s) -- implausible
WCL29,2644,True,0.5336230604803144,0.24114197519778346,0.7186459032602939,0.864,1.0933785162250362,40,
WCL30,1636,True,0.5216562795551621,0.6075270701576574,0.9302532347307255,0.972,2.984582569041625,38,
WCL31,2193,True,0.6901883621312755,,,2.376,1.652824311048051,12,fitted tau=3635s exceeds DECAY_MAX_TAU_RATIO (1.0) x the fitted segment length (0.594s) -- implausible
WCL32,1580,True,0.4587605507707269,0.21883920945603616,0.4443228299084371,1.026,2.1267017172011586,37,
WCL33,2259,True,0.5768222162161345,1.6732935089275576,0.915740717948403,1.08,2.538512910575094,36,
