mouse,date,session_dir,error,green_r_valid,green_l_valid,green_r_cohens_d,green_r_p_value,green_r_error,green_l_cohens_d,green_l_p_value,green_l_error,age_bin
SM1B,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM1B,,False,False,0.078428514138102,0.3877953594991405,,-0.1173600886959694,0.1952547102275699,,P100
SM1B,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM1B,,False,True,0.1376139357529784,0.1548533917290244,,-0.3507269378990714,0.0003680630236248,,P100
SM1L,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM1L,,True,True,-0.2548694425692834,0.0036078842236977,,-0.2786809141616486,0.001429344950883,,P100
SM1L,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM1L,,True,True,-0.1913667746986379,0.0336115699574567,,-0.1877360249513036,0.0367667952164054,,P100
SM1N,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM1N,,False,True,0.1049625159841736,0.2889980654391504,,-0.2646761361285606,0.0075043813101513,,P100
SM1N,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM1N,,True,True,0.3453649695585228,0.0002611923311567,,-0.3719205402996832,8.303326706217983e-05,,P100
SM1N,072524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072524/SM1N,,False,True,0.0494586211511156,0.6489845080393459,,-0.3827872785051068,0.0003869780900123,,P100
SM2B,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM2B,,False,True,0.0020820540682434,0.9816286569215944,,-0.7151816701050319,1.6473174647609035e-14,,P100
SM2B,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM2B,,False,True,-0.1296048503292402,0.1678093042502545,,-0.7491556424915311,2.0292586969055943e-14,,P100
SM2B,072524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072524/SM2B,,False,True,0.0032646492809617,0.9708914583758826,,-0.5718733308312068,5.9152445329362e-10,,P100
SM2L,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM2L,,False,False,-0.034958723110617,0.7130896038954173,,0.0448256367876039,0.6400389293420816,,P100
SM2L,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM2L,,True,True,-0.4165070833518624,1.8518314499952127e-05,,-0.4517002737424345,3.4678491913905782e-06,,P100
SM2N,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM2N,,True,False,0.293033909459242,0.0013422294990049,,-0.1706862604716627,0.0630052159172832,,P100
SM2N,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM2N,,True,True,0.3328224596700179,0.0004327633565951,,-0.429974703682006,8.714717102815529e-06,,P100
