mouse,date,session_dir,jrgeco_only,error,green_r_carrier_valid,green_r_reward_significant,green_l_carrier_valid,green_l_reward_significant,red_r_carrier_valid,red_r_reward_significant,red_l_carrier_valid,red_l_reward_significant,green_r_detected_freq_hz,green_r_matched_known_freq_hz,green_r_amplitude,green_r_cohens_d,green_r_p_value,green_r_error,green_l_detected_freq_hz,green_l_matched_known_freq_hz,green_l_amplitude,green_l_cohens_d,green_l_p_value,green_l_error,red_r_detected_freq_hz,red_r_matched_known_freq_hz,red_r_amplitude,red_r_cohens_d,red_r_p_value,red_r_error,red_l_detected_freq_hz,red_l_matched_known_freq_hz,red_l_amplitude,red_l_cohens_d,red_l_p_value,red_l_error,age_bin
SM1N,062324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062324/SM1N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.05021057320643174,-0.19421730007058938,0.11591498757179847,,166.6259765625,167.0,0.5833466445736192,-0.1507412946773628,0.22284815323148527,,218.994140625,,0.006057152572083632,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05768704892178129,-0.45776186787372497,0.0003280663459086735,,P70
SM2B,062324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062324/SM2B,True,,False,,True,False,False,,True,False,166.6259765625,,0.010266699647229677,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.583118192673469,0.14363591233208178,0.28642077352737216,,226.6845703125,,0.006284470501843899,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.15264591060415783,0.1403349527619434,0.2948216623047846,,P70
SM2L,062324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062324/SM2L,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.036115010520284124,-0.20717440433289652,0.19488624171935628,,166.6259765625,167.0,0.5792967411680039,-0.23229989395844886,0.14547591652590836,,225.830078125,,0.006422776813905823,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.053333751507364344,0.3310741318303663,0.026394011195014402,,P70
SM1B,062424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062424/SM1B,True,,False,,True,False,False,,True,True,166.6259765625,,0.010487473920382054,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5839493405349658,-0.2645296497718504,0.07173520807106087,,220.0927734375,,0.0063608501693033295,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.1111569449574913,-0.2899299543760571,0.047437590480054775,,P70
SM1L,062424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062424/SM1L,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.08517981116044372,-0.21892053037719225,0.05911642105301717,,166.6259765625,167.0,0.5835840752078035,-0.1944606577767572,0.09425047251060054,,222.16796875,,0.006368941057385889,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05367905903057278,-0.5728270846853656,3.146389909701103e-06,,P70
SM2N,062424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062424/SM2N,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.04785246498873494,-0.48762029881075514,0.0009448736260766464,,166.6259765625,167.0,0.5812654942084587,-0.5003174157091251,0.0007243457343556087,,222.16796875,,0.006647198269979165,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05665899087602497,-1.0600930504756612,2.0657331840510845e-10,,P70
SM2R,062424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062424/SM2R,False,,True,True,True,True,False,,True,False,166.6259765625,167.0,0.04315483074577581,0.4455439780518012,6.195500605150022e-05,,166.6259765625,167.0,0.5818400776035364,0.48579611515272064,1.450674238969798e-05,,222.16796875,,0.007181042046358068,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.10102042885719927,-0.16251296819561928,0.14313344234395506,,P70
SM1N,062524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062524/SM1N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.03917252642692027,-0.11925841620706838,0.29598251581156765,,166.6259765625,167.0,0.5822799421616022,-0.09141340857333938,0.4235898677154134,,220.3369140625,,0.0060676236697260934,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05759313290960693,-0.5846983369263918,6.318854458983112e-07,,P70
SM2B,062524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062524/SM2B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010074118747323306,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5839375844972323,-0.5017071968280913,1.3429055898274775e-05,,222.16796875,,0.007065286697808894,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.1590720059294524,-0.7765665287201338,5.878447526022088e-11,,P70
SM2L,062524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062524/SM2L,False,,True,True,True,True,False,,True,False,166.6259765625,167.0,0.029816369838234217,-0.4273519490011411,0.00038145307927928406,,166.6259765625,167.0,0.5796332398160852,-0.4286855180594831,0.0002868587738917684,,221.3134765625,,0.006506555716571805,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05893685731460038,-0.12752725531007736,0.2912365753008658,,P70
SM1L,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM1L,False,,True,False,True,False,False,,True,False,166.6259765625,167.0,0.07886200694725895,0.09678602086809095,0.2735052668524267,,166.6259765625,167.0,0.5840300098891908,0.07332037626357044,0.4064168505729656,,222.16796875,,0.006762666086156562,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.062093940385515044,0.006635882200336054,0.9406751303913705,,P70
SM2N,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM2N,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.04491739881585767,-0.7575983010178359,0.00032083619796086007,,166.6259765625,167.0,0.5815018736896083,-0.7860579413402897,0.00021249336830440606,,218.505859375,,0.0065984760991034935,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.059027021038067895,-0.995390389560901,3.014385769527501e-06,,P70
SM2R,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM2R,False,,True,False,True,True,False,,True,False,166.6259765625,167.0,0.09907743867269247,0.19927249149863954,0.06028604485778065,,166.6259765625,167.0,0.5819082144561636,0.2202310026556099,0.03795283013927309,,222.16796875,,0.007943143140028782,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.11846574880889121,-0.09216867947885998,0.3865475385217949,,P70
SM1N,062724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062724/SM1N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.04284055836022527,-0.17302746122549478,0.1054191396012202,,166.6259765625,167.0,0.5842359074622892,-0.152051065339979,0.15437757142469302,,223.6328125,,0.006045254218867928,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05383109101235268,-0.45774448716466676,2.8945822623081258e-05,,P70
