mouse,date,session_dir,xcorr_peak,sync_pass,n_trials,trials_pass,p_right,balance_pass,zscore_std,signal_range_pass,missing_frac,missing_pass,QC_PASS,error,manual_include
SM1B,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM1B,0.9993180764326617,True,468,True,0.5876068376068376,True,0.9999015620821846,True,0.0,True,True,,True
SM1L,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM1L,0.9982207371476048,True,602,True,0.5996677740863787,True,1.0290680652682278,True,0.0,True,True,,True
SM1L,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM1L,0.9966052728954298,True,501,True,0.6626746506986028,True,1.0197967365823601,True,0.0,True,True,,True
SM1N,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM1N,0.9958053952208057,True,414,True,0.6908212560386473,True,0.9997034839299341,True,0.0,True,True,,True
SM1N,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM1N,0.9979884648096266,True,461,True,0.544468546637744,True,1.03316214747338,True,0.0,True,True,,True
SM1N,072524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072524/SM1N,0.9999657406372495,True,386,True,0.5284974093264249,True,1.032112481601323,True,0.0,True,True,,True
SM2B,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM2B,0.9992690532669739,True,496,True,0.8205645161290323,True,1.041986594627199,True,0.0,True,True,,True
SM2B,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM2B,0.9959808896372826,True,502,True,0.6852589641434262,True,1.0263512053684238,True,0.0,True,True,,True
SM2B,072524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072524/SM2B,0.9929709099748713,True,528,True,0.7253787878787878,True,1.0204307782195563,True,0.0,True,True,,True
SM2L,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM2L,0.9929676725295601,True,485,True,0.643298969072165,True,1.0298091331434829,True,0.0,True,True,,True
SM2N,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM2N,0.9999136852736464,True,450,True,0.72,True,1.0267601759618348,True,0.0,True,True,,True
SM2N,072424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072424/SM2N,0.9999891231706649,True,486,True,0.7057613168724279,True,1.011564823634081,True,0.0,True,True,,True
SM2R,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM2R,0.9994229820521436,True,426,True,0.4671361502347418,True,1.012992937444628,True,0.0,True,True,,True
SM2R,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM2R,0.9991207895555836,True,509,True,0.6267190569744597,True,1.016552722941549,True,0.0,True,True,,True
SM2R,072424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072424/SM2R,0.9999919623397504,True,538,True,0.6486988847583643,True,1.0183374189737517,True,0.0,True,True,,True
SM1B,080124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080124/SM1B,0.9995336268420172,True,595,True,0.6957983193277311,True,1.0113360183499476,True,0.0,True,True,,True
